,country_export,country_import,Actual WF (m3)
168,Japan,Tanzania,16895225.535
169,Japan,Uganda,3347717.839
170,"Korea, Republic of","Korea, Democratic People's Republic of",460677211.97
171,Libyan Arab Jamahiriya,Niger,1975192.31751
172,Luxembourg,Ethiopia,1108397.2820000001
173,Luxembourg,"Korea, Democratic People's Republic of",1483963.472
174,Luxembourg,Mauritania,1113668.647
175,Malaysia,Kenya,0.0
176,Malaysia,Somalia,0.0
177,Malaysia,Sri Lanka,0.0
178,Morocco,Niger,261319.4163
179,Netherlands,Angola,0.0
180,Netherlands,Burundi,0.0
181,Netherlands,Central African Republic,0.0
182,Netherlands,Chad,0.0
183,Netherlands,Djibouti,0.0
184,Netherlands,Tajikistan,0.0
185,Netherlands,Uganda,0.0
186,Nigeria,Niger,10370027.32
187,Norway,Algeria,14297.88412
188,Qatar,Afghanistan,0.0
189,Saudi Arabia,Afghanistan,525688.5031
190,Saudi Arabia,Burkina Faso,0.0
191,Saudi Arabia,Djibouti,0.0
192,Saudi Arabia,Ethiopia,0.0
193,Saudi Arabia,Jordan,0.0
194,Saudi Arabia,Mauritania,350459.0021
195,Saudi Arabia,Pakistan,0.0
196,Saudi Arabia,Senegal,350459.0021
197,Saudi Arabia,Syrian Arab Republic,0.0
198,South Africa,Mozambique,92475.98464000001
199,South Africa,Niger,11537.99249
200,Spain,Algeria,1820542.9254
201,Spain,Angola,8020972.98
202,Spain,Cape Verde,1442773.59
203,Spain,Côte d'Ivoire,3408913.517
204,Spain,Haiti,7418435.947000001
205,Spain,Liberia,7619924.331
206,Spain,Mali,356565.252564
207,Spain,Sao Tome and Principe,1002621.623
208,Sri Lanka,Cape Verde,20191.75689
209,Switzerland,Albania,0.0
210,Switzerland,Algeria,0.0
211,Switzerland,Bulgaria,0.0
212,Switzerland,Chad,0.0
213,Switzerland,Cuba,0.0
214,Switzerland,Ghana,0.0
215,Switzerland,Guatemala,0.0
216,Switzerland,Moldova,0.0
217,Switzerland,Peru,0.0
218,Switzerland,Romania,0.0
219,Switzerland,Senegal,0.0
220,Switzerland,Serbia and Montenegro,0.0
221,Switzerland,Ukraine,0.0
222,Switzerland,Zambia,0.0
223,Syrian Arab Republic,Occupied Palestinian Territory,2258033.1467
224,United Arab Emirates,Niger,184315.438685
225,United States of America,Afghanistan,365529139.84911
226,United States of America,Angola,42323320.6122
227,United States of America,Armenia,3916625.2804
228,United States of America,Azerbaijan,5315630.7767
229,United States of America,Bangladesh,268973024.145
230,United States of America,Benin,9772419.1427
231,United States of America,Bolivia,87052572.53913
232,United States of America,Burkina Faso,43677359.89359
233,United States of America,Burundi,23769261.248180002
234,United States of America,Cambodia,19696784.450999998
235,United States of America,Cameroon,19138478.06
236,United States of America,Cape Verde,10561067.363
237,United States of America,Central African Republic,327024.48250000004
238,United States of America,Chad,43339850.3917
239,United States of America,Colombia,8212892.7851
240,United States of America,Congo,2728837.9546
241,United States of America,"Congo, Democratic Republic of the",20979367.02092
242,United States of America,Côte d'Ivoire,29846520.259630002
243,United States of America,Djibouti,3038803.74957
244,United States of America,East Timor,351649.2071
245,United States of America,Ecuador,84323943.63
246,United States of America,El Salvador,109184428.59455
247,United States of America,Eritrea,284133445.83019
248,United States of America,Ethiopia,1493970335.33691
249,United States of America,Gambia,5031535.62062
250,United States of America,Georgia,5574556.2718
251,United States of America,Ghana,104011155.9972
252,United States of America,Guatemala,121001701.74455
253,United States of America,Guinea,38129947.32269
254,United States of America,Guinea-Bissau,1726230.847
255,United States of America,Haiti,230442136.4818
256,United States of America,Honduras,163636878.41031
257,United States of America,India,188904877.72504
258,United States of America,Indonesia,68019153.14534
259,United States of America,Iraq,26314005.618759997
260,United States of America,Jamaica,17601765.94803
261,United States of America,Kenya,125198020.74278
262,United States of America,"Korea, Democratic People's Republic of",31069984.14035
263,United States of America,Kyrgyzstan,2299318.9595
264,United States of America,Lebanon,23536094.795999996
265,United States of America,Lesotho,8523379.931400001
266,United States of America,Liberia,51063254.98381
267,United States of America,Madagascar,58289597.48408
268,United States of America,Malawi,42349560.4652
269,United States of America,Mali,1449796.5270600002
270,United States of America,Mauritania,87616758.4592
271,United States of America,Moldova,15242708.42817
272,United States of America,Mongolia,88260355.49
273,United States of America,Mozambique,110850782.98601
274,United States of America,Nepal,2972376.5777
275,United States of America,Nicaragua,73059388.76527
276,United States of America,Niger,40657111.399900004
277,United States of America,Nigeria,35767837.61
278,United States of America,Occupied Palestinian Territory,21910588.2849
279,United States of America,Pakistan,10047332.9706
280,United States of America,Peru,157953074.3222
281,United States of America,Philippines,209808570.9753
282,United States of America,Rwanda,26433861.79761
283,United States of America,Senegal,11837908.23765
284,United States of America,Sierra Leone,41070061.599020004
285,United States of America,Somalia,22082867.2217
286,United States of America,Sri Lanka,28336543.3831
287,United States of America,Sudan,1076515835.62286
288,United States of America,Swaziland,2417401.5974000003
289,United States of America,Tajikistan,71317466.88898
290,United States of America,Tanzania,21110249.486863
291,United States of America,Uganda,183140399.63968998
292,United States of America,Zambia,84603492.38035999
293,United States of America,Zimbabwe,61254865.63459
