country_export,country_import,Actual WF (m3)
Egypt,Mauritania,33549.2936
Egypt,Mauritania,4366.293646
Finland,Rwanda,0
India,Afghanistan,
Italy,Sri Lanka,8094.519935
Japan,Bangladesh,12825752.02
Japan,Kenya,3730606.669
Japan,Niger,7371121.848
Japan,Senegal,6931721.084
"Korea, Republic of","Korea, Democratic People's Republic of",52658188.13
Saudi Arabia,Jordan,0
Spain,Algeria,0
Spain,Algeria,547507.4044
Switzerland,Albania,0
Switzerland,Serbia and Montenegro,0
Syrian Arab Republic,Occupied Palestinian Territory,766721.4977
United States of America,Angola,637410.7402
United States of America,Angola,536189.0201
United States of America,Bolivia,168675.3461
United States of America,Bolivia,945064.2959
United States of America,Bolivia,144562.0796
United States of America,Bolivia,1161157.767
United States of America,Bolivia,2428532.715
United States of America,Bolivia,2837169.256
United States of America,Burkina Faso,41549.16518
United States of America,Burkina Faso,33150.67855
United States of America,Burkina Faso,257199.1976
United States of America,Burkina Faso,6268573.177
United States of America,Burkina Faso,1713443.952
United States of America,Burkina Faso,1737212.674
United States of America,Burkina Faso,3427527.435
United States of America,Cambodia,9818474.213
United States of America,Cambodia,95901.71371
United States of America,Chad,1184365.429
United States of America,Chad,904492.7887
United States of America,Chad,884408.8006
United States of America,Chad,618481.1595
United States of America,Chad,5374074.979
United States of America,Congo,1123167.683
United States of America,Congo,319515.7396
United States of America,Congo,437532.6007
United States of America,"Korea, Democratic People's Republic of",2141636.349
United States of America,El Salvador,257792.338
United States of America,Eritrea,145329.937
United States of America,Ethiopia,2324551.503
United States of America,Ethiopia,10197548.89
United States of America,Ethiopia,178175.6589
United States of America,Ethiopia,191384.7806
United States of America,Ethiopia,2824331.376
United States of America,Ethiopia,1021858.782
United States of America,Ethiopia,9100623.322
United States of America,Ethiopia,392268.2466
United States of America,Ethiopia,637951.9762
United States of America,Ethiopia,95901.71371
United States of America,Ethiopia,543443.0444
United States of America,Guatemala,226182.0135
United States of America,Guatemala,198772.8595
United States of America,Guatemala,346956.3379
United States of America,Guatemala,319672.379
United States of America,Guinea,111305.8316
United States of America,Guinea,220562.5146
