year,country_export,country_import,Product,Tonnage,Exporter Footprint (per unit),Importers Footprint (per unit),Actual WF (m3),Water Saved (m3)
2005,United States of America,Uganda,PEAS,30.0,1105.0226183501086,,33150.67855050326,
2005,United States of America,Uganda,HARD RED WINTER WHEAT,5000.0,1961.3412331771283,,9806706.165885642,
2005,United States of America,Zambia,SORGHUM,40485.0,1129.2576549703522,,45717996.161474705,
2005,United States of America,Zambia,BEANS,170.9,654.4143339759094,,111839.40967648292,
2005,United States of America,Zambia,PINTO BEANS,4303.95,1644.186681807485,,7076497.269165325,
2005,United States of America,Zambia,WHEAT,7000.0,1961.3412331771283,886.445480600374,13729388.632239899,-7524270.268037279
2005,United States of America,Zimbabwe,SORGHUM,1160.0,1129.2576549703522,6257.354675288208,1309938.8797656086,5948592.543568714
2005,Australia,"Korea, Democratic People's Republic of",WHEAT FLOUR,210.0,2038.3113557636955,2204.7192012784803,428045.38471037603,34945.64755810482
2005,Australia,Sri Lanka,LENTILS,408.5,2556.268404712403,,1044235.6433250166,
2005,Canada,El Salvador,BEANS,98.0,1133.914245344889,,111123.59604379912,
2005,Canada,Haiti,VEGETABLE OIL,66.993,2770.8855292768285,,185629.93426284255,
2005,Canada,Mali,VEGETABLE OIL,400.108,2770.8855292768285,4772.542940114962,1108653.4673478934,800879.143335624
2005,Canada,Mali,PEAS,389.7,1198.5304697317051,,467067.3240544455,
2005,Canada,Mozambique,PEAS,84.0,1198.5304697317051,,100676.55945746323,
2005,Canada,Senegal,VEGETABLE OIL,283.355,2770.8855292768285,,785144.2691482358,
2005,Canada,Senegal,PEAS,279.75,1198.5304697317051,,335288.8989074445,
2005,Canada,Somalia,VEGETABLE OIL,381.972,2770.8855292768285,,1058400.6873889286,
2005,Canada,Tanzania,PEAS,1120.0,1198.5304697317051,,1342354.1260995097,
2005,China,"Korea, Democratic People's Republic of",RICE,7498.0,1089.826055002166,2283.060491073877,8171515.760406241,8946871.80166569
2005,China,"Korea, Democratic People's Republic of",WHEAT FLOUR,6154.0,1301.5082956775225,2204.7192012784803,8009482.051599474,5558359.9130682945
2005,Denmark,Burkina Faso,PEAS,394.2,566.472003430096,,223303.26375214386,
2005,Denmark,Madagascar,VEGETABLE OIL,36.792,0.0,,0.0,
2005,Denmark,Nicaragua,PEA WHEAT BLENDED,919.0,551.5279708611165,,506854.2052213661,
2005,Denmark,Zambia,PEAS,826.5,566.472003430096,,468189.1108349744,
2005,Egypt,Mauritania,RICE,39.8,1455.9765577024095,1697.0587459899987,57947.866996555895,9595.071093846047
2005,Egypt,Mauritania,WHEAT,30.0,1118.309786549389,,33549.29359648167,
2005,Egypt,Mauritania,VEGETABLE OIL,1.2,3638.5780384770223,,4366.293646172427,
2005,Finland,Rwanda,VEGETABLE OIL,380.99,0.0,,0.0,
2005,India,Afghanistan,HIGH ENERGY BISCUITS,360.9,,,,
2005,Italy,Sri Lanka,CORN-SOYA BLEND,9.0,899.3911038652027,,8094.519934786824,
2005,Japan,Bangladesh,RICE,12528.0,1023.7669233122895,2105.4504207660975,12825752.015256362,13551330.856101308
2005,Japan,Kenya,RICE,3644.0,1023.7669233122895,2462.8180358068507,3730606.668549983,5243902.253930181
2005,Japan,Niger,RICE,7200.0,1023.7669233122895,4388.472158178989,7371121.847848484,24225877.691040237
2005,Japan,Senegal,RICE,6770.8,1023.7669233122895,2983.0066701146557,6931721.08436285,13265620.477649461
2005,"Korea, Republic of","Korea, Democratic People's Republic of",MAIZE,40691.154,1294.09424292165,1707.6519820195265,52658188.12923827,16828141.649523515
2005,Saudi Arabia,Jordan,DRIED FRUITS,700.0,0.0,4048.4534872932018,0.0,2833917.4411052414
2005,Spain,Algeria,CEREALS AND GRAINS,400.0,0.0,,0.0,
2005,Spain,Algeria,PASTA,375.362,1458.6116985935055,3395.134989143969,547507.4044074555,726897.2553876032
2005,Switzerland,Albania,DAIRY PRODUCTS,6.0,0.0,0.0,0.0,0.0
2005,Switzerland,Serbia and Montenegro,DAIRY PRODUCTS,49.0,0.0,0.0,0.0,0.0
2005,Syrian Arab Republic,Occupied Palestinian Territory,WHEAT FLOUR,400.0,1916.8037442276425,2130.9918907594283,766721.497691057,85675.25861271433
2005,United States of America,Angola,VEGETABLE OIL,199.395,3196.723790366448,,637410.740180118,
2005,United States of America,Angola,PEAS,485.229,1105.0226183501086,,536189.0200794048,
2005,United States of America,Bolivia,BULGUR WHEAT,86.0,1961.3412331771283,,168675.34605323302,
2005,United States of America,Bolivia,CORN-SOYA BLEND,844.4,1119.2139932688615,2903.095580339847,945064.2959162266,1506309.6121227401
2005,United States of America,Bolivia,WHEAT-SOYA BLEND,80.0,1807.0259951642697,,144562.07961314157,
2005,United States of America,Bolivia,PEAS,1050.8,1105.0226183501086,,1161157.767362294,
2005,United States of America,Bolivia,WHEAT,1238.2,1961.3412331771283,,2428532.7149199205,
2005,United States of America,Bolivia,WHEAT FLOUR,1429.55,1984.658988039939,,2837169.256352495,
2005,United States of America,Burkina Faso,MAIZE MEAL,80.25,517.7466065457517,2718.6656254720265,41549.16517529657,176623.75126883356
2005,United States of America,Burkina Faso,PEAS,30.0,1105.0226183501086,,33150.67855050326,
2005,United States of America,Burkina Faso,SOYA-FORTIFIED MAIZE MEAL,237.0,1085.2286818485813,2718.6656254720265,257199.19759811377,387124.5556387565
2005,United States of America,Burkina Faso,SOYA-FORTIFIED BULGUR WHEAT,3469.0,1807.0259951642697,,6268573.177224851,
2005,United States of America,Burkina Faso,VEGETABLE OIL,536.0,3196.723790366448,,1713443.9516364161,
2005,United States of America,Burkina Faso,LENTILS,975.0,1781.7565890595265,,1737212.6743330383,
2005,United States of America,Burkina Faso,RICE,1970.0,1739.8616421225033,3587.3145721050264,3427527.4349813317,3639482.2720655706
2005,United States of America,Cambodia,WHEAT,5006.0,1961.3412331771283,,9818474.213284705,
2005,United States of America,Cambodia,SOYA OIL,30.0,3196.723790366448,,95901.71371099344,
2005,United States of America,Chad,SORGHUM,1048.8,1129.2576549703522,,1184365.4285329054,
2005,United States of America,Chad,CORN-SOYA BLEND,808.15,1119.2139932688615,3848.6791975520327,904492.7886602303,2205817.304841445
2005,United States of America,Chad,VEGETABLE OIL,276.661,3196.723790366448,,884408.8005665719,
2005,United States of America,Chad,PEAS,559.7,1105.0226183501086,,618481.1594905559,
2005,United States of America,Chad,WHEAT,2740.0,1961.3412331771283,4250.299228910117,5374074.978905331,6271744.908308388
2005,United States of America,Congo,RICE,645.55,1739.8616421225033,,1123167.683072182,
2005,United States of America,Congo,VEGETABLE OIL,99.951,3196.723790366448,,319515.73957091686,
2005,United States of America,Congo,PEAS,395.949,1105.0226183501086,,437532.60071310715,
2005,United States of America,"Korea, Democratic People's Republic of",BEANS,3272.6,654.4143339759094,3178.6830233120622,2141636.349369561,8260921.712721494
2005,United States of America,El Salvador,PLAIN DRIED SKIM MILK,107.95,2388.071681656164,0.0,257792.3380347829,-257792.3380347829
2005,United States of America,Eritrea,CORN-SOYA BLEND,129.85,1119.2139932688615,7838.26486086333,145329.93702596167,872468.7551571417
2005,United States of America,Ethiopia,CORN-SOYA BLEND,2076.95,1119.2139932688615,4498.175784288136,2324551.5033197617,7017934.691857482
2005,United States of America,Ethiopia,VEGETABLE OIL,3190.0,3196.723790366448,9211.524549245069,10197548.89126897,19187214.4208228
2005,United States of America,Ethiopia,LENTILS,100.0,1781.7565890595265,7732.859556999922,178175.65890595265,595110.2967940394
2005,United States of America,Ethiopia,RICE,110.0,1739.8616421225033,4017.6560419336483,191384.78063347537,250557.38397922594
2005,United States of America,Ethiopia,BULGUR WHEAT,1440.0,1961.3412331771283,4226.952559226829,2824331.375775065,3262480.3095115693
2005,United States of America,Ethiopia,WHEAT,521.0,1961.3412331771283,4226.952559226829,1021858.7824852838,1180383.5008718942
2005,United States of America,Ethiopia,HARD SPRING RED WHEAT,4640.0,1961.3412331771283,4226.952559226829,9100623.321941875,10512436.552870613
2005,United States of America,Ethiopia,HARD RED WINTER WHEAT,200.0,1961.3412331771283,4226.952559226829,392268.24663542566,453122.2652099402
2005,United States of America,Ethiopia,CORN-SOYA BLEND,570.0,1119.2139932688615,4498.175784288136,637951.9761632511,1926008.2208809867
2005,United States of America,Ethiopia,VEGETABLE OIL,30.0,3196.723790366448,9211.524549245069,95901.71371099344,180444.02276635863
