Afghanistan,Angola,Australia,Bangladesh,Bolivia,Burkina Faso,Burundi,Canada,Chad,China,"Congo, Democratic Republic of the",Côte d'Ivoire,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,European Community,Ghana,Guatemala,Guinea,Haiti,Honduras,India,Indonesia,Iraq,Japan,Kenya,"Korea, Democratic People's Republic of","Korea, Republic of",Lebanon,Liberia,Madagascar,Malawi,Mauritania,Mongolia,Mozambique,Nicaragua,Niger,Nigeria,Occupied Palestinian Territory,Peru,Philippines,Rwanda,Sierra Leone,Somalia,Sri Lanka,Sudan,Tajikistan,Tanzania,Uganda,United States of America,Zambia,Zimbabwe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365529139.8,42323320.61,0,268973024.1,87052572.54,43677359.89,23769261.25,0,43339850.39,0,20979367.02,29846520.26,84323943.63,0,109184428.6,284133445.8,1493970335,0,104011156,121001701.7,38129947.32,230442136.5,163636878.4,188904877.7,68019153.15,26314005.62,0,125198020.7,31069984.14,0,23536094.8,51063254.98,58289597.48,42349560.47,87616758.46,88260355.49,110850783,73059388.77,40657111.4,35767837.61,21910588.28,157953074.3,209808571,26433861.8,41070061.6,22082867.22,28336543.38,1076515836,71317466.89,21110249.49,183140399.6,0,84603492.38,61254865.63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
