,country_export,country_import,Actual_WF_(m3)
180,Netherlands,Burundi,0
181,Netherlands,Central_African_Republic,0
182,Netherlands,Chad,0
183,Netherlands,Djibouti,0
184,Netherlands,Tajikistan,0
185,Netherlands,Uganda,0
186,Nigeria,Niger,10370027.32
187,Norway,Algeria,14297.88412
188,Qatar,Afghanistan,0
189,Saudi_Arabia,Afghanistan,525688.5031
190,Saudi_Arabia,Burkina_Faso,0
191,Saudi_Arabia,Djibouti,0
192,Saudi_Arabia,Ethiopia,0
193,Saudi_Arabia,Jordan,0
194,Saudi_Arabia,Mauritania,350459.0021
195,Saudi_Arabia,Pakistan,0
196,Saudi_Arabia,Senegal,350459.0021
197,Saudi_Arabia,Syrian_Arab_Republic,0
198,South_Africa,Mozambique,92475.98464
199,South_Africa,Niger,11537.99249
200,Spain,Algeria,1820542.925
201,Spain,Angola,8020972.98
202,Spain,Cape_Verde,1442773.59
203,Spain,Cote_dIvoire,3408913.517
204,Spain,Haiti,7418435.947
205,Spain,Liberia,7619924.331
206,Spain,Mali,356565.2526
207,Spain,Sao_Tome_and_Principe,1002621.623
208,Sri_Lanka,Cape_Verde,20191.75689
209,Switzerland,Albania,0
210,Switzerland,Algeria,0
211,Switzerland,Bulgaria,0
212,Switzerland,Chad,0
213,Switzerland,Cuba,0
214,Switzerland,Ghana,0
215,Switzerland,Guatemala,0
216,Switzerland,Moldova,0
217,Switzerland,Peru,0
218,Switzerland,Romania,0
219,Switzerland,Senegal,0
220,Switzerland,Serbia_and_Montenegro,0
221,Switzerland,Ukraine,0
222,Switzerland,Zambia,0
223,Syrian_Arab_Republic,Palestinian,2258033.147
224,United_Arab_Emirates,Niger,184315.4387
225,USA,Afghanistan,365529139.8
226,USA,Angola,42323320.61
227,USA,Armenia,3916625.28
228,USA,Azerbaijan,5315630.777
229,USA,Bangladesh,268973024.1
230,USA,Benin,9772419.143
231,USA,Bolivia,87052572.54
232,USA,Burkina_Faso,43677359.89
233,USA,Burundi,23769261.25
234,USA,Cambodia,19696784.45
235,USA,Cameroon,19138478.06
236,USA,Cape_Verde,10561067.36
237,USA,Central_African_Republic,327024.4825
238,USA,Chad,43339850.39
239,USA,Colombia,8212892.785
240,USA,Congo,2728837.955
241,USA,Congo,20979367.02
242,USA,Cote_dIvoire,29846520.26
243,USA,Djibouti,3038803.75
244,USA,East_Timor,351649.2071
245,USA,Ecuador,84323943.63
246,USA,El_Salvador,109184428.6
247,USA,Eritrea,284133445.8
248,USA,Ethiopia,1493970335
249,USA,Gambia,5031535.621
250,USA,Georgia,5574556.272
251,USA,Ghana,104011156
252,USA,Guatemala,121001701.7
253,USA,Guinea,38129947.32
254,USA,Guinea_Bissau,1726230.847
255,USA,Haiti,230442136.5
256,USA,Honduras,163636878.4
257,USA,India,188904877.7
258,USA,Indonesia,68019153.15
259,USA,Iraq,26314005.62
260,USA,Jamaica,17601765.95
261,USA,Kenya,125198020.7
262,USA,North_Korea,31069984.14
263,USA,Kyrgyzstan,2299318.96
264,USA,Lebanon,23536094.8
265,USA,Lesotho,8523379.931
266,USA,Liberia,51063254.98
267,USA,Madagascar,58289597.48
268,USA,Malawi,42349560.47
269,USA,Mali,1449796.527
270,USA,Mauritania,87616758.46
271,USA,Moldova,15242708.43
272,USA,Mongolia,88260355.49
273,USA,Mozambique,110850783
274,USA,Nepal,2972376.578
275,USA,Nicaragua,73059388.77
276,USA,Niger,40657111.4
277,USA,Nigeria,35767837.61
278,USA,Palestinian,21910588.28
279,USA,Pakistan,10047332.97
280,USA,Peru,157953074.3
281,USA,Philippines,209808571
282,USA,Rwanda,26433861.8
283,USA,Senegal,11837908.24
284,USA,Sierra_Leone,41070061.6
285,USA,Somalia,22082867.22
286,USA,Sri_Lanka,28336543.38
287,USA,Sudan,1076515836
288,USA,Swaziland,2417401.597
289,USA,Tajikistan,71317466.89
290,USA,Tanzania,21110249.49
291,USA,Uganda,183140399.6
292,USA,Zambia,84603492.38
293,USA,Zimbabwe,61254865.63
