Geo_FIPS,Tavg 1980,Tavg 1981,Tavg 1982,Tavg 1983,Tavg 1984,Tavg 1985,Tavg 1986,Tavg 1987,Tavg 1988,Tavg 1989,Tavg 1990,Tavg 1991,Tavg 1992,Tavg 1993,Tavg 1994,Tavg 1995,Tavg 1996,Tavg 1997,Tavg 1998,Tavg 1999,Tavg 2000,Tavg 2001,Tavg 2002,Tavg 2003,Tavg 2004,Tavg 2005,Tavg 2006,Tavg 2007,Tavg 2008,Tavg 2009,Tavg 2010,Tavg 2011,Tavg 2012,Tavg 2013,Tavg 2014,Tavg 2015,Tavg 2016,Tavg 2017,Tavg 2018,Tavg 2019,Tavg 2020,FAF
01001,63.20000000000001,62.60833333333334,64.3,61.93333333333333,63.71666666666666,63.71666666666667,64.89999999999999,63.99166666666667,62.79999999999999,63.01666666666666,65.88333333333334,64.74166666666666,62.80000000000001,63.1,63.95,64.14166666666667,62.92500000000001,63.225,65.88333333333334,64.84166666666665,64.33333333333333,63.75833333333335,64.35000000000001,63.48333333333333,64.3,64.02499999999999,64.96666666666665,65.25833333333334,63.79166666666666,63.775,63.59166666666667,64.65833333333332,65.65833333333335,63.491666666666674,62.95000000000001,65.70833333333333,66.11666666666666,65.76666666666667,65.15833333333333,66.74166666666666,66.23333333333333,019
01003,66.44166666666666,65.99166666666666,67.53333333333333,64.84166666666665,66.75833333333334,66.91666666666667,67.60833333333333,66.35000000000001,65.89166666666667,66.2,68.14166666666667,67.37500000000001,66.125,66.04166666666666,66.97500000000001,66.74166666666666,66.10833333333333,66.50833333333333,68.675,67.725,67.60000000000001,66.98333333333333,67.30833333333332,66.7,67.14166666666667,67.36666666666666,68.19166666666666,67.92500000000001,66.89999999999999,67.175,66.05833333333334,67.73333333333333,68.70833333333333,66.68333333333334,65.76666666666667,68.66666666666667,68.90833333333333,68.87500000000001,68.075,68.83333333333333,68.85000000000001,012
01005,64.38333333333334,63.79166666666668,65.49166666666667,63.099999999999994,64.84999999999998,65.26666666666665,66.225,64.78333333333333,64.01666666666667,64.35833333333333,67.26666666666667,65.79166666666667,64.00000000000001,64.20833333333334,64.64999999999999,64.85,63.98333333333333,64.35000000000001,66.95833333333333,65.35833333333333,65.14166666666667,64.59999999999998,65.175,64.48333333333333,64.71666666666665,64.79166666666667,65.80833333333334,65.675,64.73333333333333,64.46666666666667,63.93333333333334,65.25,66.18333333333335,64.62499999999999,63.73333333333333,66.45,66.90000000000002,66.9,65.88333333333334,66.94166666666666,66.10833333333332,019
01007,61.85833333333334,61.60833333333334,62.58333333333334,60.583333333333336,62.14166666666667,61.975,63.36666666666665,62.73333333333333,61.50833333333333,61.675,64.56666666666668,63.59166666666667,61.69166666666666,61.89166666666666,62.66666666666666,62.79999999999999,61.86666666666667,62.03333333333333,64.67500000000001,63.79999999999999,63.258333333333326,62.60833333333334,63.325,62.26666666666665,63.125,63.11666666666667,64.00833333333334,64.19166666666668,62.85,62.65,62.51666666666666,63.46666666666667,64.64166666666667,62.116666666666674,61.616666666666674,63.99166666666665,64.55833333333335,64.22500000000001,63.89166666666666,64.88333333333334,64.02499999999999,011
01009,60.25833333333333,59.916666666666664,60.975,59.18333333333334,60.53333333333333,60.29999999999999,61.974999999999994,61.08333333333332,59.9,59.7,62.775,62.10833333333334,59.86666666666667,60.3,60.791666666666664,60.78333333333334,59.775000000000006,59.74166666666667,63.075,62.241666666666674,61.45833333333334,61.025,61.46666666666666,60.71666666666667,61.350000000000016,61.34166666666666,62.025,62.85833333333333,60.90833333333335,60.65,60.87500000000001,61.916666666666664,63.40833333333333,60.275,59.94166666666667,62.43333333333333,63.866666666666674,63.041666666666664,62.475,63.57500000000001,62.633333333333326,011
01011,63.66666666666668,62.89166666666667,64.76666666666667,62.45,64.275,64.49166666666667,65.55833333333335,64.11666666666667,63.23333333333333,63.7,66.47500000000001,65.14999999999999,63.35,63.5,64.06666666666666,64.41666666666667,63.34166666666667,63.69999999999999,66.38333333333334,64.95,64.64166666666667,63.98333333333332,64.60833333333333,63.900000000000006,64.30833333333332,64.22500000000001,65.20833333333333,65.15000000000002,64.03333333333333,64.05833333333334,63.383333333333326,64.725,65.53333333333335,63.82499999999999,63.09166666666667,66.18333333333332,66.78333333333333,66.325,65.34166666666665,66.56666666666666,65.90833333333335,019
01013,63.849999999999994,63.23333333333334,64.89999999999999,62.23333333333334,64.325,64.35000000000001,65.36666666666666,64.31666666666666,62.88333333333333,63.60833333333333,66.24166666666666,64.68333333333334,63.15833333333334,63.40833333333334,64.25,64.35000000000001,63.366666666666674,63.708333333333336,66.16666666666667,65,64.88333333333333,64.15833333333335,64.57499999999999,63.88333333333335,64.15,64.33333333333333,65.14999999999999,64.90833333333333,63.900000000000006,63.95833333333332,63.666666666666664,64.89166666666668,65.56666666666666,64.05000000000001,63.32500000000001,66.19166666666666,66.49166666666666,66.46666666666667,65.86666666666666,67.15833333333335,67.10000000000001,019
01015,60.29166666666666,59.666666666666664,60.98333333333334,59.15,60.458333333333336,60.474999999999994,62.15,61.11666666666667,60.06666666666667,60.15,62.89166666666666,61.991666666666646,60.05,60.53333333333333,61.166666666666664,61.13333333333333,60.025,60.39166666666667,63.00000000000001,62.23333333333334,61.40833333333333,61.18333333333334,61.74166666666667,61,61.68333333333334,61.69166666666667,62.30833333333333,62.79999999999999,61.241666666666674,60.916666666666664,61.06666666666667,62.32500000000002,63.43333333333334,60.7,60.35,63.225,64.39166666666667,63.46666666666667,62.91666666666668,63.775,63.11666666666667,019
01017,61.10833333333333,60.35,61.849999999999994,59.849999999999994,61.275,61.65833333333333,62.93333333333334,61.60833333333333,60.599999999999994,61.13333333333335,63.89166666666667,62.82500000000001,60.88333333333333,61.116666666666674,61.64166666666667,61.87500000000001,60.90833333333334,61.15833333333333,63.708333333333336,62.75833333333335,62.083333333333336,61.974999999999994,62.76666666666668,61.56666666666667,62.224999999999994,61.974999999999994,62.77500000000001,62.933333333333344,61.7,61.57500000000001,61.40833333333333,62.925,63.40833333333333,61.31666666666667,60.93333333333333,63.474999999999994,63.78333333333334,63.5,62.98333333333333,64.05000000000001,63.1,019
01019,59.775,59.03333333333333,60.383333333333326,58.90833333333333,60.041666666666664,60.175,61.71666666666666,60.59166666666667,59.775000000000006,59.683333333333344,62.44166666666666,61.48333333333334,59.50833333333335,60.05833333333333,60.55,60.42499999999999,59.25,59.74166666666665,62.75,61.88333333333335,60.84166666666667,60.900000000000006,61.35,60.40833333333333,61.10833333333334,61.06666666666669,61.70833333333332,62.4,60.53333333333333,60.39166666666666,60.508333333333326,61.76666666666667,63.166666666666664,60.08333333333334,59.79999999999999,62.53333333333334,63.475,62.866666666666674,62.03333333333334,62.90833333333333,62.325,019
