population_1980,pop_changes,income_per_capita_1980,income_changes,liv_avg,avg_ag,mat,mapcp,cluster,Geo_FIPS,FAF
0.004259809,0.1743447652741433,0.3231197771587743,0.333426681,0.021529185,0.001021078,0.7222597366487263,0.4789166348106148,1,01001,019
0.010451653,0.2076975049010207,0.3423088826988548,0.3992543844295865,0.039577405,0.008640556,0.7947160930269509,0.5655620437622034,1,01003,012
0.003256345,0.1677202535488148,0.1962240792324357,0.1846536213113032,0.032668269,0.00289241,0.7439425234851348,0.4605286349662707,1,01005,019
0.002048255,0.1695493755444583,0.2287217579696688,0.2238071901144677,0.010825633,7.62430365497536e-05,0.6907757542054777,0.4911173119138581,1,01007,011
0.004821525,0.1737473839485014,0.2652429588362736,0.2671614100185528,0.0506505,0.000588905,0.6506027685646761,0.5018438359111936,1,01009,011
0.001362561,0.1675216041924473,0.1360775817600329,0.2072671264045927,0.021614971,0.000764361,0.729692558,0.4629115439464726,1,01011,019
0.002844955,0.1670827410400684,0.2013824409367584,0.2422550495326775,0.021720555,0.000147082,0.7307699946376437,0.4987948111641918,1,01013,019
0.015962483,0.166084335,0.3047560094913855,0.2741274897609129,0.022723601,0.001173757,0.6560495322833709,0.4716877908533836,1,01015,019
0.005186907,0.1659905995570091,0.2609099350046425,0.2439353099730458,0.023367001,0.000196881,0.6697086453099245,0.4682175795046938,1,01017,019
0.002454429,0.1697282459605814,0.2882492520375528,0.2768054048377498,0.019186545,0.001221047,0.6427528748187724,0.4752381192186988,1,01019,019
0.004039537,0.1715226831479702,0.2590529247910864,0.2758602583400427,0.025445681,0.000670553,0.6911034537546424,0.4856693547833292,1,01021,011
0.002197511,0.1664721737542636,0.2078819766842051,0.238999545,0.012435785,1.8336932841079977e-05,0.7352932414450556,0.4961967307679101,1,01023,019
0.003650348,0.1665432632786202,0.2474981945734034,0.2547169811320754,0.011983755,2.895305185433681e-05,0.7462314551846044,0.5164022423608424,1,01025,019
0.001778097,0.1675230374489868,0.2283090890333229,0.2713270556936324,0.025957103,4.922018815237258e-05,0.6450715973863478,0.4986757801680626,1,01027,019
0.001629911,0.1683184948283804,0.2446095120189828,0.2578149613190044,0.014596952,0.000369956,0.6309209350360471,0.4791043375352801,1,01029,019
0.005098905,0.1715714138703115,0.316929743,0.3013617110652151,0.037317253,0.00361199,0.753922464,0.4993121381858302,1,01031,019
0.007236901,0.1677684109685403,0.3728463839884452,0.2550320299646445,0.024822077,0.002574409,0.6276836607018726,0.4996440515404214,1,01033,019
0.002069788,0.1665922806522693,0.1920973898689776,0.1972905800399061,0.021746951,7.52779348212757e-05,0.7495978232805706,0.5273233362556968,1,01035,019
0.001467014,0.1674476481550118,0.2341896213762509,0.2658837119753561,0.008489593,4.17406497566689e-05,0.6810242100454812,0.4873312106139023,1,01037,019
0.004873818,0.1677133739174255,0.2624574435159393,0.264938565,0.045282227,0.001357657,0.7543941530456196,0.5219188712199074,1,01039,019
0.00183253,0.167561449,0.1750747962447126,0.2981062064620016,0.031252787,0.000861112,0.7278902107207409,0.492678449,1,01041,019
0.008189544,0.1738640510308124,0.2890745899102445,0.2510939195575314,0.086684251,0.000802965,0.6392772735397508,0.5114716122519519,1,01043,011
0.006341099,0.1680648084208981,0.2755596822449189,0.2481884692127279,0.021324616,0.002406771,0.7629639927707496,0.4846461460281416,1,01045,019
0.007164948,0.1631146269849528,0.2075724749819457,0.1753596807505163,0.041962938,0.0027627,0.7329943794562174,0.4678833770924847,1,01047,019
0.00712175,0.1727372247394984,0.2735995047972764,0.2141806980081912,0.071209634,0.000645267,0.6066860638318999,0.5051950162637543,1,01049,019
0.005748489,0.1785745919733621,0.3221912720519962,0.3297511114222704,0.024271062,0.001815549,0.7178904093265283,0.4732260375725917,1,01051,019
0.005086467,0.1671655832680485,0.2467760239347983,0.1500507578674694,0.021614971,0.001501698,0.7668914222160438,0.5550781598723621,1,01053,019
0.01372846,0.1675465428562337,0.3572681316413906,0.245195505,0.029616239,0.000344541,0.652424977,0.4891807691691407,1,01055,019
0.002460983,0.1669540346028259,0.2742185082017951,0.2294430636748696,0.013283754,0.000269746,0.6688794661476437,0.5146282227069938,1,01057,019
0.003737013,0.1685707479793232,0.2901062622511091,0.1937375293170441,0.037304055,0.000363602,0.6245804452741756,0.5180938559404478,1,01059,019
0.003189073,0.1682534249814895,0.3036211699164345,0.2074071481079567,0.049911414,0.004258029,0.7741752894679351,0.5130693744692246,1,01061,019
0.001419402,0.1668402340335938,0.091818838,0.1384989673399376,0.025920808,0.000187712,0.7140076661833928,0.4821121592451604,1,01063,019
0.00203234,0.1673992040839785,0.1127617868564943,0.2089298841320404,0.040672836,0.000472417,0.7124138547397275,0.4792668606261486,1,01065,019
0.00199195,0.1681648497273516,0.2308882698854843,0.2826863163790387,0.025419285,0.006392834,0.7662012671049238,0.4681374624880683,1,01067,019
0.00992685,0.1764393263808925,0.3561332920664397,0.2926453600308047,0.036508878,0.009956375,0.7859128915016581,0.4824188929659549,1,01069,019
0.006820697,0.1677454788639091,0.2898999277829361,0.2347463856897819,0.048367251,0.000729231,0.611164624,0.5139506616521043,1,01071,019
0.089729501,0.1639998062237158,0.4568245125348188,0.3726852662162635,0.010330709,0.000324467,0.6770074079958693,0.4932507136137122,1,01073,011
0.002145887,0.1668978509464796,0.2533787269163314,0.2139006546014632,0.012670049,0.000632785,0.6711981887152193,0.5135592327994487,1,01075,019
0.010717799,0.171175548,0.3756318993087795,0.3023943711275247,0.052904053,0.000633493,0.6171724494051759,0.5017408283183895,1,01077,019
