year,country_export,country_import,Product,Commodity Cereals Non Cereals,Tonnage,Exporter Footprint (per unit),Importers Footprint (per unit),Water Footprint Traded (m3),Water Saved (m3)
2005,United States of America,Sudan,WHEAT,CEREALS,65847.459,1961.3412331771283,1808.4462046018339,129149336.4366404,-10067749.125415528
2005,United States of America,Sudan,CORN-SOYA BLEND,CEREALS,3223.9,1119.2139932688615,8154.27020110917,3608233.9928994826,22680317.70845637
2005,United States of America,Sudan,VEGETABLE OIL,NON CEREALS,2968.774,3196.723790366448,,9490350.474021362,
2005,United States of America,Sudan,PEAS,NON CEREALS,1594.5,1105.0226183501086,,1761958.564959248,
2005,United States of America,Sudan,PEAS,NON CEREALS,1029.53,1105.0226183501086,,1137653.9362699874,
2005,United States of America,Tajikistan,WHEAT FLOUR,CEREALS,1009.8,1984.658988039939,1723.2789936105405,2004108.6461227303,-263941.51837480656
2005,United States of America,Tajikistan,VEGETABLE OIL,NON CEREALS,200.0,3196.723790366448,357389.88819912553,639344.7580732896,70838632.88175182
2005,United States of America,Tajikistan,WHEAT FLOUR,CEREALS,2937.0,1984.658988039939,1723.2789936105405,5828943.447873301,-767673.0436391433
2005,United States of America,Tajikistan,VEGETABLE OIL,NON CEREALS,250.0,3196.723790366448,357389.88819912553,799180.947591612,88548291.10218978
2005,United States of America,Tajikistan,LENTILS,NON CEREALS,520.0,1781.7565890595265,15097.900726605116,926513.4263109538,6924394.951523706
2005,United States of America,Tanzania,VEGETABLE OIL,NON CEREALS,39.989,3196.723790366448,,127833.78765296389,
2005,United States of America,Tanzania,PEAS,NON CEREALS,559.45,1105.0226183501086,,618204.9038359683,
2005,United States of America,Uganda,MAIZE MEAL,CEREALS,2016.15,517.7466065457517,,1043854.8207872172,
2005,United States of America,Uganda,CORN-SOYA BLEND,CEREALS,3091.099,1119.2139932688615,,3459601.255379385,
2005,United States of America,Uganda,VEGETABLE OIL,NON CEREALS,1806.153,3196.723790366448,,5773772.264141732,
2005,United States of America,Uganda,PEAS,NON CEREALS,1390.099,1105.0226183501086,,1536090.8367458675,
2005,United States of America,Zambia,BULGUR WHEAT,CEREALS,200.0,1961.3412331771283,886.445480600374,392268.24663542566,-214979.15051535083
2005,United States of America,Zambia,BEANS,NON CEREALS,34.0,654.4143339759094,,22250.08735518092,
2005,United States of America,Zimbabwe,MAIZE MEAL,CEREALS,60.0,517.7466065457517,3776.817501710124,31064.7963927451,195544.25370986233
2005,United States of America,Zimbabwe,CORN-SOYA BLEND,CEREALS,1090.6,1119.2139932688615,3394.849075011324,1220614.7810590202,2481807.6201483295
2005,Australia,"Korea, Democratic People's Republic of",WHEAT FLOUR,CEREALS,2688.0,2038.3113557636955,2204.7192012784803,5478980.924292813,447304.2887437417
2005,Belgium,Cape Verde,MAIZE MEAL,CEREALS,13.0,273.6817123210212,,3557.862260173276,
2005,Canada,Cambodia,CANNED FISH,NON CEREALS,149.99,,,,
2005,Canada,Côte d'Ivoire,PEAS,NON CEREALS,73.45,1198.5304697317051,,88032.06300179375,
2005,Canada,Haiti,BEANS,NON CEREALS,294.0,1133.914245344889,3784.194385568587,333370.78813139733,779182.3612257673
2005,Canada,Malawi,PEAS,NON CEREALS,163.5,1198.5304697317051,,195959.73180113378,
2005,Canada,Mali,VEGETABLE OIL,NON CEREALS,433.283,2770.8855292768285,4772.542940114962,1200577.594781652,867284.1279401791
2005,Canada,Mozambique,PEAS,NON CEREALS,84.0,1198.5304697317051,,100676.55945746323,
2005,Canada,Somalia,VEGETABLE OIL,NON CEREALS,50.013,2770.8855292768285,,138580.29797572203,
2005,Canada,Sudan,PEAS,NON CEREALS,18.5,1198.5304697317051,,22172.813690036546,
2005,Canada,Yemen,WHEAT,CEREALS,1425.75,1341.2082980589053,4159.873518777667,1912227.730957484,4018711.9384397753
2005,Canada,Yemen,VEGETABLE OIL,NON CEREALS,167.804,2770.8855292768285,,464965.67535476893,
2005,China,"Korea, Democratic People's Republic of",MAIZE,CEREALS,38888.0,864.9832118773745,1707.6519820195265,33637467.14348734,32769703.133288007
2005,China,"Korea, Democratic People's Republic of",RICE,CEREALS,7482.0,1089.826055002166,2283.060491073877,8154078.543526206,8927780.050688542
2005,China,"Korea, Democratic People's Republic of",WHEAT FLOUR,CEREALS,4251.0,1301.5082956775225,2204.7192012784803,5532711.764925148,3839549.559709672
2005,China,Liberia,RICE,CEREALS,33000.0,1089.826055002166,,35964259.81507148,
2005,Denmark,Central African Republic,PEA WHEAT BLENDED,CEREALS,194.4,551.5279708611165,,107217.03753540105,
2005,Denmark,Gambia,PEAS,NON CEREALS,481.8,566.472003430096,,272926.21125262027,
2005,Denmark,Honduras,PEA WHEAT BLENDED,CEREALS,86.4,551.5279708611165,,47652.01668240047,
2005,Denmark,Honduras,VEGETABLE OIL,NON CEREALS,349.3,0.0,,0.0,
2005,Denmark,Honduras,PEAS,NON CEREALS,657.0,566.472003430096,,372172.1062535731,
2005,Denmark,Kenya,PEAS,NON CEREALS,328.5,566.472003430096,,186086.05312678654,
2005,Denmark,Mauritania,PEAS,NON CEREALS,262.8,566.472003430096,,148868.84250142926,
2005,Denmark,Sierra Leone,PEAS,NON CEREALS,43.8,566.472003430096,,24811.473750238205,
2005,Denmark,Zambia,VEGETABLE OIL,NON CEREALS,110.376,0.0,,0.0,
2005,European Community,Haiti,WHEAT-SOYA BLEND,CEREALS,157.5,1809.1795784619717,,284945.78360776056,
2005,Germany,"Korea, Democratic People's Republic of",SUGAR,NON CEREALS,137.0,0.0,,0.0,
2005,India,Afghanistan,HIGH ENERGY BISCUITS,NON CEREALS,1770.0,,,,
2005,India,Guinea,RICE,CEREALS,991.0,2530.151540889038,5516.246845284353,2507380.177021037,2959220.4466557573
2005,Italy,Cape Verde,MAIZE MEAL,CEREALS,6.0,455.29448968044863,,2731.766938082692,
2005,Japan,Lao People's Democratic Republic,RICE,CEREALS,602.1,1023.7669233122895,2464.487280843957,616410.0645263295,867457.7272698169
2005,Japan,Maldives,WHEAT FLOUR,CEREALS,4620.0,1095.5661454778706,,5061515.592107762,
2005,Japan,Peru,RICE,CEREALS,1000.5,1023.7669233122895,1248.823655216962,1024278.8067739456,225169.2602706248
2005,Japan,Uganda,RICE,CEREALS,3270.0,1023.7669233122895,2883.667589376194,3347717.8392311865,6081875.178028968
2005,Luxembourg,Mauritania,WHEAT,CEREALS,750.0,742.4457646311388,,556834.3234733541,
