Donor,Recipient,Commodity,VWT,Water Saved
United States of America,Indonesia,WHEAT FLOUR,1389261.2916279573,
United States of America,Kenya,SOYA-FORTIFIED BULGUR WHEAT,1499831.575986344,0
United States of America,Lesotho,PEAS,736442.3239994299,
United States of America,Liberia,CORN-SOYA BLEND,1804162.884223465,0
United States of America,Mauritania,VEGETABLE OIL,1882742.4435742232,0
United States of America,Mauritania,PEAS,1057118.782822013,0
United States of America,Mauritania,SOYA-FORTIFIED SORGHUM GRITS,1296397.2800487417,4135842.8214648273
United States of America,Mauritania,WHEAT-SOYA BLEND,1165531.7668809542,0
United States of America,Mozambique,SOYA-FORTIFIED MAIZE MEAL,1086748.0020031694,3490649.578364354
United States of America,Nepal,VEGETABLE OIL,319586.0674943049,
United States of America,Nicaragua,MAIZE MEAL,56952.126720032684,170886.9780966222
United States of America,Occupied Palestinian Territory,WHEAT FLOUR,20951548.77199063,1544799.8707839688
United States of America,Occupied Palestinian Territory,VEGETABLE OIL,959039.5141764672,
United States of America,Pakistan,ENRICHED DRIED SKIM MILK,2400012.0400644448,-2400012.0400644448
United States of America,Uganda,SOYA-FORTIFIED MAIZE MEAL,488352.9068318616,
United States of America,Uganda,LENTILS,195993.2247965479,
United States of America,Zimbabwe,VEGETABLE OIL,3653855.2923888504,1910911.876761538
Canada,Afghanistan,PEAS,419425.7378826102,
Canada,Angola,PEAS,1497563.8219297656,
Canada,Burkina Faso,VEGETABLE OIL,371315.2862362707,0
Canada,Burundi,PEAS,2274511.1989333434,0
Canada,Chad,PEAS,569301.97312256,0
Canada,"Congo, Democratic Republic of the",PEAS,1821167.0487573256,0
Canada,Sierra Leone,PEAS,407320.58013832,0
Canada,Uganda,VEGETABLE OIL,2868550.931527249,0
Canada,Uganda,PEAS,2704723.711043539,0
China,"Korea, Democratic People's Republic of",WHEAT,14360611.43242342,9965868.753921784
China,Sri Lanka,CANNED FISH,0,0
Denmark,Cambodia,PEA WHEAT BLENDED,273999.0959238027,
Denmark,Cambodia,VEGETABLE OIL,0.0,
Denmark,Guatemala,PEAS,99245.89500095282,
Denmark,Guinea,PEAS,344981.4500889285,
Denmark,Nicaragua,VEGETABLE OIL,0.0,
Denmark,Nicaragua,PEAS,283236.00171504804,
Denmark,Pakistan,VEGETABLE OIL,0.0,0
Denmark,Sao Tome and Principe,VEGETABLE OIL,0.0,
Italy,Burundi,RICE,2252870.615417095,2232243.380899852
Italy,El Salvador,CORN-SOYA BLEND,356158.87713062024,346951.6357133221
Italy,Sierra Leone,RICE,1369116.887077886,6571935.9002679065
Japan,Madagascar,RICE,6716934.783851931,23230571.372273117
Libyan Arab Jamahiriya,Niger,MAIZE,345337.044534413,1250456.101444909
Libyan Arab Jamahiriya,Niger,MILLET,1290214.2857142857,0
Libyan Arab Jamahiriya,Niger,DRIED FRUITS DATES,105249.60348445247,204685.90864210908
Libyan Arab Jamahiriya,Niger,MANIOC,0.0,114457.57664577638
Norway,Benin,CANNED FISH,,
Switzerland,Romania,DAIRY PRODUCTS,0.0,25907.68030843268
United Kingdom,Niger,HARD BISCUITS,,
United States of America,Bangladesh,WHEAT,16671400.48200559,-5104639.994798199
United States of America,Djibouti,WHEAT FLOUR,2864855.249235652,0
United States of America,Djibouti,CORN-SOYA BLEND,78037.19568067137,104803.12939322076
United States of America,Djibouti,VEGETABLE OIL,95911.30388236456,
United States of America,Honduras,SOYA BEANS,23633763.82726518,0
United States of America,Indonesia,SOYA-FORTIFIED MAIZE MEAL,3125458.6037239144,4633435.627254976
United States of America,Indonesia,LENTILS,1033418.8216545254,0
United States of America,Iraq,WHEAT FLOUR,9300806.648600968,18618153.8794652
United States of America,Malawi,SOYA-FORTIFIED MAIZE MEAL,2937793.2634578845,6053938.062819702
United States of America,Malawi,BEANS,651862.1180734034,
United States of America,Malawi,PINTO BEANS,904302.6749941168,
United States of America,Senegal,RICE,4784619.515836884,3418648.826978419
United States of America,Sierra Leone,WHEAT,1384706.9106230526,
United States of America,Sierra Leone,BEANS,66815.70349894035,
United States of America,Sierra Leone,LENTILS,1336317.441794645,0
United States of America,Sierra Leone,RICE,11309100.673796272,41577009.077994354
United States of America,Swaziland,PEAS,660249.9094415716,
United States of America,Zambia,PEAS,1101862.2536616274,0
Belgium,Niger,CORN-SOYA BLEND,1548.0554797243751,51645.04938625303
Belgium,Niger,MISCELLANEOUS,,
Canada,Afghanistan,VEGETABLE OIL,5718922.083096912,0
Canada,Algeria,BEANS,781833.872165301,-604954.3034883775
Canada,Côte d'Ivoire,LENTILS,1976739.6135764525,
Canada,Eritrea,VEGETABLE OIL,1478206.4703875438,
Canada,Peru,WHEAT,5230712.362429731,8423491.445822893
Canada,Zambia,PEAS,1527287.3775791118,0
Denmark,Benin,VEGETABLE OIL,0.0,
Denmark,Benin,PEAS,184811.49111906884,
Denmark,Gambia,VEGETABLE OIL,0.0,
Denmark,Ghana,VEGETABLE OIL,0.0,
Denmark,Madagascar,PEA WHEAT BLENDED,238260.08341200236,0
Denmark,Rwanda,PEAS,197132.25719367343,
Denmark,Sierra Leone,PEA WHEAT BLENDED,393129.1376298038,
Denmark,Sudan,VEGETABLE OIL,0.0,
Denmark,Sudan,PEAS,73924.59644762753,
Egypt,Niger,RICE,174717.18692428916,351899.4720571895
Egypt,Niger,WHEAT FLOUR,130813.53936260882,193730.79872808568
Egypt,Niger,VEGETABLE OIL,24014615.053948347,0
Germany,Niger,VEGETABLE OIL,224773.7702456784,
Germany,Niger,BEANS,6136.350676263534,18450.709596177123
Germany,Niger,LENTILS,0.0,
Japan,Haiti,RICE,4228157.3932797555,11311956.161458263
Netherlands,Uganda,SUGAR,0.0,279677.7843749558
Norway,Lao People's Democratic Republic,CANNED FISH,,
Saudi Arabia,Burkina Faso,CEREALS AND GRAINS,0.0,
United States of America,Colombia,RICE,6453320.816796577,826526.6272735593
United States of America,Colombia,VEGETABLE OIL,479201.683071092,
United States of America,Colombia,LENTILS,1280370.284898176,
United States of America,Georgia,BEANS,11517.692277976006,
United States of America,Georgia,PEAS,17901.366417271758,
United States of America,Indonesia,WHEAT,18495314.457656465,
United States of America,Kenya,WHEAT FLOUR,3952349.1417321367,
United States of America,Niger,SORGHUM,2700563.218978849,0
United States of America,Niger,MISCELLANEOUS,,
United States of America,Niger,LENTILS,746912.3621337535,0
United States of America,Niger,PEAS,773515.832845076,
United States of America,Sri Lanka,WHEAT FLOUR,3526937.4876457755,
United States of America,Sri Lanka,LENTILS,623258.4548530224,
United States of America,Zimbabwe,PINTO BEANS,815516.5941765126,-324907.77384904784
Canada,Algeria,LENTILS,3013322.5816714214,0
Canada,Bolivia,WHEAT,6840162.320100416,
Canada,Ghana,PEAS,179779.57045975578,
Canada,Guinea,PEAS,269669.35568963364,
Canada,Sierra Leone,LENTILS,291689.6259057936,
Canada,Somalia,PEAS,1827758.9663408503,0
Denmark,Bolivia,PEAS,359766.369378454,
Denmark,Cape Verde,VEGETABLE OIL,0.0,
Denmark,Guinea,VEGETABLE OIL,0.0,0
Denmark,Kenya,VEGETABLE OIL,0.0,
European Community,Chad,CORN-SOYA BLEND,1065962.9896778073,1443375.8471261184
Finland,Chad,VEGETABLE OIL,0.0,
India,Chad,RICE,12650757.70444519,15613188.404915389
Italy,Chad,RICE,161320.12501430008,488750.6355009932
Japan,Burundi,CANNED FISH,,
Japan,Eritrea,WHEAT,3852226.464620152,17134408.899607792
Qatar,Afghanistan,DRIED FRUITS,0.0,319964.8368474931
South Africa,Mozambique,MAIZE,33903.166355481946,69518.55992436662
South Africa,Mozambique,RICE,58572.81827655315,23336.42098214808
South Africa,Mozambique,BISCUITS,,
Spain,Liberia,CANNED MEAT,7619924.331338838,-1531424.5674136733
Switzerland,Ghana,ENRICHED DRIED SKIM MILK,0.0,22767.901215873364
Switzerland,Peru,ENRICHED DRIED SKIM MILK,0.0,0.0
United States of America,Bangladesh,SOYA OIL,53704959.67815633,
United States of America,El Salvador,RICE,1355091.2399671117,254443.6799215222
United States of America,Gambia,SOYA-FORTIFIED SORGHUM GRITS,292106.6832727852,
United States of America,Gambia,WHEAT-SOYA BLEND,361405.19903285394,
United States of America,Gambia,LENTILS,38129.59100587387,
United States of America,Guinea,MAIZE MEAL,671387.9120382034,3654697.7881655097
United States of America,Guinea,SOYA-FORTIFIED MAIZE MEAL,435176.7014212812,902598.7879033296
United States of America,India,SOYA OIL,18061489.41557043,28546151.15998857
United States of America,Senegal,SOYA-FORTIFIED SORGHUM GRITS,289463.81328126945,
United States of America,Senegal,WHEAT-SOYA BLEND,993864.2973403484,0
United States of America,Tajikistan,PEAS,386536.911898868,1948390.6582170152
Belgium,Occupied Palestinian Territory,DRIED WHOLE MILK,0.0,602256.5700791071
Canada,Afghanistan,WHEAT,2689122.6376081053,2796424.596555999
Canada,Burkina Faso,PEAS,239706.09394634105,
Canada,Chad,WHEAT,3193427.6873446377,6926568.7790841805
Canada,Côte d'Ivoire,VEGETABLE OIL,1524402.6739316469,0
Canada,Ethiopia,PEAS,6595573.101457059,16200843.409852244
Canada,Ghana,VEGETABLE OIL,277166.13772250264,
Canada,Peru,VEGETABLE OIL,461939.8683567986,
Canada,Peru,PEAS,689155.0200957304,613597.0356733993
Canada,Rwanda,PEAS,988787.6375286567,0
Canada,Sierra Leone,VEGETABLE OIL,323359.5703810766,
"Congo, Democratic Republic of the",Niger,MAIZE MEAL,216366.05029967203,91052.10957753574
"Congo, Democratic Republic of the",Niger,RICE,107019.47622714951,-44044.90075728104
Denmark,Cameroon,VEGETABLE OIL,0.0,
Denmark,Central African Republic,VEGETABLE OIL,0.0,
Denmark,Djibouti,PEA WHEAT BLENDED,178695.06255900176,
Denmark,Djibouti,VEGETABLE OIL,0.0,
Denmark,Djibouti,PEAS,248114.73750238208,
Denmark,Lesotho,PEAS,98566.12859683672,
Denmark,Mali,PEA WHEAT BLENDED,262086.09175320252,981185.437216124
Denmark,Mauritania,VEGETABLE OIL,0.0,
Denmark,Mozambique,PEAS,407774.8716691546,0
Denmark,Niger,VEGETABLE OIL,0.0,
Denmark,Niger,PEAS,147849.19289525505,
Denmark,Sierra Leone,VEGETABLE OIL,0.0,0
Denmark,Tanzania,VEGETABLE OIL,0.0,
European Community,Tajikistan,SOYA OIL,49465093.470828295,3488337409.8123155
European Community,Tajikistan,PEAS,20422.29044558246,113078.42825744118
Greece,Niger,CORN-SOYA BLEND,46558.04402430235,219407.48030558467
Italy,Eritrea,CORN-SOYA BLEND,2987777.2470402033,23050938.620747782
Italy,Niger,CORN-SOYA BLEND,899391.1038652027,4419919.382732538
Japan,Burkina Faso,RICE,5640955.747450715,14125147.544847982
Japan,Mongolia,WHEAT,10534615.936130997,
Netherlands,Angola,SUGAR,0.0,772174.5571688035
Netherlands,Djibouti,SUGAR,0.0,
Nigeria,Niger,MAIZE,3110288.1241627475,4087856.019406181
Nigeria,Niger,MILLET,1152694.9442199029,
Nigeria,Niger,RICE,2049610.7602605105,-459623.41263068095
Nigeria,Niger,SORGHUM,4057433.491789744,
"Korea, Republic of","Korea, Democratic People's Republic of",RICE,340659072.3211753,344259075.0009878
Spain,Angola,CANNED MEAT,8020972.980356672,-5318284.194408232
Spain,Côte d'Ivoire,CANNED MEAT,3408913.516651586,817598.626278371
Spain,Haiti,CANNED MEAT,7418435.947577475,-2800298.105405853
United States of America,Afghanistan,WHEAT FLOUR,5139373.682478825,2029692.9957621305
United States of America,"Korea, Democratic People's Republic of",MAIZE,4920024.72684502,9424251.922119005
United States of America,"Korea, Democratic People's Republic of",WHEAT,16475266.358687878,1826787.70000444
United States of America,El Salvador,VEGETABLE OIL,63918.49218837713,
United States of America,Kenya,SOYA-FORTIFIED MAIZE MEAL,814192.8185568982,981246.0943366868
United States of America,East Timor,VEGETABLE OIL,351649.2071116804,
Belgium,Occupied Palestinian Territory,LENTILS,0.0,
Canada,Bolivia,LENTILS,1355995.1617521397,
Canada,Lesotho,PEAS,299632.61743292626,
Canada,Mauritania,WHEAT,1443475.4307858967,
Canada,Somalia,WHEAT,2691805.0542042227,34836031.93290866
Canada,Zambia,VEGETABLE OIL,739103.2351937719,
Denmark,Bangladesh,PEA WHEAT BLENDED,547998.1918476054,2315926.880962593
Denmark,Central African Republic,PEAS,74207.83244934258,
Denmark,Chad,VEGETABLE OIL,0.0,
Finland,Senegal,VEGETABLE OIL,0.0,
France,Mauritania,WHEAT,699078.2697841958,
Japan,Bhutan,CANNED FISH,,
Japan,Congo,RICE,2270715.035906658,
Japan,Djibouti,RICE,3474664.9377219104,
Japan,Egypt,CANNED FISH,,
Japan,Guinea,RICE,7740701.7071642205,33967640.69003077
Japan,Jordan,CANNED FISH,,
Japan,Mauritania,RICE,7915765.851050622,5205892.372944048
Japan,Yemen,CANNED FISH,,
Malaysia,Kenya,VEGETABLE OIL,0.0,0
Malaysia,Sri Lanka,VEGETABLE OIL,0.0,
Saudi Arabia,Pakistan,DRIED FRUITS,0.0,10652511.263889864
Spain,Sao Tome and Principe,CANNED MEAT,1002621.622544584,-224915.56571842125
Switzerland,Chad,ENRICHED DRIED SKIM MILK,0.0,0.0
Switzerland,Guatemala,ENRICHED DRIED SKIM MILK,0.0,0.0
Switzerland,Zambia,ENRICHED DRIED SKIM MILK,0.0,0.0
United States of America,Benin,PULSES,231628.35657773845,
United States of America,Central African Republic,PEAS,109894.4993949183,
United States of America,El Salvador,BEANS,39101.25645506058,
United States of America,Nicaragua,SOYA OIL,15024601.814722307,0
Algeria,Mali,RICE,8519292.929292928,18752718.58665239
Algeria,Mozambique,RICE,11112121.212121211,50319808.23190471
Australia,Bangladesh,WHEAT,116833067.88111018,-37906937.49781269
Canada,Lesotho,VEGETABLE OIL,230969.9341783993,
Canada,Liberia,VEGETABLE OIL,1154846.9000064672,
Canada,Liberia,PEAS,1197451.7923089466,
Canada,Malawi,VEGETABLE OIL,692859.926595671,
Canada,Swaziland,VEGETABLE OIL,230969.9341783993,
Denmark,Bhutan,PEA WHEAT BLENDED,119130.04170600115,417614.3928111149
Egypt,Ethiopia,CEREALS AND GRAINS,0.0,221090.02021410957
European Community,"Congo, Democratic Republic of the",ENRICHED DRIED SKIM MILK,48476.50606341136,310552.642841725
European Community,"Congo, Democratic Republic of the",SUGAR,131792.53398777737,-6046.690813652458
European Community,"Congo, Democratic Republic of the",VEGETABLE OIL,539673.7139963083,
European Community,Eritrea,SUGAR,158151.04078533285,
European Community,Eritrea,SOYA OIL,359782.4759975389,
European Community,Haiti,SUGAR,60624.56563437759,36814.77410026977
Finland,Egypt,VEGETABLE OIL,0.0,501920.0089396744
Finland,Lesotho,VEGETABLE OIL,0.0,
Finland,Yemen,VEGETABLE OIL,0.0,
Italy,Armenia,SUGAR,0.0,
Italy,Georgia,RICE,614180.7855218347,
Italy,Georgia,CHEESE,0.0,91069.51847992398
Italy,Georgia,VEGETABLE OIL,800130.2238177425,
Italy,Mauritania,CORN-SOYA BLEND,178079.43856531012,904636.209211248
Japan,Benin,RICE,4580333.214899183,6179168.810723251
Japan,Cambodia,RICE,7709988.699464852,19254418.861956477
Japan,Côte d'Ivoire,RICE,2354663.923618266,7583018.916767456
Japan,Haiti,CANNED FISH,,
Japan,Lao People's Democratic Republic,CANNED FISH,,
Japan,Rwanda,CANNED FISH,,
Japan,Syrian Arab Republic,CANNED FISH,,
Luxembourg,"Korea, Democratic People's Republic of",WHEAT,1483963.4720564887,2870944.926730567
Malaysia,Somalia,VEGETABLE OIL,0.0,
Saudi Arabia,Mauritania,DRIED FRUITS DATES,350459.00209345826,-8675.682705405598
Spain,Algeria,RICE,1273035.5208730716,
Spain,Mali,RICE,339476.13889948576,419397.22502247104
Spain,Mali,WHEAT FLOUR,5834.446794374022,4755.219738930689
Spain,Mali,SUGAR,11254.666870473342,10327.257532436986
Switzerland,Algeria,CHEESE,0.0,0.0
Switzerland,Cuba,ENRICHED DRIED SKIM MILK,0.0,0.0
Switzerland,Senegal,MILK,0.0,27454.50031985174
United States of America,Afghanistan,SOYA OIL,94782860.38436519,0
United States of America,Afghanistan,SOYA BEANS,16527107.571514113,
United States of America,Bolivia,VEGETABLE OIL,1726230.846797882,
United States of America,Cambodia,RICE,1618071.327173928,1711751.9409341365
United States of America,Cambodia,FISH,,
United States of America,Cambodia,OILS AND FATS,64580.27859326157,
United States of America,Cambodia,TEXTURED SOY PROTEINS,171881.91874374676,
United States of America,Cameroon,RICE,19138478.063347537,35768231.14537619
United States of America,Central African Republic,MAIZE MEAL,217129.9831201246,
United States of America,Eritrea,COMMON WHEAT,5354461.56657356,10748268.771914996
United States of America,Guatemala,PULSES,1959932.2479654795,
United States of America,Guatemala,SOYA BEANS,11238433.148629596,
United States of America,Guatemala,SOYA FLOUR,42776043.126271814,0
United States of America,Guinea,RICE,417566.7941094008,906332.448758844
United States of America,Guinea,PINTO BEANS,394604.8036337964,
United States of America,Guinea,WHEAT FLOUR,8295874.570006945,
United States of America,Guinea-Bissau,VEGETABLE OIL,1726230.846797882,
United States of America,Honduras,WHEAT FLOUR,1964812.39815954,
United States of America,Honduras,LACTO SOYA BLEND,5949758.72574508,
United States of America,Iraq,SOYA FLOUR,17013198.97067629,
United States of America,Jamaica,BARLEY,688337.3776823131,
United States of America,Jamaica,RICE,6959446.5684900135,
United States of America,Jamaica,WHEAT FLOUR,1488494.2410299545,
United States of America,Jamaica,CORN-SOYA BLEND,839410.4949516461,
United States of America,Jamaica,BUCKWHEAT,3533903.5706520183,
United States of America,Jamaica,DEHYDRATED POTATOES,55260.032934023664,
United States of America,Jamaica,SOYA OIL,2397542.8427748363,
United States of America,Jamaica,BEANS,1308828.6679518188,
United States of America,Jamaica,TEXTURED SOY PROTEINS,330542.1514302822,
United States of America,Kyrgyzstan,RICE,347972.32842450065,33709.94914389076
United States of America,Kyrgyzstan,WHEAT FLOUR,992329.4940199696,79959.67578974261
United States of America,Kyrgyzstan,SOYA OIL,959017.1371099344,3495267.825094189
United States of America,Lebanon,WHEAT,23536094.798125543,-3700829.456567975
United States of America,Mali,CORN-SOYA BLEND,1098677.535706371,1502929.4860671265
United States of America,Mauritania,RICE,6959446.5684900135,-171211.58453001862
United States of America,Nicaragua,MAIZE,205001.03028520916,615113.229122156
United States of America,Nicaragua,BUCKWHEAT,1060171.0711956054,
United States of America,Nigeria,SOYA FLOUR,17499290.369838472,
United States of America,Pakistan,VEGETABLE OIL,7647320.930094861,
United States of America,Philippines,WHEAT,18240473.46854729,
United States of America,Moldova,WHEAT FLOUR,12543044.804412415,-456254.88336247776
United States of America,Moldova,DEHYDRATED POTATOES,69075.04116752958,240904.23688911463
United States of America,Moldova,VEGETABLE OIL,1150820.5645319214,935800.13892796
United States of America,Moldova,PINTO BEANS,1479768.0136267366,776511.1593028902
United States of America,Uganda,WHEAT,21967021.81158384,
United States of America,Zambia,PRE-PACKAGED FOOD PARCELS,,
