Donor,Recipient,Commodity,VWT,Water Saved
United States of America,Honduras,RICE,28550520.595655534,25695820.592444677
United States of America,Honduras,WHEAT,91457341.7030495,0
United States of America,India,BULGUR WHEAT,74021018.14010483,-5895295.563634358
United States of America,India,VEGETABLE OIL,96822370.16261901,153027579.8820768
United States of America,Indonesia,RICE,33944700.637810044,10756950.675435407
United States of America,Kenya,MAIZE MEAL,8974087.952099137,32505811.01535686
United States of America,Kenya,VEGETABLE OIL,19445744.341446284,0
United States of America,Kenya,BEANS,2739475.255344585,-510389.69524927717
United States of America,Lesotho,VEGETABLE OIL,1274396.3160961173,0
United States of America,Madagascar,CORN-SOYA BLEND,2366018.3817703733,0
United States of America,Madagascar,SOYA OIL,30049203.62944461,0
United States of America,Malawi,MAIZE MEAL,16597021.904534742,89880089.43018894
United States of America,Malawi,VEGETABLE OIL,2843019.0898575624,0
United States of America,Mali,MAIZE MEAL,103794.73320065302,398250.94054039917
United States of America,Mongolia,WHEAT,88260355.49297078,0
United States of America,Mozambique,MAIZE MEAL,1056267.2779325452,8269135.818981489
United States of America,Mozambique,PEAS,1428959.998919443,0
United States of America,Mozambique,RICE,9672101.391817693,35862235.813889354
United States of America,Mozambique,WHEAT,66136426.382732764,-14642167.531770714
United States of America,Niger,RICE,9551840.415252544,14540871.733150106
United States of America,Niger,VEGETABLE OIL,10928240.031651981,0
United States of America,Nigeria,RICE,18268547.242286284,41130621.92979111
United States of America,Peru,WHEAT FLOUR,1180872.0978837635,927035.0496151472
United States of America,Peru,VEGETABLE OIL,26980348.79069282,0
United States of America,Peru,PEAS,362447.4188188356,380687.6669068593
United States of America,Peru,WHEAT,92967574.45259589,72983517.98616676
United States of America,Philippines,RICE,188253029.67765486,136856949.81707263
United States of America,Rwanda,MAIZE,4920024.72684502,0
United States of America,Rwanda,VEGETABLE OIL,15759864.27012554,0
United States of America,Somalia,MAIZE,4567765.013616421,30259448.922791336
United States of America,Somalia,RICE,4067446.807092347,-757809.1230218002
United States of America,Sri Lanka,RICE,14168914.734676316,6993882.0097702285
United States of America,Sri Lanka,CORN-SOYA BLEND,1797933.3391369304,0
United States of America,Sri Lanka,VEGETABLE OIL,7121383.145208612,0
United States of America,Sudan,MAIZE,8862193.953512363,114515983.17009974
United States of America,Sudan,SORGHUM,171142385.38372177,818686284.7997719
United States of America,Sudan,CORN-SOYA BLEND,39871407.565214746,250620162.89463323
United States of America,Sudan,VEGETABLE OIL,61645030.17952536,0
United States of America,Sudan,PEAS,20157138.59494192,0
United States of America,Uganda,MAIZE MEAL,6911373.563448912,0
United States of America,Uganda,SORGHUM,35142495.96416205,0
United States of America,Uganda,CORN-SOYA BLEND,28331193.199833505,0
United States of America,Uganda,VEGETABLE OIL,33695917.44088579,0
United States of America,Uganda,PEAS,16431074.152335547,0
United States of America,Uganda,MAIZE,281144.2701054297,0
United States of America,Uganda,HARD RED WINTER WHEAT,37853885.80031858,0
United States of America,Zambia,SORGHUM,57348107.82424887,0
United States of America,Zambia,BEANS,1053181.7083841297,0
United States of America,Zambia,PINTO BEANS,7076497.269165325,
United States of America,Zambia,WHEAT,13729388.6322399,-7524270.268037279
United States of America,Zimbabwe,SORGHUM,24459720.80665783,111074581.46008478
Australia,"Korea, Democratic People's Republic of",WHEAT FLOUR,13326479.64398304,1087974.4939756636
Australia,Sri Lanka,LENTILS,1044235.6433250166,
Canada,El Salvador,BEANS,111123.59604379912,
Canada,Haiti,VEGETABLE OIL,5235042.3431193,0
Canada,Mozambique,PEAS,3741752.1999788964,0
Canada,Somalia,VEGETABLE OIL,1612727.4210628753,0
Canada,Tanzania,PEAS,2920519.1221187324,0
Denmark,Burkina Faso,PEAS,223303.26375214383,
Denmark,Madagascar,VEGETABLE OIL,0.0,0
Denmark,Zambia,PEAS,530217.7952105699,0
Egypt,Mauritania,RICE,57947.866996555895,9595.071093846049
Egypt,Mauritania,WHEAT,33549.29359648167,
Egypt,Mauritania,VEGETABLE OIL,4366.293646172427,
Italy,Sri Lanka,CORN-SOYA BLEND,8094.519934786824,
Japan,Bangladesh,RICE,12825752.015256362,13551330.856101308
Japan,Kenya,RICE,7736606.639470972,10874909.257121399
Japan,Niger,RICE,13919135.089353887,45746532.37324765
Japan,Senegal,RICE,12718051.73492391,24339243.526576433
Saudi Arabia,Jordan,DRIED FRUITS,0.0,2833917.4411052414
Spain,Algeria,PASTA,547507.4044074555,726897.2553876032
Switzerland,Albania,DAIRY PRODUCTS,0.0,0.0
Switzerland,Serbia and Montenegro,DAIRY PRODUCTS,0.0,0.0
Syrian Arab Republic,Occupied Palestinian Territory,WHEAT FLOUR,2258033.1467750473,252317.92037737434
United States of America,Bolivia,BULGUR WHEAT,874758.1899969992,0
United States of America,Bolivia,CORN-SOYA BLEND,2371043.6526001506,3779135.303394012
United States of America,Bolivia,WHEAT-SOYA BLEND,3779647.852525393,0
United States of America,Bolivia,PEAS,2549983.344783261,0
United States of America,Bolivia,WHEAT,40845323.44916034,0
United States of America,Burkina Faso,MAIZE MEAL,41549.16517529657,176623.75126883356
United States of America,Burkina Faso,PEAS,33150.67855050326,
United States of America,Burkina Faso,SOYA-FORTIFIED MAIZE MEAL,1516064.468542468,2281911.410241953
United States of America,Burkina Faso,SOYA-FORTIFIED BULGUR WHEAT,12195618.441363655,0
United States of America,Burkina Faso,LENTILS,4342140.807538066,0
United States of America,Burkina Faso,RICE,20739150.77410024,22021638.925391678
United States of America,Cambodia,WHEAT,9818474.213284705,
United States of America,Chad,SORGHUM,21815902.784841243,0
United States of America,Chad,VEGETABLE OIL,3729470.5969261783,0
United States of America,Chad,WHEAT,12115695.132643417,14139465.779141601
United States of America,Congo,RICE,1642603.3763278553,0
United States of America,Congo,VEGETABLE OIL,319515.73957091686,
United States of America,Congo,PEAS,766718.8387196045,0
United States of America,Ethiopia,LENTILS,46676142.8366157,155899259.12024412
United States of America,Ethiopia,RICE,1026518.368852277,1343898.6958885756
United States of America,Ethiopia,BULGUR WHEAT,11297325.50310026,13049921.238046277
United States of America,Ethiopia,HARD SPRING RED WHEAT,9100623.321941877,10512436.552870613
United States of America,Ethiopia,HARD RED WINTER WHEAT,303223354.64918405,350263511.0072837
United States of America,Guatemala,SOYA-FORTIFIED BULGUR WHEAT,252983.63932299777,0
United States of America,Guinea,CORN-SOYA BLEND,111305.83163058828,264025.1266888418
United States of America,Guinea,PEAS,868050.5178449277,0
United States of America,Haiti,RICE,6256627.718292985,7274367.392700259
United States of America,Haiti,SOYA-FORTIFIED BULGUR WHEAT,15477177.64858197,0
United States of America,Haiti,WHEAT-SOYA BLEND,3249032.739305357,0
United States of America,Haiti,VEGETABLE OIL,5338528.729911968,0
United States of America,Kenya,CORN-SOYA BLEND,15386561.13534867,21832361.967020016
United States of America,Lesotho,SOYA-FORTIFIED MAIZE MEAL,3241711.55580958,12790145.985563368
United States of America,Liberia,BULGUR WHEAT,41046557.05968431,0
United States of America,Liberia,VEGETABLE OIL,4817459.555358447,0
United States of America,Liberia,PEAS,1916217.5124356868,0
United States of America,Malawi,CORN-SOYA BLEND,2552619.334798124,6017502.889451462
United States of America,Mali,VEGETABLE OIL,159474.959730011,78612.88992350412
