state,year,agency,scode,area,to-total
AR,1990,USGS,5,29,13.38
AR,1990,USGS,5,31,266.62
AR,1990,USGS,5,33,5.85
AR,1990,USGS,5,35,68.55
AR,1990,USGS,5,37,357.5
AR,1990,USGS,5,39,1.36
AR,1990,USGS,5,41,298.01
AR,1990,USGS,5,43,54.91
AR,1990,USGS,5,45,14.44
AR,1990,USGS,5,47,6.41
AR,1990,USGS,5,49,73.73
AR,1990,USGS,5,51,245.8
AR,1990,USGS,5,53,1.74
AR,1990,USGS,5,55,123.38
AR,1990,USGS,5,57,10.22
AR,1990,USGS,5,59,6.4
AR,1990,USGS,5,61,7.16
AR,1990,USGS,5,63,50.61
AR,1990,USGS,5,65,2.44
AR,1990,USGS,5,67,281.25
AR,1990,USGS,5,69,295.03
AR,1990,USGS,5,71,5.35
AR,1990,USGS,5,73,5.15
AR,1990,USGS,5,75,235.78
AR,1990,USGS,5,77,169.55
AR,1990,USGS,5,79,128.36
AR,1990,USGS,5,81,6.59
AR,1990,USGS,5,83,7.59
AR,1990,USGS,5,85,330.17
AR,1990,USGS,5,87,4.87
AR,1990,USGS,5,89,1.74
AR,1990,USGS,5,91,70.33
AR,1990,USGS,5,93,126.42
AR,1990,USGS,5,95,200.74
AR,1990,USGS,5,97,1.73
AR,1990,USGS,5,99,2.16
AR,1990,USGS,5,101,1.1
AR,1990,USGS,5,103,3.95
AR,1990,USGS,5,105,15.18
AR,1990,USGS,5,107,243.95
AR,1990,USGS,5,109,2.91
AR,1990,USGS,5,111,450.26
AR,1990,USGS,5,113,4.79
AR,1990,USGS,5,115,921.69
AR,1990,USGS,5,117,280.15
AR,1990,USGS,5,119,74.31
AR,1990,USGS,5,121,68.16
AR,1990,USGS,5,123,172.19
AR,1990,USGS,5,125,30.91
AR,1990,USGS,5,127,3.41
AR,1990,USGS,5,129,1.65
AR,1990,USGS,5,131,22.17
AR,1990,USGS,5,133,6.56
AR,1990,USGS,5,135,1.95
AR,1990,USGS,5,137,2.7
AR,1990,USGS,5,139,11.72
AR,1990,USGS,5,141,2.45
AR,1990,USGS,5,143,15.46
AR,1990,USGS,5,145,153.01
AR,1990,USGS,5,147,157.69
AR,1990,USGS,5,149,13.87
CA,1990,USGS,6,1,237.83
CA,1990,USGS,6,3,27.25
CA,1990,USGS,6,5,26.37
CA,1990,USGS,6,7,860.03
CA,1990,USGS,6,9,13.57
CA,1990,USGS,6,11,880.76
CA,1990,USGS,6,13,1143.59
CA,1990,USGS,6,15,13.71
CA,1990,USGS,6,17,62.54
CA,1990,USGS,6,19,3612.62
CA,1990,USGS,6,21,799.02
CA,1990,USGS,6,23,111.76
CA,1990,USGS,6,25,2457.56
CA,1990,USGS,6,27,124.6
CA,1990,USGS,6,29,3031.43
CA,1990,USGS,6,31,1378.95
CA,1990,USGS,6,33,60.96
CA,1990,USGS,6,35,291.43
CA,1990,USGS,6,37,4173.12
CA,1990,USGS,6,39,878.17
CA,1990,USGS,6,41,39.97
CA,1990,USGS,6,43,7.52
CA,1990,USGS,6,45,15.25
CA,1990,USGS,6,47,1618.97
CA,1990,USGS,6,49,450.93
CA,1990,USGS,6,51,212.91
CA,1990,USGS,6,53,1259.73
CA,1990,USGS,6,55,64.25
CA,1990,USGS,6,57,79.73
CA,1990,USGS,6,59,719.57
CA,1990,USGS,6,61,261.15
CA,1990,USGS,6,63,122.41
CA,1990,USGS,6,65,1434.91
CA,1990,USGS,6,67,718.19
CA,1990,USGS,6,69,78.88
CA,1990,USGS,6,71,628.02
CA,1990,USGS,6,73,4450.48
CA,1990,USGS,6,75,535.26
CA,1990,USGS,6,77,1786.61
CA,1990,USGS,6,79,2875.31
CA,1990,USGS,6,81,109.8
CA,1990,USGS,6,83,295.27
CA,1990,USGS,6,85,320.25
CA,1990,USGS,6,87,53.05
CA,1990,USGS,6,89,385.32
CA,1990,USGS,6,91,4.53
CA,1990,USGS,6,93,457.94
CA,1990,USGS,6,95,577.86
CA,1990,USGS,6,97,198.04
CA,1990,USGS,6,99,1296.11
CA,1990,USGS,6,101,954.45
CA,1990,USGS,6,103,347.98
CA,1990,USGS,6,105,26.13
CA,1990,USGS,6,107,1968.85
CA,1990,USGS,6,109,22.92
CA,1990,USGS,6,111,1078.93
CA,1990,USGS,6,113,841.13
CA,1990,USGS,6,115,360.55
CO,1990,USGS,8,1,138.05
CO,1990,USGS,8,3,337.39
CO,1990,USGS,8,5,81.74
CO,1990,USGS,8,7,45.73
CO,1990,USGS,8,9,92.28
CO,1990,USGS,8,11,174.27
CO,1990,USGS,8,13,211.98
CO,1990,USGS,8,15,117.23
CO,1990,USGS,8,17,26.69
CO,1990,USGS,8,19,14.28
CO,1990,USGS,8,21,328.71
CO,1990,USGS,8,23,152.01
CO,1990,USGS,8,25,67.1
CO,1990,USGS,8,27,25.8
CO,1990,USGS,8,29,676.71
CO,1990,USGS,8,31,145.36
CO,1990,USGS,8,33,15.71
CO,1990,USGS,8,35,24.6
CO,1990,USGS,8,37,184.24
CO,1990,USGS,8,39,23.54
CO,1990,USGS,8,41,125.07
CO,1990,USGS,8,43,193.7
CO,1990,USGS,8,45,419.86
CO,1990,USGS,8,47,0.45
CO,1990,USGS,8,49,167.92
CO,1990,USGS,8,51,271.92
CO,1990,USGS,8,53,9.48
CO,1990,USGS,8,55,35.73
CO,1990,USGS,8,57,358.08
CO,1990,USGS,8,59,110.11
CO,1990,USGS,8,61,7.36
CO,1990,USGS,8,63,194.73
CO,1990,USGS,8,65,43.69
CO,1990,USGS,8,67,309.92
CO,1990,USGS,8,69,297.01
CO,1990,USGS,8,71,64.9
CO,1990,USGS,8,73,8.76
CO,1990,USGS,8,75,280.29
CO,1990,USGS,8,77,941.88
CO,1990,USGS,8,79,6.58
CO,1990,USGS,8,81,247.69
CO,1990,USGS,8,83,323.98
CO,1990,USGS,8,85,691.07
CO,1990,USGS,8,87,310.81
CO,1990,USGS,8,89,351.44
CO,1990,USGS,8,91,55.68
CO,1990,USGS,8,93,22.34
CO,1990,USGS,8,95,102.77
CO,1990,USGS,8,97,82.9
CO,1990,USGS,8,99,344.3
CO,1990,USGS,8,101,221.66
CO,1990,USGS,8,103,212.29
CO,1990,USGS,8,105,342.12
CO,1990,USGS,8,107,299.81
CO,1990,USGS,8,109,456.78
CO,1990,USGS,8,111,3.21
CO,1990,USGS,8,113,31.64
CO,1990,USGS,8,115,94.42
CO,1990,USGS,8,117,34.33
CO,1990,USGS,8,119,8.81
CO,1990,USGS,8,121,52.78
CO,1990,USGS,8,123,1362.06
CO,1990,USGS,8,125,329.84
CT,1990,USGS,9,1,770.56
CT,1990,USGS,9,3,104.08
CT,1990,USGS,9,5,83.73
CT,1990,USGS,9,7,566.54
CT,1990,USGS,9,9,663.44
CT,1990,USGS,9,11,2617.49
CT,1990,USGS,9,13,19.1
CT,1990,USGS,9,15,18.61
DE,1990,USGS,10,1,24.76
DE,1990,USGS,10,3,926.78
DE,1990,USGS,10,5,415.53
DC,1990,USGS,11,1,9.02
FL,1990,USGS,12,1,52.48
FL,1990,USGS,12,3,10.07
FL,1990,USGS,12,5,285.86
FL,1990,USGS,12,7,9.02
FL,1990,USGS,12,9,1195.89
FL,1990,USGS,12,11,1292.09
FL,1990,USGS,12,13,2.38
FL,1990,USGS,12,15,50.66
FL,1990,USGS,12,17,1481.36
FL,1990,USGS,12,19,25.64
FL,1990,USGS,12,21,213.79
FL,1990,USGS,12,23,11.38
FL,1990,USGS,12,25,576.15
FL,1990,USGS,12,27,121.97
FL,1990,USGS,12,29,5.87
FL,1990,USGS,12,31,512.47
FL,1990,USGS,12,33,292.17
FL,1990,USGS,12,35,14.67
FL,1990,USGS,12,37,2.67
FL,1990,USGS,12,39,18.51
FL,1990,USGS,12,41,11.06
FL,1990,USGS,12,43,81.71
FL,1990,USGS,12,45,56.43
FL,1990,USGS,12,47,50.6
FL,1990,USGS,12,49,66.55
FL,1990,USGS,12,51,492.96
FL,1990,USGS,12,53,45.83
FL,1990,USGS,12,55,141.47
FL,1990,USGS,12,57,2304.94
FL,1990,USGS,12,59,6.76
FL,1990,USGS,12,61,328.35
FL,1990,USGS,12,63,141.5
FL,1990,USGS,12,65,12.1
FL,1990,USGS,12,67,9.64
FL,1990,USGS,12,69,97.03
FL,1990,USGS,12,71,572.93
FL,1990,USGS,12,73,39.49
FL,1990,USGS,12,75,24.56
FL,1990,USGS,12,77,3.72
FL,1990,USGS,12,79,7.46
FL,1990,USGS,12,81,141.84
FL,1990,USGS,12,83,51.07
FL,1990,USGS,12,85,209.6
FL,1990,USGS,12,87,45.64
FL,1990,USGS,12,89,44.77
FL,1990,USGS,12,91,31.59
FL,1990,USGS,12,93,44.26
FL,1990,USGS,12,95,282.34
FL,1990,USGS,12,97,76.84
FL,1990,USGS,12,99,1419.08
FL,1990,USGS,12,101,1465.9
FL,1990,USGS,12,103,563.97
FL,1990,USGS,12,105,437.5
FL,1990,USGS,12,107,80.24
FL,1990,USGS,12,109,52.65
FL,1990,USGS,12,111,1510.94
FL,1990,USGS,12,113,23.83
FL,1990,USGS,12,115,62.67
FL,1990,USGS,12,117,67.37
FL,1990,USGS,12,119,73.6
FL,1990,USGS,12,121,141.76
FL,1990,USGS,12,123,50.66
FL,1990,USGS,12,125,5.05
FL,1990,USGS,12,127,277.64
FL,1990,USGS,12,129,54.49
FL,1990,USGS,12,131,9.05
FL,1990,USGS,12,133,3.36
GA,1990,USGS,13,1,60.58
GA,1990,USGS,13,3,2.11
GA,1990,USGS,13,5,3.46
GA,1990,USGS,13,7,14
GA,1990,USGS,13,9,12.38
GA,1990,USGS,13,11,1.82
GA,1990,USGS,13,13,5.26
GA,1990,USGS,13,15,75.95
GA,1990,USGS,13,17,5.77
GA,1990,USGS,13,19,13.55
GA,1990,USGS,13,21,76.45
GA,1990,USGS,13,23,6.46
GA,1990,USGS,13,25,2.33
GA,1990,USGS,13,27,26.16
GA,1990,USGS,13,29,1.48
GA,1990,USGS,13,31,10.08
GA,1990,USGS,13,33,70.78
GA,1990,USGS,13,35,2.37
GA,1990,USGS,13,37,9.24
GA,1990,USGS,13,39,44.46
GA,1990,USGS,13,43,4.5
GA,1990,USGS,13,45,12.49
GA,1990,USGS,13,47,4.97
GA,1990,USGS,13,49,1.67
GA,1990,USGS,13,51,516.12
GA,1990,USGS,13,53,13.63
GA,1990,USGS,13,55,11.86
GA,1990,USGS,13,57,8.32
GA,1990,USGS,13,59,16.96
GA,1990,USGS,13,61,1.66
GA,1990,USGS,13,63,21.54
GA,1990,USGS,13,65,0.77
GA,1990,USGS,13,67,399.57
GA,1990,USGS,13,69,8.36
GA,1990,USGS,13,71,16.99
GA,1990,USGS,13,73,9.72
GA,1990,USGS,13,75,6.62
GA,1990,USGS,13,77,445.72
GA,1990,USGS,13,79,3.33
GA,1990,USGS,13,81,14.55
GA,1990,USGS,13,83,1.47
GA,1990,USGS,13,85,1.06
GA,1990,USGS,13,87,36.86
GA,1990,USGS,13,89,81.36
GA,1990,USGS,13,91,4.66
GA,1990,USGS,13,93,5.01
GA,1990,USGS,13,95,128.31
GA,1990,USGS,13,97,6.53
GA,1990,USGS,13,99,116.7
GA,1990,USGS,13,101,0.7
GA,1990,USGS,13,103,121.46
GA,1990,USGS,13,105,3.35
GA,1990,USGS,13,107,5.47
GA,1990,USGS,13,109,2.77
GA,1990,USGS,13,111,1.43
GA,1990,USGS,13,113,8.14
GA,1990,USGS,13,115,461.58
GA,1990,USGS,13,117,7.61
GA,1990,USGS,13,119,3.36
GA,1990,USGS,13,121,143.57
GA,1990,USGS,13,123,2.84
GA,1990,USGS,13,125,0.31
GA,1990,USGS,13,127,144.56
GA,1990,USGS,13,129,13.59
GA,1990,USGS,13,131,10.38
GA,1990,USGS,13,133,1.86
GA,1990,USGS,13,135,62.06
GA,1990,USGS,13,137,6.26
GA,1990,USGS,13,139,17.04
GA,1990,USGS,13,141,1.07
GA,1990,USGS,13,143,3.07
GA,1990,USGS,13,145,11.2
GA,1990,USGS,13,147,4.37
GA,1990,USGS,13,149,4.98
GA,1990,USGS,13,151,8.2
GA,1990,USGS,13,153,23.81
GA,1990,USGS,13,155,3.89
GA,1990,USGS,13,157,6.27
GA,1990,USGS,13,159,1.92
GA,1990,USGS,13,161,6.81
GA,1990,USGS,13,163,18.59
GA,1990,USGS,13,165,4.12
GA,1990,USGS,13,167,1.95
GA,1990,USGS,13,169,1.97
GA,1990,USGS,13,171,3.53
GA,1990,USGS,13,173,3.66
GA,1990,USGS,13,175,26.03
GA,1990,USGS,13,177,17.59
GA,1990,USGS,13,179,20.59
GA,1990,USGS,13,181,0.98
GA,1990,USGS,13,183,0.53
GA,1990,USGS,13,185,26.17
GA,1990,USGS,13,187,3.85
GA,1990,USGS,13,189,3.39
GA,1990,USGS,13,191,1.1
GA,1990,USGS,13,193,21.49
GA,1990,USGS,13,195,5.02
GA,1990,USGS,13,197,2.36
GA,1990,USGS,13,199,4.61
GA,1990,USGS,13,201,13.7
GA,1990,USGS,13,205,32.31
GA,1990,USGS,13,207,17.35
GA,1990,USGS,13,209,1.71
GA,1990,USGS,13,211,2.59
GA,1990,USGS,13,213,3.99
GA,1990,USGS,13,215,36.12
GA,1990,USGS,13,217,6.78
GA,1990,USGS,13,219,2.21
GA,1990,USGS,13,221,1.36
GA,1990,USGS,13,223,4.59
GA,1990,USGS,13,225,6.97
GA,1990,USGS,13,227,2.21
GA,1990,USGS,13,229,3.95
GA,1990,USGS,13,231,1.69
GA,1990,USGS,13,233,4.18
GA,1990,USGS,13,235,12.01
GA,1990,USGS,13,237,1048.57
GA,1990,USGS,13,239,0.37
GA,1990,USGS,13,241,3.55
GA,1990,USGS,13,243,7.52
GA,1990,USGS,13,245,108.44
GA,1990,USGS,13,247,6.77
GA,1990,USGS,13,249,1.35
GA,1990,USGS,13,251,10.99
GA,1990,USGS,13,253,24.3
GA,1990,USGS,13,255,10.27
GA,1990,USGS,13,257,4.76
GA,1990,USGS,13,259,1.56
GA,1990,USGS,13,261,13.78
GA,1990,USGS,13,263,2.94
GA,1990,USGS,13,265,0.24
GA,1990,USGS,13,267,5.44
GA,1990,USGS,13,269,1.6
GA,1990,USGS,13,271,5.57
GA,1990,USGS,13,273,6.77
GA,1990,USGS,13,275,6.67
GA,1990,USGS,13,277,22.21
GA,1990,USGS,13,279,6.16
GA,1990,USGS,13,281,0.73
GA,1990,USGS,13,283,0.98
GA,1990,USGS,13,285,13.27
GA,1990,USGS,13,287,7.73
GA,1990,USGS,13,289,18.82
GA,1990,USGS,13,291,1.13
GA,1990,USGS,13,293,10.09
GA,1990,USGS,13,295,13.25
GA,1990,USGS,13,297,5.69
GA,1990,USGS,13,299,6.82
GA,1990,USGS,13,301,5.36
GA,1990,USGS,13,303,22.35
GA,1990,USGS,13,305,70.12
GA,1990,USGS,13,307,2.67
GA,1990,USGS,13,309,2.24
GA,1990,USGS,13,311,3.73
GA,1990,USGS,13,313,36.66
GA,1990,USGS,13,315,17.66
GA,1990,USGS,13,317,3
GA,1990,USGS,13,319,22.51
GA,1990,USGS,13,321,27.2
HI,1990,USGS,15,1,170.33
HI,1990,USGS,15,3,1791.49
HI,1990,USGS,15,5,0
HI,1990,USGS,15,7,286.76
HI,1990,USGS,15,9,487.98
ID,1990,USGS,16,1,783.01
ID,1990,USGS,16,3,82.79
ID,1990,USGS,16,5,215.05
ID,1990,USGS,16,7,82.75
ID,1990,USGS,16,9,10.4
ID,1990,USGS,16,11,2231
ID,1990,USGS,16,13,112.37
ID,1990,USGS,16,15,9.35
ID,1990,USGS,16,17,25.43
ID,1990,USGS,16,19,905.73
ID,1990,USGS,16,21,4.04
ID,1990,USGS,16,23,244.26
ID,1990,USGS,16,25,577.8
ID,1990,USGS,16,27,1822.85
ID,1990,USGS,16,29,466.42
ID,1990,USGS,16,31,1548.31
ID,1990,USGS,16,33,311.53
ID,1990,USGS,16,35,3.91
ID,1990,USGS,16,37,268.62
ID,1990,USGS,16,39,642.27
ID,1990,USGS,16,41,93.88
ID,1990,USGS,16,43,656.97
ID,1990,USGS,16,45,298.84
ID,1990,USGS,16,47,651.86
ID,1990,USGS,16,49,23.43
ID,1990,USGS,16,51,1169.48
ID,1990,USGS,16,53,366.39
ID,1990,USGS,16,55,54.52
ID,1990,USGS,16,57,10.66
ID,1990,USGS,16,59,148.12
ID,1990,USGS,16,61,1.17
ID,1990,USGS,16,63,672.5
ID,1990,USGS,16,65,594.5
ID,1990,USGS,16,67,996.31
ID,1990,USGS,16,69,56.72
ID,1990,USGS,16,71,83.99
ID,1990,USGS,16,73,704.28
ID,1990,USGS,16,75,530.92
ID,1990,USGS,16,77,380.23
ID,1990,USGS,16,79,11.17
ID,1990,USGS,16,81,359.04
ID,1990,USGS,16,83,1083.81
ID,1990,USGS,16,85,207.04
ID,1990,USGS,16,87,213.52
IL,1990,USGS,17,1,20.66
IL,1990,USGS,17,3,2.33
IL,1990,USGS,17,5,2.02
IL,1990,USGS,17,7,5.61
IL,1990,USGS,17,9,0.6
IL,1990,USGS,17,11,6.45
IL,1990,USGS,17,13,10.58
IL,1990,USGS,17,15,12.36
IL,1990,USGS,17,17,6.72
IL,1990,USGS,17,19,34.38
IL,1990,USGS,17,21,798.54
IL,1990,USGS,17,23,4.29
IL,1990,USGS,17,25,2.32
IL,1990,USGS,17,27,6.45
IL,1990,USGS,17,29,5.82
IL,1990,USGS,17,31,1791
IL,1990,USGS,17,33,70.36
IL,1990,USGS,17,35,1.27
IL,1990,USGS,17,37,14.51
IL,1990,USGS,17,39,496.37
IL,1990,USGS,17,41,7.83
IL,1990,USGS,17,43,104.54
IL,1990,USGS,17,45,2.53
IL,1990,USGS,17,47,1.39
IL,1990,USGS,17,49,4.52
IL,1990,USGS,17,51,8.14
IL,1990,USGS,17,53,2.27
IL,1990,USGS,17,55,16.36
IL,1990,USGS,17,57,275.66
IL,1990,USGS,17,59,9.2
IL,1990,USGS,17,61,2.08
IL,1990,USGS,17,63,1547.82
IL,1990,USGS,17,65,1.54
IL,1990,USGS,17,67,3.4
IL,1990,USGS,17,69,1.62
IL,1990,USGS,17,71,8.09
IL,1990,USGS,17,73,8.96
IL,1990,USGS,17,75,3.96
IL,1990,USGS,17,77,177.97
IL,1990,USGS,17,79,421.78
IL,1990,USGS,17,81,5.84
IL,1990,USGS,17,83,8.8
IL,1990,USGS,17,85,7.17
IL,1990,USGS,17,87,1.44
IL,1990,USGS,17,89,45.94
IL,1990,USGS,17,91,20.69
IL,1990,USGS,17,93,5.41
IL,1990,USGS,17,95,3.11
IL,1990,USGS,17,97,2874.41
IL,1990,USGS,17,99,674.8
IL,1990,USGS,17,101,12.61
IL,1990,USGS,17,103,8.32
IL,1990,USGS,17,105,5.7
IL,1990,USGS,17,107,4.69
IL,1990,USGS,17,109,4.77
IL,1990,USGS,17,111,29.88
IL,1990,USGS,17,113,11.22
IL,1990,USGS,17,115,43.34
IL,1990,USGS,17,117,7.45
IL,1990,USGS,17,119,374.8
IL,1990,USGS,17,121,8.51
IL,1990,USGS,17,123,3.92
IL,1990,USGS,17,125,138.44
IL,1990,USGS,17,127,476.81
IL,1990,USGS,17,129,1.53
IL,1990,USGS,17,131,3.3
IL,1990,USGS,17,133,2.45
IL,1990,USGS,17,135,424.93
IL,1990,USGS,17,137,142.59
IL,1990,USGS,17,139,2.57
IL,1990,USGS,17,141,68.2
IL,1990,USGS,17,143,398.38
IL,1990,USGS,17,145,10.83
IL,1990,USGS,17,147,3.35
IL,1990,USGS,17,149,17.37
IL,1990,USGS,17,151,0.26
IL,1990,USGS,17,153,1.06
IL,1990,USGS,17,155,177.73
IL,1990,USGS,17,157,1053.25
IL,1990,USGS,17,159,3.11
IL,1990,USGS,17,161,72.18
IL,1990,USGS,17,163,37.31
IL,1990,USGS,17,165,4.88
IL,1990,USGS,17,167,241.64
IL,1990,USGS,17,169,1.34
IL,1990,USGS,17,171,2.55
IL,1990,USGS,17,173,4.55
IL,1990,USGS,17,175,1.11
IL,1990,USGS,17,177,9.96
IL,1990,USGS,17,179,812.95
IL,1990,USGS,17,181,3.13
IL,1990,USGS,17,183,18.85
IL,1990,USGS,17,185,3.82
IL,1990,USGS,17,187,3.57
IL,1990,USGS,17,189,2.76
IL,1990,USGS,17,191,4.59
IL,1990,USGS,17,193,9.34
IL,1990,USGS,17,195,21.09
IL,1990,USGS,17,197,3628.27
IL,1990,USGS,17,199,82.91
IL,1990,USGS,17,201,48.91
IL,1990,USGS,17,203,9.13
IN,1990,USGS,18,1,6.93
IN,1990,USGS,18,3,48.12
IN,1990,USGS,18,5,16.91
IN,1990,USGS,18,7,1.05
IN,1990,USGS,18,9,2.78
IN,1990,USGS,18,11,4.22
IN,1990,USGS,18,13,0.52
IN,1990,USGS,18,15,3.96
IN,1990,USGS,18,17,28.23
IN,1990,USGS,18,19,17.57
IN,1990,USGS,18,21,3.23
IN,1990,USGS,18,23,5.49
IN,1990,USGS,18,25,6.13
IN,1990,USGS,18,27,11.42
IN,1990,USGS,18,29,782.19
IN,1990,USGS,18,31,4.44
IN,1990,USGS,18,33,6.13
IN,1990,USGS,18,35,16.49
IN,1990,USGS,18,37,8.08
IN,1990,USGS,18,39,34.4
IN,1990,USGS,18,41,5.3
IN,1990,USGS,18,43,231.81
IN,1990,USGS,18,45,2.68
IN,1990,USGS,18,47,2.51
IN,1990,USGS,18,49,3.83
IN,1990,USGS,18,51,36.82
IN,1990,USGS,18,53,12.01
IN,1990,USGS,18,55,19.53
IN,1990,USGS,18,57,43.5
IN,1990,USGS,18,59,5.26
IN,1990,USGS,18,61,3.19
IN,1990,USGS,18,63,7.88
IN,1990,USGS,18,65,6.83
IN,1990,USGS,18,67,16.24
IN,1990,USGS,18,69,6.13
IN,1990,USGS,18,71,7.5
IN,1990,USGS,18,73,41.41
IN,1990,USGS,18,75,4.26
IN,1990,USGS,18,77,1281.63
IN,1990,USGS,18,79,3.74
IN,1990,USGS,18,81,10.61
IN,1990,USGS,18,83,27.7
IN,1990,USGS,18,85,14.74
IN,1990,USGS,18,87,10.43
IN,1990,USGS,18,89,2300.44
IN,1990,USGS,18,91,107.23
IN,1990,USGS,18,93,7.48
IN,1990,USGS,18,95,20.66
IN,1990,USGS,18,97,321.23
IN,1990,USGS,18,99,7.31
IN,1990,USGS,18,101,2.64
IN,1990,USGS,18,103,8.16
IN,1990,USGS,18,105,13.98
IN,1990,USGS,18,107,6.54
IN,1990,USGS,18,109,112.98
IN,1990,USGS,18,111,2.93
IN,1990,USGS,18,113,5.84
IN,1990,USGS,18,115,0.58
IN,1990,USGS,18,117,2.55
IN,1990,USGS,18,119,1.93
IN,1990,USGS,18,121,1.79
IN,1990,USGS,18,123,2.36
IN,1990,USGS,18,125,512.63
IN,1990,USGS,18,127,718.91
IN,1990,USGS,18,129,17.28
IN,1990,USGS,18,131,4.77
IN,1990,USGS,18,133,6.28
IN,1990,USGS,18,135,5.02
IN,1990,USGS,18,137,3.88
IN,1990,USGS,18,139,4.19
IN,1990,USGS,18,141,70.92
IN,1990,USGS,18,143,4.02
IN,1990,USGS,18,145,8.1
IN,1990,USGS,18,147,36.94
IN,1990,USGS,18,149,3.25
IN,1990,USGS,18,151,3.5
IN,1990,USGS,18,153,607.06
IN,1990,USGS,18,155,4.3
