state,year,agency,scode,area,to-total
AL,1990,USGS,1,1,36.19
AL,1990,USGS,1,3,39.98
AL,1990,USGS,1,5,6.17
AL,1990,USGS,1,7,4.15
AL,1990,USGS,1,9,10.52
AL,1990,USGS,1,11,4.63
AL,1990,USGS,1,13,3.61
AL,1990,USGS,1,15,23.88
AL,1990,USGS,1,17,22.26
AL,1990,USGS,1,19,3.13
AL,1990,USGS,1,21,6.65
AL,1990,USGS,1,23,42.89
AL,1990,USGS,1,25,23.58
AL,1990,USGS,1,27,2.96
AL,1990,USGS,1,29,3.43
AL,1990,USGS,1,31,15.03
AL,1990,USGS,1,33,832.18
AL,1990,USGS,1,35,2.45
AL,1990,USGS,1,37,0.94
AL,1990,USGS,1,39,18.85
AL,1990,USGS,1,41,6.88
AL,1990,USGS,1,43,21.93
AL,1990,USGS,1,45,12.24
AL,1990,USGS,1,47,33.14
AL,1990,USGS,1,49,13.13
AL,1990,USGS,1,51,6.02
AL,1990,USGS,1,53,37.05
AL,1990,USGS,1,55,310.2
AL,1990,USGS,1,57,3.81
AL,1990,USGS,1,59,4.68
AL,1990,USGS,1,61,10.51
AL,1990,USGS,1,63,404.1
AL,1990,USGS,1,65,33.89
AL,1990,USGS,1,67,4.04
AL,1990,USGS,1,69,122.44
AL,1990,USGS,1,71,1038.86
AL,1990,USGS,1,73,143.28
AL,1990,USGS,1,75,3.23
AL,1990,USGS,1,77,12.01
AL,1990,USGS,1,79,55.72
AL,1990,USGS,1,81,11.45
AL,1990,USGS,1,83,649.81
AL,1990,USGS,1,85,3.43
AL,1990,USGS,1,87,7.13
AL,1990,USGS,1,89,56.06
AL,1990,USGS,1,91,37.86
AL,1990,USGS,1,93,5.88
AL,1990,USGS,1,95,19.84
AL,1990,USGS,1,97,1447.8
AL,1990,USGS,1,99,29.4
AL,1990,USGS,1,101,40.59
AL,1990,USGS,1,103,162.91
AL,1990,USGS,1,105,8.03
AL,1990,USGS,1,107,5.44
AL,1990,USGS,1,109,8.89
AL,1990,USGS,1,111,3.69
AL,1990,USGS,1,113,38.04
AL,1990,USGS,1,115,10.26
AL,1990,USGS,1,117,878.33
AL,1990,USGS,1,119,5.11
AL,1990,USGS,1,121,84.29
AL,1990,USGS,1,123,14.58
AL,1990,USGS,1,125,33.3
AL,1990,USGS,1,127,1041.61
AL,1990,USGS,1,129,73.54
AL,1990,USGS,1,131,21.35
AL,1990,USGS,1,133,5.82
AK,1990,USGS,2,10,8.99
AK,1990,USGS,2,20,50.75
AK,1990,USGS,2,30,1.54
AK,1990,USGS,2,40,354.95
AK,1990,USGS,2,50,0.45
AK,1990,USGS,2,60,2.14
AK,1990,USGS,2,70,0.71
AK,1990,USGS,2,80,2.26
AK,1990,USGS,2,90,33.83
AK,1990,USGS,2,100,0.27
AK,1990,USGS,2,110,5.1
AK,1990,USGS,2,120,15.46
AK,1990,USGS,2,130,50.8
AK,1990,USGS,2,140,1.6
AK,1990,USGS,2,150,6.47
AK,1990,USGS,2,160,3.35
AK,1990,USGS,2,170,5.7
AK,1990,USGS,2,180,1.47
AK,1990,USGS,2,190,0.85
AK,1990,USGS,2,200,1.02
AK,1990,USGS,2,220,61.23
AK,1990,USGS,2,230,4.09
AK,1990,USGS,2,240,0.83
AK,1990,USGS,2,250,4.36
AK,1990,USGS,2,260,3
AK,1990,USGS,2,270,0.14
AK,1990,USGS,2,280,2.05
AK,1990,USGS,2,290,17.53
AZ,1990,USGS,4,1,61.32
AZ,1990,USGS,4,3,171.18
AZ,1990,USGS,4,5,40.62
AZ,1990,USGS,4,7,73.1
AZ,1990,USGS,4,9,198.89
AZ,1990,USGS,4,11,24.97
AZ,1990,USGS,4,12,715.48
AZ,1990,USGS,4,13,2494.45
AZ,1990,USGS,4,15,145.28
AZ,1990,USGS,4,17,73.03
AZ,1990,USGS,4,19,228.92
AZ,1990,USGS,4,21,882.08
AZ,1990,USGS,4,23,9.38
AZ,1990,USGS,4,25,192.11
AZ,1990,USGS,4,27,1259.85
AR,1990,USGS,5,1,708.05
AR,1990,USGS,5,3,119.82
AR,1990,USGS,5,5,5.11
AR,1990,USGS,5,7,419.31
AR,1990,USGS,5,9,3.27
AR,1990,USGS,5,11,1.56
AR,1990,USGS,5,13,0.76
AR,1990,USGS,5,15,7.86
AR,1990,USGS,5,17,193.93
AR,1990,USGS,5,19,10.62
AR,1990,USGS,5,21,210.5
AR,1990,USGS,5,23,4.34
AR,1990,USGS,5,25,1.72
AR,1990,USGS,5,27,5.69
