"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"3030",74785,2845.5,-1765,110000,9.828,69.4583333333333,7,236.75
"3033",15250,1808,-23179,26000,4.832,72.8433333333333,7,-297.24
"3121",12845.5,1578,-99979,118000,3.38,74.0466666666667,7,-741.67
"3144",147926.5,2505.5,-12508,-51000,7.56,66.8766666666667,7,-66.48
"3227",13146,3138,-101,-2000,55.278,69.31,7,1.95
"3231",32176.5,3061,-4306,-4000,55.092,72.69,7,-304.03
"3232",55560.5,2730.5,-3232,-3000,57.498,75.5933333333333,7,24.1999999999998
"3234",8879,2566,-4551,-4000,55.244,73.665,7,-23.88
"3235",11300.5,1983,508,-2000,57.638,70.5483333333333,7,1281.95
"3236",22631,3002,-373,-4000,54.106,69.2216666666667,7,-11.04
"3237",32777,2925.5,-23820,0,56.146,75.265,7,-36.68
"3238",5225.5,2384,764,-3000,55.466,68.18,7,-1.49
"3239",1174,994.5,-22985,-9000,57.794,72.8466666666667,7,-66.64
"3240",1184.5,1753.5,1206,-2000,55.088,68.6766666666667,7,0.46
"3241",37984.5,2550.5,19,-4000,51.21,68.9633333333333,7,-42.86
"3243",20987,1530,2369,-1000,58.752,70.5166666666667,7,-8.62
"3245",1123,2162,3976,4000,55.014,68.6683333333333,7,-1.11
"3246",1020.5,1267,-2421,-2000,53.258,73.575,7,29.77
"3249",291.5,1111.5,-12741,-4000,57.93,72.51,7,-58.69
"3250",1410,535.5,-17226,-13000,54.704,74.3883333333333,7,-115.96
"3251",19767.5,2227,95,-2000,58.298,70.8516666666667,7,-1.86
"3252",5720.5,1178.5,-25556,-12000,57.16,72.8983333333333,7,-55.96
"3253",100644,2625,-13046,-10000,58.864,72.375,7,-1465
"3255",11285.5,2345.5,-28308,-4000,55.826,72.6016666666667,7,-1.79999999999995
"3259",40571.5,2562,-5140,-7000,57.108,71.365,7,-13.82
"3260",82638.5,2451.5,-9323,0,56.084,74.455,7,56.72
"3262",2982.5,1978.5,-5013,-1000,56.478,69.4983333333333,7,-2.28
"3265",27308.5,2842,-3919,-13000,59.604,72.6833333333333,7,-45.5
"3266",33958.5,2268,4061,-9000,56.848,70.36,7,-14.37
"3267",8795.5,3094,-7284,-4000,56.748,73.9816666666667,7,-59.8
"3268",6718,3126.5,159,-3000,52.628,68.3516666666667,7,6.68
"3270",1986.5,2555.5,-1540,5000,55.554,72.9533333333333,7,-16.96
"3271",109875,2287,-3233,-1000,57.428,72.3383333333333,7,-17.5
"3272",43019,1757,12769,13000,57.228,72.62,7,4.09999999999999
"3273",84086,2404.5,-30700,-1000,57.724,74.815,7,-179.09
"3274",55874.5,2862.5,-1152,8000,57.812,71.33,7,70.6899999999996
"3276",53096,1789.5,-17690,3000,58.74,72.5483333333333,7,-143.35
"3277",2146,1399.5,-1118,-1000,57.28,70.025,7,-15.32
"3278",28744.5,3676.5,-7400,-1000,55.108,69.69,7,-20.78
"3279",38482,2253,-33327,-6000,55.73,73.2916666666667,7,-405.4
"3281",25121.5,2359.5,-2654,-5000,57.366,73.2533333333333,7,-5.39
"3282",26067,2602,131,3000,57.526,72.315,7,-21.38
"3283",16273,3675,-1962,-5000,57.116,70.84,7,-19.74
"3287",26355,2552,276,-3000,59.932,71.555,7,-63.47
"3310",2814.5,2788.5,-28,0,53.218,67.895,7,-42.57
"3315",12190,2122.5,36,100,44.004,66.75,7,27.58
"3352",5032,3166.5,114,300,52.754,67.66,7,-33.99
"4637",503.5,4382,7485,-1000,12.626,62.5733333333333,7,-13.78
"4957",-599.5,1744.5,-4502,0,27.068,60.6466666666667,7,-9.3
"4959",686,2340.5,904,10000,36.006,62.5416666666667,7,-121.46
"4963",19407.5,2858.5,-1105,-3000,31.516,60.7233333333333,7,7.52
"4965",2453,2525,1176,10000,27.82,61.8183333333333,7,2.36
"4966",-192,3161,262,10000,28.92,62.8383333333333,7,0.04
"4968",773.5,2850,-212,0,36.232,59.9783333333333,7,0.739999999999998
"4974",126,2660,-778,-5000,35.232,61.66,7,-2.06
"4975",3014.5,2920.5,514,15000,29.51,61.1116666666667,7,-4.91
"4977",60.5,-406,-2562,0,24.856,61.2283333333333,7,-0.85
"4978",-204,2106.5,-1066,-5000,23.682,61.6883333333333,7,6.09
"4982",-1026.5,2897.5,4406,-10000,24.602,62.2833333333333,7,-28.25
"4983",-191.5,2296,80,35000,33.462,62.8866666666667,7,-0.989999999999999
"4987",-343.5,2345,-384,0,26.526,61.28,7,1.45
"4990",871.5,2942,1859,5000,33.602,60.54,7,-1.55
"4991",2926.5,3609,1020,25000,32.27,60.5283333333333,7,1.69
"4992",237.5,2084.5,-221,5000,35.926,63.135,7,0.96
"4993",2683.5,2699,382,-5000,32.088,61.0433333333333,7,0.5
"4997",1140.5,1906,948,5000,37.548,63.0716666666667,7,2.65
"5004",21787.5,3086,644,3000,31.25,60.6066666666667,7,18.85
"5008",-24,2129.5,-23,0,34.406,59.6783333333333,7,1.27
"5009",3748.5,1778.5,326,-10000,32.84,60.3316666666667,7,0.199999999999999
"5011",750.5,3236,-198,5000,37.598,61.5033333333333,7,5.75
"5012",1615,1732.5,356,10000,34.324,60.8633333333333,7,2.05
"5015",7201.5,3142.5,227,-5000,37.848,59.8233333333333,7,3
"5016",165,1538,278,5000,35.532,60.9566666666667,7,6.83
"5018",636,3216.5,505,5000,31.94,62.05,7,7.04
"5020",-566.5,812,3812,-5000,25.768,62.7166666666667,7,-0.190000000000001
"5022",6370.5,2888.5,0,5000,38.69,60.54,7,-10.43
"5135",17306.5,3677,1843,-700,45.982,66.4516666666667,7,1.33
"5138",16232.5,4004,-362,-100,47.24,65.6583333333333,7,100.71
"5975",968.5,1642.5,-2392,0,18.78,60.2633333333333,7,6.66
"5976",1270.5,1752.5,8622,0,14.852,61.53,7,3.29000000000002
"5978",339630.5,2782.5,-6496,-35000,7.584,71.36,7,-13.4100000000001
"5981",60358,2654,-3280,-5000,10.246,68.28,7,-1.32999999999998
"5982",74785,2845.5,8505,10000,10.434,69.5,7,-159.11
"6073",12845.5,1578,78498,-28000,2.812,74.145,7,-975.7
"6096",147926.5,2505.5,-7189,-67000,5.772,66.7616666666667,7,73.3299999999999
"6179",13146,3138,-2679,0,44.934,69.3133333333333,7,-6.25
"6183",32176.5,3061,-7072,2000,45.714,72.5233333333333,7,-705.92
"6184",55560.5,2730.5,177,-10000,52.78,75.2983333333333,7,-558.72
"6186",8879,2566,-6249,-500,45.634,73.4583333333333,7,18.72
"6187",11300.5,1983,-706,-1000,47.102,70.5366666666667,7,-505.97
"6188",22631,3002,-334,-3000,46.244,69.2583333333333,7,0.759999999999998
"6189",32777,2925.5,-4949,2000,49.378,75.0466666666667,7,63.69
"6190",5225.5,2384,3377,4000,45.828,68.1433333333333,7,1.44
"6191",1174,994.5,-8467,-1000,45.884,72.5,7,30.64
"6192",1184.5,1753.5,482,4500,47.788,68.5883333333333,7,0.84
"6193",37984.5,2550.5,-909,-2500,44.208,68.85,7,-13.51
"6195",20987,1530,-2876,-1000,45.094,70.5683333333333,7,4.16
"6197",1123,2162,4755,4500,45.294,68.605,7,-5.67
"6198",1020.5,1267,41783,-12000,46.62,73.21,7,57.93
"6201",291.5,1111.5,-8103,1000,47.46,72.3266666666667,7,19.98
"6202",1410,535.5,4256,-26000,47.776,74.18,7,28.11
"6203",19767.5,2227,1181,-2000,45.256,70.9066666666667,7,-9.78
"6204",5720.5,1178.5,-11928,9000,44.53,72.5033333333333,7,-10.48
"6205",100644,2625,-3827,9000,47.612,72.31,7,-53.27
"6207",11285.5,2345.5,-9239,5000,44.15,72.3783333333333,7,-131.15
"6211",40571.5,2562,150,-7000,45.242,71.3483333333333,7,19.17
"6212",82638.5,2451.5,-1027,-1500,45.33,74.485,7,37.4599999999999
"6214",2982.5,1978.5,-827,-11000,44.636,69.5183333333333,7,3.77
"6217",27308.5,2842,-683,-17000,47.322,72.51,7,-14.9
"6218",33958.5,2268,3548,6000,47.776,70.405,7,10.91
"6219",8795.5,3094,-13715,-1000,49.058,73.6116666666667,7,-37.59
"6220",6718,3126.5,-158,1000,44.02,68.21,7,-4.52
"6222",1986.5,2555.5,-1102,-13000,44.046,72.5166666666667,7,7.41
"6223",109875,2287,-2392,-2000,44.97,72.2016666666667,7,-19.68
"6224",43019,1757,-2267,-5000,45.41,72.4266666666667,7,-49.18
"6225",84086,2404.5,-25007,0,50.428,74.4666666666667,7,-825.98
"6226",55874.5,2862.5,-4005,-13000,46.128,71.3416666666667,7,-509.46
"6228",53096,1789.5,-18535,1000,45.604,72.3666666666667,7,79.41
"6229",2146,1399.5,867,0,46.366,70.135,7,0.810000000000002
"6230",28744.5,3676.5,-2709,-1000,46.292,69.7233333333333,7,8.96
"6231",38482,2253,-10057,-6000,45.696,72.9633333333333,7,-150.95
"6233",25121.5,2359.5,-325,-3000,45.504,73.0983333333333,7,-9.75
"6234",26067,2602,-649,-4000,45.25,72.1733333333333,7,0.310000000000002
"6235",16273,3675,1080,-7000,45.238,70.8716666666667,7,7.32
"6239",26355,2552,-72,2000,44.76,71.5216666666667,7,57.1
"6262",2814.5,2788.5,-127,100,43.2,67.7116666666667,7,-0.26
"6267",12190,2122.5,-123,-100,45.168,66.7533333333333,7,36.91
"6304",5032,3166.5,-108,-300,42.634,67.535,7,-47.5
"7551",259878,2818.5,-2797,-2500,6.086,64.8833333333333,7,-121.1
"7589",503.5,4382,-9720,-1000,14.884,62.2266666666667,7,-11.47
"7909",-599.5,1744.5,-2896,20000,33.036,60.9333333333333,7,12.13
"7911",686,2340.5,-148,-5000,35.014,62.7966666666667,7,379.4
"7915",19407.5,2858.5,215,3000,38.02,61.1133333333333,7,4.22
"7917",2453,2525,-734,-8000,32.396,62.0766666666667,7,2.77
"7918",-192,3161,-232,-12000,31.13,63.1333333333333,7,3.66
"7920",773.5,2850,99,3000,42.16,60.0116666666667,7,192.52
"7926",126,2660,284,10000,36.972,61.8416666666667,7,32.25
"7927",3014.5,2920.5,5872,-5000,36.242,61.4166666666667,7,18.96
"7929",60.5,-406,217,-2500,25.024,61.3516666666667,7,-1.78
"7930",-204,2106.5,7439,10000,24.798,61.7533333333333,7,4.31
"7934",-1026.5,2897.5,-41058,2000,25.086,62.3416666666667,7,-2.16
"7935",-191.5,2296,-260,-14000,34.372,63.215,7,4.63
"7939",-343.5,2345,62,0,27.686,61.5216666666667,7,-0.790000000000001
"7942",871.5,2942,-1434,8000,38.466,60.8216666666667,7,10.37
"7943",2926.5,3609,-486,-20000,36.738,60.815,7,-0.0299999999999994
"7944",237.5,2084.5,-711,7000,36.988,63.5533333333333,7,1.62
"7945",2683.5,2699,56,16000,37.938,61.355,7,1.77
"7949",1140.5,1906,-1562,-3500,37.798,63.3183333333333,7,0.0300000000000002
"7956",21787.5,3086,-624,-2000,37.322,61.0733333333333,7,22.21
"7960",-24,2129.5,9,14000,41.378,59.6766666666667,7,-4.06
"7961",3748.5,1778.5,-473,15000,39.034,60.425,7,4.06
"7963",750.5,3236,100,-5000,40.884,61.7966666666667,7,127.76
"7964",1615,1732.5,-535,-1000,39.506,61.195,7,5.3
"7967",7201.5,3142.5,223,28000,45.784,59.955,7,8.42999999999999
"7968",165,1538,-588,-7000,41.736,61.255,7,310.92
"7970",636,3216.5,-1105,8000,34.69,62.2483333333333,7,116.39
"7972",-566.5,812,-2362,14000,27.632,62.8983333333333,7,2.06
"7974",6370.5,2888.5,-1247,-6500,46.23,60.8233333333333,7,4.42
"8087",17306.5,3677,749,600,43.37,66.515,7,-6.46
"8090",16232.5,4004,273,300,45.488,65.8416666666667,7,-61.19
"8284",522,6844.5,-7252,2000,16.23,62.9733333333333,7,10.66
"8286",375,3525,-4,2000,36.868,71.8416666666667,7,-2.82
"8287",100.5,2291,-776,-15000,29.644,64.3166666666667,7,-49.8
"8289",2710.5,2092.5,4014,-4000,27.272,70.49,7,5.44
"8292",1310,2307,-21,-1000,29.99,67.095,7,0.2
"8293",7278,2386,461,-17000,33.342,68.65,7,-27.61
"8294",-149,3255,-1413,-14000,28.712,64.365,7,-0.63
"8295",-231.5,1781.5,-607,-2000,31.748,71.655,7,-1.6
"8296",28357.5,2751.5,338,1000,34.818,67.1133333333333,7,-32.19
"8297",128560.5,2431,-5820,-15000,29.028,69.46,7,557.31
"8298",833.5,3644.5,-529,0,31.194,67.005,7,0.0600000000000001
"8299",-82.5,11276,2808,-1000,21.83,63.5916666666667,7,-1.53
"8300",431.5,1907,-387,-5000,36.564,66.32,7,1.81
"8302",29377.5,3754,8459,-14000,47.992,70.2416666666667,7,-113.78
"8303",16505.5,2403,-1736,-11000,38.268,68.04,7,28.09
"8304",52.5,4197,7,3000,13.96,65.925,7,-4.89
"8306",-313.5,2247,-453,-14000,27.914,73.7383333333333,7,0.4
"8307",262.5,2481,-248,4000,27.772,65.425,7,1.2
"8308",294,2381.5,5118,-9000,35.676,68.1833333333333,7,0.27
"8309",4034,3197.5,462,-9000,31.506,67.0533333333333,7,6.15
"8310",2611,1503.5,-276,-8000,31.536,68.9716666666667,7,3.02
"8311",236.5,2855,2226,-3000,41.084,71.0283333333333,7,8.42
"8312",276.5,3548,71,2000,28.16,64.455,7,0.14
"8313",29169.5,1367.5,11161,-4000,27.026,74.79,7,71.35
"8320",-286.5,1943,-4798,-2000,24.99,62.32,7,-0.84
"8321",-42,4102,683,10000,31.628,64.0316666666667,7,-11.42
"8324",-189,791.5,-151,4000,24.858,65.435,7,4.65
"8326",-98.5,3204,-2352,-2000,24.716,60.71,7,-7.38
"8328",12407.5,4974,-95,-2000,32.174,68.4716666666667,7,14.05
"8329",-81.5,1704.5,5474,4000,29.988,65.0316666666667,7,0.460000000000001
"8330",40.5,1002,-2342,5000,24.052,65.1716666666667,7,3.51
"8331",976.5,2854.5,-189,-7000,39.136,64.0683333333333,7,2.64
"8332",-448,2263,-347,-12000,34.414,66.52,7,-5.08
"8333",-143,586.5,1298,-2000,24.98,62.8733333333333,7,-2.71
"8335",-176.5,4890,-436,4000,18.862,65.5583333333333,7,2.25
"8336",-432.5,1747.5,1755,2000,24.422,61.2083333333333,7,-51.41
"8337",-247.5,2283.5,-26786,0,12.426,62.4683333333333,7,20.39
"8339",51057.5,1791,514,3000,39.904,66.2233333333333,7,-671.95
"8340",-566,138.5,-16532,5000,20.374,62.2616666666667,7,-29.16
"8343",97554,2821.5,1992,-5000,37.806,65.385,7,79.17
"8344",6,2620,-595,-2000,33.4,70.0983333333333,7,1.88
"8345",-160.5,2743,8848,-6000,24.456,62.24,7,-0.640000000000001
"8346",-170,2140,-725,-3000,20.06,71.9016666666667,7,4.87
"8349",131.5,1551.5,3789,3000,31.136,64.5666666666667,7,-3.2
