"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"79",4352.5,2135.5,-5093,-5000,16.87,61.425,2,7.29
"157",82279.5,4566.5,-4565,-4000,23.248,59.155,2,20.52
"158",47.5,5316,4180,-2700,41.944,43.6116666666667,2,-8.55
"159",2530.5,4065,-1017,24000,43.274,57.2,2,5.4
"160",10525.5,2717,-10557,-2000,51.516,59.2466666666667,2,120.25
"161",4278,3961.5,-2527,1500,42.252,57.6766666666667,2,2.52
"162",1264.5,1164,9652,-4000,27.862,60.995,2,-135.56
"163",72542,4933.5,2111,-6000,23.034,60.01,2,357.09
"164",2023.5,1974,983,-2000,89.77,52.18,2,2.1
"165",15152,4928.5,848,-2500,54.41,53.45,2,-18.64
"167",827.5,1696,6902,5000,31.912,59.6716666666667,2,-164.61
"168",3700,2383.5,-324,1000,72.302,53.9116666666667,2,-46.69
"173",3839,2560,5892,100,52.658,56.78,2,-11.58
"175",328087,2267,-2013,-13200,15.65,61.5816666666667,2,1218.31
"177",8596.5,8290.5,1026,14000,41.764,55.9433333333333,2,3.51
"178",1414,2558,-1630,1800,37.804,54.9733333333333,2,-1.89
"179",2960,3333.5,3101,1000,61.696,55.2,2,4.07
"183",23051,2793.5,-9194,-57000,25.08,58.5866666666667,2,486.64
"184",6757,4377.5,8422,2200,36.462,59.37,2,13.77
"185",6761.5,4123.5,-1803,3600,61.296,51.8366666666667,2,7.56
"186",217866.5,2968,-3002,-4800,14.404,63.965,2,54.8299999999999
"187",37801.5,5326,-2253,-400,56.24,53.27,2,-11.23
"188",542.5,3219.5,-15182,-5000,47.558,47.3666666666667,2,-74.8
"189",187487,2089.5,-25424,-4000,6.686,68.3116666666667,2,255.73
"190",91140,2938.5,-2967,-13000,22.998,61.7733333333333,2,-92.74
"191",8268.5,3499.5,-4213,-15000,20.564,58.78,2,5.20999999999999
"193",157908.5,3353,-7424,-16000,11.984,62.795,2,1225.29
"194",41485,2330,-8237,-50000,17.788,61.695,2,-70.75
"195",14759.5,3313.5,12431,-36000,20.26,59.21,2,407.36
"196",28769,6807.5,293,-2000,35.542,56.72,2,-8.61
"197",14869.5,2952,882,-44000,22.98,58.4633333333333,2,101.09
"198",92504,6186,3526,-19000,29.288,58.36,2,-7.89000000000004
"199",12934,4524.5,1686,-1300,41.496,57.0816666666667,2,6.04000000000001
"200",8110,2678.5,5323,-8500,51.754,54.66,2,122.68
"201",118.5,2542,1686,-1500,53.722,46.9183333333333,2,3.81
"202",385,2980,15109,-13000,46.172,48.67,2,87.1300000000001
"203",27060.5,3449,-40100,-9000,24.42,60.92,2,-8.79999999999995
"204",35196,4242.5,18135,-24000,48.86,57.0933333333333,2,18.14
"206",7257.5,2332.5,-553,-3000,22.516,62.57,2,-131.66
"207",3207,2401.5,7681,5000,43.876,58.02,2,12.48
"208",-20.5,3043.5,-911,2500,68.764,52.1083333333333,2,19.29
"210",3022.5,3895.5,-441,-800,48.486,49.86,2,-5.16
"211",42090.5,3369.5,-12900,-6000,22.764,57.8083333333333,2,311.93
"212",13784,2752,1812,5000,23.876,61.8066666666667,2,-61.95
"213",995.5,2125,4246,1000,44.198,60.2933333333333,2,17.39
"2773",4030.5,3359.5,721,-2000,100.692,47.3583333333333,2,-85.64
"2774",53592.5,3727.5,821,-5500,76.52,51.8916666666667,2,-12.01
"2776",5414.5,2972.5,-404,-4000,89.542,49.66,2,-38.6
"2782",1509.5,2506,1788,-5500,106.748,50.0716666666667,2,-78.04
"2783",5681.5,3766,-443,-2500,30.126,50.6283333333333,2,-4.95
"2784",2903.5,4330,-135,-500,121.236,45.6566666666667,2,-20.44
"2785",114857.5,5467,-87,-7500,79.982,47.4933333333333,2,68.92
"2786",21119,4003,70,0,52.744,51.3133333333333,2,-10.86
"2789",4621,2938.5,3008,-3500,83.322,47.66,2,-29.43
"2791",5532,3003,316,0,103.122,48.9866666666667,2,-2.03
"2793",1051,3185,-634,-2000,102.402,50.42,2,-1.24
"2795",57308.5,3754.5,43,-1000,71.004,46.89,2,8.22999999999999
"2796",2021,4795,-645,0,32.332,50.55,2,-0.69
"2797",11712,3726,6833,-9500,85.728,45.8716666666667,2,-1.81
"2798",791.5,3190.5,202,0,104.964,45.3783333333333,2,0.0499999999999989
"2799",70191,3824,1328,-10000,91.462,46.32,2,-28.69
"2802",23058.5,4257,824,-2000,58.812,51.1666666666667,2,-4.69
"2803",248.5,3365.5,310,-1000,94.676,50.2783333333333,2,-2.53
"2805",19517,3136,5033,-1500,76.268,44.1816666666667,2,-72.72
"3031",3835,1465.5,202,0,15.468,61.4866666666667,2,-3.28
"3109",17119.5,3640.5,3502,-8000,19.982,59.425,2,-85.79
"3111",1613.5,1958.5,-1696,-21000,34.898,58.1983333333333,2,-8.11
"3112",7732,2943.5,-20501,-3000,46.01,60.0483333333333,2,-288.04
"3113",2720,3494,-1722,-5500,33.806,58.555,2,0.0500000000000007
"3114",1180.5,3293.5,-13529,3000,27.888,61.59,2,2.71999999999991
"3115",37996.5,3601.5,-5500,-11000,20.264,60.29,2,436.99
"3116",482,2200.5,323,2000,74.69,52.8316666666667,2,-12.8
"3117",11377,4416.5,3965,-4500,42.884,54.365,2,-9.14
"3119",741,2959,3007,6000,31.472,60.4066666666667,2,57.45
"3120",3270,3411,-1008,-11000,64.808,54.685,2,-15.65
"3125",3031,2353,-9861,-100,52.032,57.3983333333333,2,-6.77
"3127",119459,3330.5,3705,-15800,16.738,61.715,2,-1553.82
"3129",656,4489,-242,0,38.324,56.25,2,-7.72
"3131",611,1957,-412,-7000,56.524,55.6483333333333,2,1.48
"3135",2836.5,2805.5,-20236,-56000,21.088,58.845,2,-652.54
"3136",4886,3957.5,-1270,-2700,34.86,59.77,2,-29.32
"3137",3076.5,3360,523,-3600,48.976,52.7183333333333,2,40.57
"3138",59618,4095.5,-1435,-5200,13.702,63.8183333333333,2,-5.81999999999994
"3139",44039,3858.5,-6058,-6600,44.61,54.1266666666667,2,20.19
"3140",-216,4670.5,3556,-1000,39.986,48.1933333333333,2,23.96
"3141",282038.5,2871,-29599,-18000,8.42,68.5,2,-430.67
"3142",85822.5,2905.5,-11504,-31000,19.528,62.38,2,-9.00999999999999
"3143",629,2288,-2828,-7000,17.66,59.255,2,-23.27
"3145",104317.5,3894.5,-5504,-10000,12.004,62.8066666666667,2,-308.79
"3146",55007.5,2743,-66192,20000,14.872,62.1916666666667,2,-262.5
"3147",9448,3963,24454,-7000,17.112,59.4816666666667,2,-336.61
"3148",-1417,3956.5,-1270,-2500,30.576,57.0516666666667,2,48.26
"3149",8352,3336,-12548,-33000,19.464,58.3483333333333,2,-187.2
"3150",28405.5,3504.5,-2414,-8000,24.172,58.6283333333333,2,-46.31
"3151",649.5,3233,-4036,-700,34.988,57.1733333333333,2,-4.59
"3152",6825,3017,2669,-14000,44.662,55.7066666666667,2,-197.34
"3153",-94.5,4287,-5181,-1500,43.446,47.755,2,18.98
"3154",194.5,2304.5,-16079,-14000,38.668,49.6133333333333,2,-176.94
"3155",7750,3459,21453,25000,22.3,61.32,2,-49.8200000000001
"3156",7716.5,3436.5,2364,-21000,45.516,57.3883333333333,2,-44.97
"3158",7245,2458,-16859,2000,20.072,63.1766666666667,2,-88.49
"3159",3268,2202.5,-22759,5000,39.494,58.9316666666667,2,126.44
"3160",339.5,2602.5,-203,0,61.812,52.9483333333333,2,-23.2
"3162",786.5,2234,-1603,-200,40.882,50.615,2,1.08000000000001
"3163",27941.5,3874,-10409,-3000,22.57,58.015,2,88.01
"3164",13879,4027.5,-52329,1000,22.694,62.345,2,-289.32
"3165",5470.5,2906.5,-22502,-5000,38.082,60.9916666666667,2,-20.4
"5725",3056.5,2466,-191,-2000,84.168,47.79,2,4.31
"5726",34789,3190,-339,-3000,60.57,52.44,2,-17.57
"5728",4148,2182.5,-113,0,70.04,50.185,2,-22.02
"5734",2449,2428.5,-360,-2500,88.934,50.3183333333333,2,41.96
"5735",3537.5,3803.5,808,-3000,24.676,51.2783333333333,2,0.229999999999999
"5736",1810.5,3158.5,-126,-1500,102.192,46.0916666666667,2,10.94
"5737",71077.5,4345,-226,-12500,68.472,48.075,2,-132.6
"5738",7683.5,3719,414,-500,43.352,51.7833333333333,2,-1.56
"5741",3025,2306.5,-1950,-6500,65.714,48.0933333333333,2,22.29
"5743",4941,2237,402,-500,83.388,49.2716666666667,2,2.86
"5745",104,3002,-531,-500,81.594,50.6466666666667,2,-0.969999999999999
"5747",40930.5,3249,-1871,-7000,59.054,47.3566666666667,2,-28.68
"5748",737,2442,67,-1000,27.488,51.0116666666667,2,-0.41
"5749",6126,2834.5,-1372,-2500,73.45,46.6083333333333,2,0.0899999999999963
"5750",498.5,3069,-198,0,82.81,46.0033333333333,2,-3.71
"5751",44097.5,3609,-251,-9000,76.71,47.0233333333333,2,-16.83
"5754",18104,3646,273,-11000,47.094,51.3483333333333,2,1.34
"5755",79,2026,-278,-1500,75.572,50.5566666666667,2,0.56
"5757",14589.5,2691,3123,-11500,66.908,45.02,2,-6.83
"5983",3835,1465.5,98,5000,17.424,61.395,2,-1.94
"6061",17119.5,3640.5,-794,-3700,17.518,58.865,2,83.13
"6063",1613.5,1958.5,1189,-5800,34.446,57.7916666666667,2,8.31
"6064",7732,2943.5,-2572,-6700,40.39,59.6066666666667,2,-74.61
"6065",2720,3494,-365,-6000,33.93,58.1383333333333,2,6.1
"6066",1180.5,3293.5,-16473,-4600,22.998,61.21,2,-81.27
"6067",37996.5,3601.5,-149,-2000,17.69,59.7533333333333,2,-1376.39
"6068",482,2200.5,1569,6000,77.7,51.95,2,4.65
"6069",11377,4416.5,-3081,-1500,42.604,53.9283333333333,2,9.72
"6071",741,2959,6798,-8000,24.62,59.9266666666667,2,-134.57
"6072",3270,3411,-439,-5000,60.412,53.795,2,-23.2
"6077",3031,2353,-52,-4900,41.57,56.7816666666667,2,5.63
"6079",119459,3330.5,9943,800,13.916,61.91,2,-747.05
"6081",656,4489,2118,-1500,33.23,55.6633333333333,2,6.09
"6083",611,1957,-1427,-3000,47.124,55.0266666666667,2,23.42
"6087",2836.5,2805.5,30866,-17000,19.596,58.285,2,-583.65
"6088",4886,3957.5,2976,-1300,28.984,59.1866666666667,2,45.11
"6089",3076.5,3360,-1909,400,46.65,52.1833333333333,2,-40.19
"6090",59618,4095.5,-901,-300,11.82,64.39,2,47.79
"6091",44039,3858.5,-9573,-6000,43.126,53.62,2,-17.97
"6092",-216,4670.5,-1087,-3000,37.774,47.5816666666667,2,39.46
"6093",282038.5,2871,-22090,-69000,7.204,68.5816666666667,2,-158.19
"6094",85822.5,2905.5,-27448,-1000,17.79,61.8583333333333,2,-93.2700000000001
"6095",629,2288,-11170,-9000,16.316,58.675,2,16
"6097",104317.5,3894.5,-17049,-10600,12.79,63.125,2,-1266.89
"6098",55007.5,2743,31422,15000,13.042,61.7616666666667,2,269.83
"6099",9448,3963,-17262,-25000,16.246,59.2433333333333,2,-194.96
"6100",-1417,3956.5,-757,-1000,26.352,56.4483333333333,2,-58.04
"6101",8352,3336,1604,-7500,18.128,58.3283333333333,2,24.63
"6102",28405.5,3504.5,-4489,-6200,21.834,58.0716666666667,2,2.13000000000005
"6103",649.5,3233,9256,-2000,30.546,56.6616666666667,2,-7.31
"6104",6825,3017,-10456,0,39.446,54.9566666666667,2,2.84999999999999
"6105",-94.5,4287,2732,-2000,42.106,47.2583333333333,2,-24.38
"6106",194.5,2304.5,15921,-9000,35.31,48.795,2,26.29
"6107",7750,3459,-15079,-10000,18.944,60.725,2,-15.13
"6108",7716.5,3436.5,-3296,-8000,38.462,56.7983333333333,2,145.21
"6110",7245,2458,12592,-3500,17.148,62.7883333333333,2,-111.77
"6111",3268,2202.5,8831,-14000,33.066,58.4066666666667,2,286.84
"6112",339.5,2602.5,230,-2000,52.428,52.285,2,0.900000000000002
"6114",786.5,2234,130,-2600,40.394,50.1416666666667,2,1.91
"6115",27941.5,3874,-4105,-3300,17.578,57.905,2,-479.13
"6116",13879,4027.5,-16440,500,19.402,61.77,2,41.45
"6117",5470.5,2906.5,11488,-17000,34.712,60.4683333333333,2,-89.98
"7980",3002.5,2154.5,-12003,-1200,60.072,51.7483333333333,2,-6.23
"7981",16044,2906,-5662,-12900,77.802,48.115,2,-35.58
"7982",614,2916,-264,-5400,88.412,49.3416666666667,2,7.7
"7983",2723,2267.5,-650,0,56.734,50.355,2,-17.33
"7984",270,2217,450,2300,66.14,52.21,2,-1.05
"7986",637,2852,627,1000,83.09,52.365,2,1.36
"7988",3405,2380.5,-1839,-2000,53.28,50.5616666666667,2,18.27
"7992",647.5,3026.5,-2276,-400,62.812,45.2483333333333,2,-6.47999999999999
"7993",9659,2456,-19871,-9800,35.328,50.0633333333333,2,39.58
"7995",3223,2152.5,202,-2200,54.122,50.7083333333333,2,-25.18
"7998",12098.5,2094,-3093,-9600,64.344,49.4783333333333,2,10.26
"7999",689,2831,-415,-1100,90.748,50.7716666666667,2,1.4
"8000",5623,2266,-3535,-17200,72.214,48.895,2,1.95
"8002",12530,1753.5,-11466,-10600,66.406,49.5033333333333,2,4.27999999999997
"8004",25775,3138.5,-2392,-2600,64.926,51.2066666666667,2,4.55
"8005",5682.5,2531.5,3781,-4800,67.714,51.205,2,-7.59
"8007",469,1886,-338,-2000,97.766,48.9983333333333,2,7.13
"8012",35661.5,2776.5,-5909,-4400,53.728,50.74,2,17.02
"8014",5969,2533,-4719,-6400,58.65,51.235,2,-4.47999999999999
"8677",3056.5,2466,-336,1900,87.992,46.9933333333333,2,0.800000000000001
"8678",34789,3190,-692,-4600,66.94,51.62,2,-31.33
"8680",4148,2182.5,4576,-2100,78.524,49.4266666666667,2,-1.19
"8686",2449,2428.5,3729,-1400,96.914,49.52,2,-33.46
"8687",3537.5,3803.5,-253,3200,27.372,50.435,2,-0.5
"8688",1810.5,3158.5,551,-1000,111.382,45.265,2,-17.05
"8689",71077.5,4345,783,4000,76.66,47.23,2,31.8
"8690",7683.5,3719,-431,-200,47.208,50.94,2,4.11
"8693",3025,2306.5,943,-6500,74.216,47.2533333333333,2,-7.98
"8695",4941,2237,-419,300,91.718,48.385,2,24.34
"8697",104,3002,188,900,88.442,49.8166666666667,2,1.65
"8699",40930.5,3249,-1619,-7700,65.898,46.4766666666667,2,-1.33000000000001
"8700",737,2442,-50,-300,28.712,50.2116666666667,2,-0.16
"8701",6126,2834.5,2953,-2500,78.174,45.7266666666667,2,1.18
"8702",498.5,3069,75,-100,92.742,45.105,2,13.4
"8703",44097.5,3609,-143,-3000,83.554,46.1933333333333,2,74.27
"8706",18104,3646,-1598,-2800,51.882,50.5533333333333,2,6.08000000000001
"8707",79,2026,-159,-800,81.904,49.7766666666667,2,-0.59
"8709",14589.5,2691,497,-20000,70.97,44.1883333333333,2,4.22999999999999
"8935",271.5,2738.5,739,6000,17.314,61.7066666666667,2,-4.22
"9013",91802,7961,-1382,-900,14.132,59.93,2,-70.68
"9015",348,3784,-957,-400,28.786,59.0133333333333,2,8.29
"9016",2354.5,3648,-7128,-2900,33.768,60.5666666666667,2,96.5699999999999
