,population_1980,pop_changes,income_per_capita_1980,income_changes,liv_avg,avg_ag,mat,seasonality_t,mapcp,seasonality_p,cluster,Geo_FIPS
56,0.006278909121791284,0.1706762018357723,0.22593624264933454,0.2535793047922428,0.01101040439772275,0.0027516980482361706,0.7322098865960961,0.21487942040170208,0.4429967426710098,0.14861879841486364,4,01113
57,0.005456263428510672,0.18132300471340748,0.30692252140720105,0.3035670528931984,0.02056243338525867,0.001357512091277005,0.6613572719509048,0.265205279271846,0.49280205832061,0.11969061831125397,4,01115
58,0.008812245932410916,0.21065545974713343,0.43835757763334365,0.48727552770679455,0.01942080919538391,0.0017611176341264603,0.6790381521717544,0.25329709845256987,0.4909158748434857,0.11701258204165169,6,01117
59,0.0022067393820728505,0.16640653060475688,0.17961415454451662,0.13326565617670738,0.03641319236837527,0.0006941011631213011,0.7200651426982588,0.23577559934702094,0.47930806366327056,0.13261781304590614,4,01119
60,0.009819054057759062,0.16948258578972006,0.2413081605282162,0.24999124864353972,0.027742127712332303,0.002838750224144877,0.6705080336040995,0.2550694660539955,0.4833253597826312,0.11795653335290754,4,01121
61,0.005118030465040233,0.16815137711588082,0.2751470133085732,0.2686841460426366,0.014563957150598808,0.0006519262175868171,0.6784324045202678,0.243699108811364,0.47861447920505623,0.1505782031758172,4,01123
62,0.018340411617078556,0.18808482241521501,0.31383472609099344,0.2965834704379179,0.01791624089890157,0.0009087397875347847,0.6955323628130526,0.2524707474902794,0.49266242580591996,0.11916900748070186,4,01125
63,0.009128144018499162,0.16625030564195706,0.29732796863716077,0.2594952217593727,0.016048728495811647,0.0001894012142137866,0.6664763361204348,0.270157819993888,0.502242131936703,0.09472362828916753,4,01127
64,0.0021951038471491936,0.16750383181135822,0.1997317651913752,0.36463401827283226,0.015098474834875428,4.9606228843763735e-05,0.7579442314949055,0.19321018664176656,0.5456106175648546,0.1391791012627358,4,01129
65,0.0019187933281575261,0.16643806224862473,0.10131022387289795,0.18250078762208138,0.0272933968168902,0.00011629475828158618,0.7406456674147485,0.21031396639372893,0.479807078223966,0.1372362469029596,4,01131
