,Geo_FIPS,TW_1985,TW_1990,TW_1995,TW_2000,TW_2005,TW_2010,TW_2015
2463,47109,3.65,8.34,4.26,,4.29,4.16,3.16
2464,47111,1.86,1.82,1.76,,3.22,3.45,3.01
2465,47113,15.84,30.47,18.62,,20.02,16.56,20.95
2466,47115,3.77,2.96,3.12,,5.26,4.01,4.73
2467,47117,3.3,3.82,3.47,,4.01,4.75,3.93
2468,47119,39.64,31.15,18.84,,14.29,13.38,13.62
2469,47121,1.13,1.4,1.4,,1.46,1.53,1.25
2470,47123,7.51,3.79,4.87,,9.57,10.16,10.22
2471,47125,13.21,17.21,25.04,,24.26,25.43,24.45
2472,47127,2.11,0.96,0.82,,1.69,1.72,1.31
2473,47129,1.22,1.58,1.35,,2.2,2.37,2.15
2474,47131,9.96,5.92,6.0,,12.84,8.93,8.75
2475,47133,2.02,1.83,1.19,,3.25,2.95,3.13
2476,47135,1.6,3.01,1.06,,1.47,1.89,1.38
2477,47137,0.42,0.47,0.6,,0.89,0.9,1.01
2478,47139,218.94,31.09,33.33,,5.98,4.65,2.1
2479,47141,7.41,9.99,10.94,,14.67,15.54,13.4
2480,47143,3.35,3.88,4.1,,192.84,24.85,20.61
2481,47145,1084.31,1178.9,1254.34,,1291.64,272.15,353.26
2482,47147,4.16,5.32,5.84,,8.03,9.66,8.07
2483,47149,12.66,18.22,24.52,,35.15,38.75,37.0
2484,47151,2.12,2.11,2.46,,2.87,2.71,2.65
2485,47153,2.06,0.92,1.02,,1.28,1.36,6.33
2486,47155,8.63,7.34,9.59,,12.25,13.43,15.02
2487,47157,536.88,513.53,638.13,,626.52,646.25,503.53
2488,47159,4.1,3.25,3.18,,2.47,2.76,5.94
2489,47161,1780.33,1649.79,2196.73,,2082.88,1291.41,1326.05
2490,47163,684.0,457.91,543.81,,534.43,512.01,533.7
2491,47165,669.56,728.48,791.75,,966.47,622.16,386.63
2492,47167,5.56,5.38,5.58,,5.5,9.05,5.87
2493,47169,0.75,1.08,0.79,,1.19,1.22,1.16
2494,47171,6.09,2.45,2.29,,6.23,6.15,5.08
2495,47173,0.97,1.54,2.59,,1.97,1.79,1.63
2496,47175,0.44,0.56,0.63,,1.05,1.35,0.13
2497,47177,3.67,8.25,5.99,,7.81,10.6,7.14
2498,47179,17.14,20.89,21.6,,22.41,23.33,20.71
2499,47181,2.57,4.13,4.51,,2.24,2.29,2.07
2500,47183,4.72,4.4,3.56,,5.48,5.35,5.89
2501,47185,2.31,2.93,3.2,,4.07,4.35,3.45
2502,47187,5.88,45.9,4.5,,5.55,4.14,3.54
2503,47189,7.61,8.7,9.58,,15.47,16.97,17.12
2504,48001,11.29,13.55,12.53,,16.03,28.73,14.64
2505,48003,15.98,30.28,48.7,,53.35,64.01,71.51
2506,48005,33.73,33.82,41.44,,22.8,15.18,14.87
2507,48007,0.64,0.56,1.05,,3.5,0.68,0.41
2508,48009,15.54,18.31,23.8,,56.75,6.95,8.42
2509,48011,4.95,10.27,10.57,,7.65,4.68,4.54
2510,48013,44.81,62.67,55.61,,35.76,41.2,36.19
2511,48015,11.49,13.18,12.58,,12.93,7.0,9.57
2512,48017,140.53,178.21,173.09,,147.18,65.17,58.46
2513,48019,1.63,1.71,2.35,,3.17,3.37,2.52
2514,48021,9.43,8.92,11.65,,250.91,223.3,305.31
2515,48023,67.05,32.82,3.8,,6.6,5.97,5.94
2516,48025,6.18,7.63,4.31,,10.06,8.46,4.96
2517,48027,45.36,46.47,47.99,,105.74,73.55,18.8
2518,48029,957.09,991.12,837.67,,784.79,1342.1,1007.94
2519,48031,1.39,1.79,1.82,,2.17,2.23,2.81
2520,48033,2.1,4.79,5.57,,8.18,6.65,6.74
2521,48035,5.12,4.78,5.87,,7.9,9.71,8.01
2522,48037,65.52,62.17,57.76,,121.54,16.04,55.73
2523,48039,1453.34,1240.42,1094.55,,970.08,856.3,770.83
2524,48041,33.14,39.22,37.94,,39.83,67.92,67.23
2525,48043,3.87,3.58,3.72,,8.61,3.72,3.28
2526,48045,35.17,30.05,26.91,,29.46,26.78,15.21
2527,48047,2.49,2.65,2.49,,2.9,3.3,2.12
2528,48049,12.94,15.09,19.3,,14.81,16.01,7.92
2529,48051,8.5,7.47,16.52,,29.03,29.3,17.78
2530,48053,5.21,142.95,134.15,,10.76,16.91,7.88
2531,48055,22.24,20.15,6.78,,18.55,21.57,29.24
2532,48057,200.15,104.67,240.95,,41.16,49.58,17.34
2533,48059,3.69,3.81,3.74,,2.57,2.71,1.65
2534,48061,336.26,487.69,456.51,,210.13,281.48,193.05
2535,48063,2.28,2.41,3.19,,4.05,4.27,6.36
2536,48065,75.39,90.58,72.36,,53.99,80.64,84.38
2537,48067,4.71,5.42,80.39,,3.12,33.24,3.68
2538,48069,319.43,254.83,400.58,,360.61,324.39,230.6
2539,48071,348.53,30.86,1228.14,,533.27,265.51,380.25
2540,48073,418.13,276.25,347.39,,209.43,68.07,380.84
2541,48075,6.91,5.64,6.61,,10.12,9.28,10.54
2542,48077,20.01,19.46,17.3,,16.8,5.38,9.61
2543,48079,56.12,30.07,58.63,,126.43,65.85,73.11
2544,48081,11.51,11.36,32.87,,60.34,34.83,6.08
2545,48083,5.06,3.98,4.12,,47.96,52.61,2.74
2546,48085,190.18,254.36,339.08,,593.77,327.79,169.58
2547,48087,8.32,12.81,28.07,,51.83,44.45,34.63
2548,48089,207.63,338.28,231.16,,125.82,143.74,71.04
2549,48091,15.08,21.23,28.19,,30.39,44.44,23.37
2550,48093,44.79,45.82,46.24,,27.95,28.41,22.01
2551,48095,4.15,4.05,7.89,,4.25,7.76,5.05
2552,48097,8.03,11.04,9.69,,9.78,12.42,11.02
2553,48099,4.15,5.3,1.92,,8.79,3.71,1.63
2554,48101,2.64,1.31,2.84,,4.72,2.01,4.02
2555,48103,5.99,10.94,15.49,,21.23,23.47,24.27
2556,48105,10.71,6.56,7.65,,9.48,11.73,12.67
2557,48107,48.09,84.52,91.97,,126.1,74.69,41.84
2558,48109,25.54,15.2,8.14,,18.82,39.21,45.48
2559,48111,232.13,258.97,329.19,,368.12,329.6,268.44
2560,48113,1072.78,1025.03,728.65,,979.36,307.41,419.61
2561,48115,28.06,43.49,50.23,,108.18,79.02,55.91
2562,48117,249.7,202.52,278.55,,218.08,173.92,111.97
2563,48119,3.69,2.26,0.76,,1.85,2.62,10.25
2564,48121,15.73,19.79,165.99,,87.09,166.26,37.82
2565,48123,6.43,13.11,5.47,,4.68,6.56,12.03
2566,48125,5.73,5.12,5.52,,9.41,8.77,8.04
2567,48127,23.2,16.97,14.46,,6.29,11.16,17.29
2568,48129,9.68,20.39,15.46,,34.19,26.8,24.12
2569,48131,8.99,16.4,22.6,,14.07,9.3,8.39
2570,48133,18.5,16.48,15.91,,12.99,9.79,5.47
2571,48135,18.11,37.31,40.06,,64.0,60.16,71.53
2572,48137,1.01,1.43,1.04,,1.02,0.91,0.66
2573,48139,16.51,16.98,15.78,,23.53,23.37,19.25
2574,48141,257.56,307.41,392.62,,267.28,277.47,249.27
2575,48143,13.16,16.11,25.11,,17.07,16.1,13.62
2576,48145,6.95,6.88,8.82,,15.75,10.91,9.44
2577,48147,507.68,516.86,477.49,,9.31,55.08,14.57
2578,48149,12.72,12.03,23.94,,767.35,24.68,15.67
2579,48151,4.34,5.76,3.97,,6.12,7.82,6.64
2580,48153,88.65,96.34,226.26,,156.79,93.27,75.0
2581,48155,2.89,4.1,4.97,,4.72,2.86,2.37
2582,48157,213.34,315.91,216.86,,1396.81,995.28,890.26
2583,48159,4.53,9.27,5.08,,5.96,5.36,9.02
2584,48161,950.1,947.3,868.19,,513.07,816.06,703.6
2585,48163,48.34,93.0,102.25,,84.83,56.41,58.4
2586,48165,263.18,354.73,579.42,,23.85,333.64,339.48
2587,48167,998.13,619.79,587.43,,129.65,57.34,6.61
2588,48169,5.66,10.09,10.3,,18.18,14.34,19.91
2589,48171,5.46,5.99,7.33,,4.53,7.38,6.23
2590,48173,22.61,38.3,56.15,,43.14,56.66,42.99
2591,48175,6.75,7.44,8.43,,9.0,391.68,285.43
2592,48177,8.77,9.31,9.52,,12.86,19.51,46.57
2593,48179,28.1,25.66,26.97,,39.38,24.63,29.99
2594,48181,24.33,22.77,28.69,,23.63,22.31,28.23
2595,48183,37.98,36.23,42.24,,257.48,90.44,41.4
2596,48185,6.04,6.64,9.53,,33.51,308.22,203.32
2597,48187,31.07,22.89,10.48,,34.27,61.13,48.67
2598,48189,411.55,410.84,354.95,,325.29,208.37,191.46
2599,48191,8.57,14.63,11.56,,25.55,30.91,24.85
2600,48193,2.92,3.77,3.32,,2.66,2.54,1.94
2601,48195,204.06,174.02,167.09,,211.44,119.57,136.41
2602,48197,6.86,5.88,12.56,,5.76,6.11,11.97
2603,48199,237.04,113.06,185.58,,19.87,6.51,7.34
2604,48201,939.36,1171.63,894.91,,764.33,443.83,338.26
2605,48203,47.01,59.54,81.64,,39.8,32.52,26.74
2606,48205,173.76,177.47,211.61,,365.41,311.11,304.18
2607,48207,83.45,76.82,98.12,,35.33,33.27,36.77
2608,48209,14.44,15.96,17.26,,15.89,19.68,13.38
2609,48211,8.57,3.36,3.97,,3.94,8.63,7.57
2610,48213,107.15,117.55,126.48,,117.04,37.57,11.57
2611,48215,664.53,895.27,932.37,,394.41,470.22,292.62
2612,48217,4.36,4.17,5.65,,11.68,7.45,5.85
2613,48219,81.39,107.66,176.15,,175.63,126.89,134.9
2614,48221,583.7,588.81,3333.38,,66.66,25.62,16.26
2615,48223,14.89,11.84,12.86,,13.9,37.73,19.08
2616,48225,5.88,6.58,6.19,,8.3,10.1,8.71
2617,48227,8.44,10.19,13.76,,23.49,29.62,33.65
2618,48229,134.8,148.48,157.51,,149.47,119.95,82.33
2619,48231,96.02,94.42,97.2,,123.15,17.24,9.2
2620,48233,123.26,105.65,146.81,,110.21,94.35,57.23
2621,48235,2.27,3.28,5.54,,2.84,3.66,5.31
2622,48237,2.33,2.88,3.27,,2.77,6.14,4.53
2623,48239,72.37,80.55,88.39,,69.59,90.35,43.59
2624,48241,56.27,58.14,57.42,,51.2,44.67,49.51
2625,48243,2.82,2.66,1.18,,3.94,2.74,2.18
2626,48245,182.12,259.64,172.46,,263.35,242.7,89.36
2627,48247,1.99,2.03,1.79,,1.99,0.84,1.3
2628,48249,5.63,4.19,5.08,,8.84,6.99,6.91
2629,48251,11.59,12.0,13.26,,18.66,25.32,19.35
2630,48253,211.39,17.14,286.75,,4.49,15.56,12.61
2631,48255,6.67,5.91,4.93,,4.71,5.1,16.98
2632,48257,8.46,8.54,6.79,,6.97,59.59,3.15
2633,48259,2.43,2.58,4.35,,4.24,4.94,4.06
2634,48261,1.04,1.14,1.04,,0.97,1.25,0.87
2635,48263,2.74,6.2,10.07,,15.88,16.8,17.67
2636,48265,7.36,7.24,7.71,,10.08,10.05,8.28
2637,48267,5.56,4.5,2.99,,3.17,16.95,3.48
2638,48269,1.71,3.14,4.28,,3.18,4.07,2.73
2639,48271,6.49,13.17,8.53,,5.25,2.23,3.87
2640,48273,8.81,8.55,7.84,,15.98,3.21,5.07
2641,48275,28.4,33.05,26.72,,37.33,26.85,26.99
2642,48277,14.67,17.71,22.32,,25.88,29.21,22.93
2643,48279,355.26,212.28,293.52,,351.87,184.93,169.4
2644,48281,2.95,2.8,1.71,,1.19,3.47,3.56
2645,48283,5.44,7.56,7.31,,5.71,6.78,17.78
2646,48285,19.25,17.91,16.53,,10.63,10.31,10.79
2647,48287,3.74,3.34,10.37,,5.39,8.55,12.15
2648,48289,4.08,5.65,9.01,,7.65,5.95,11.07
2649,48291,248.64,158.3,613.35,,379.85,56.61,23.94
2650,48293,4.91,14.53,23.81,,23.75,30.57,19.7
2651,48295,9.39,17.83,17.82,,22.95,30.18,33.47
2652,48297,7.19,6.88,9.67,,12.12,5.25,7.06
2653,48299,141.87,4.32,4.72,,165.4,74.48,102.9
2654,48301,0.25,1.14,1.71,,1.47,2.14,14.34
2655,48303,102.5,194.64,219.36,,204.0,131.69,159.6
2656,48305,51.95,27.3,51.11,,83.04,54.5,59.82
2657,48307,14.64,6.26,6.49,,6.64,12.3,9.11
2658,48309,47.56,44.83,57.35,,198.37,73.65,48.72
2659,48311,2.63,4.06,2.49,,2.01,1.8,8.3
2660,48313,3.75,3.45,3.18,,13.62,4.26,6.4
2661,48315,3.51,4.03,5.28,,16.42,9.88,72.71
2662,48317,14.49,13.81,14.19,,17.97,38.53,51.01
2663,48319,16.38,17.39,12.71,,10.17,5.24,5.72
2664,48321,127.04,233.6,124.24,,223.01,210.53,83.22
2665,48323,124.25,121.66,134.67,,52.03,56.16,38.4
2666,48325,85.87,155.28,50.17,,55.06,52.68,41.79
2667,48327,2.44,3.77,6.38,,1.86,2.78,4.46
2668,48329,36.22,38.29,59.52,,31.08,35.32,21.86
2669,48331,25.95,28.2,50.3,,55.57,45.66,273.29
2670,48333,3.24,3.59,3.9,,2.71,5.24,6.47
2671,48335,8.79,7.77,7.48,,11.92,17.97,20.3
2672,48337,6.0,8.66,5.93,,8.29,10.93,9.17
2673,48339,28.51,29.77,38.64,,67.9,89.22,79.17
2674,48341,251.15,328.57,312.1,,276.18,156.37,147.5
2675,48343,152.0,128.91,85.89,,50.91,29.36,19.73
2676,48345,3.7,5.32,6.05,,9.68,6.44,8.48
2677,48347,10.42,12.82,13.94,,24.61,16.14,21.29
2678,48349,11.32,9.45,8.91,,7.86,51.23,5.75
2679,48351,2.76,4.35,5.0,,3.92,6.2,7.58
2680,48353,7.1,8.61,5.7,,6.97,11.3,14.44
2681,48355,744.53,296.51,925.58,,349.45,234.98,230.45
2682,48357,103.85,74.73,85.72,,69.82,58.49,73.36
2683,48359,13.71,9.75,6.57,,6.24,5.82,5.0
2684,48361,1554.15,1841.68,1190.73,,1181.8,411.31,390.82
2685,48363,361.63,327.44,462.06,,118.11,50.42,60.55
2686,48365,5.15,8.02,11.69,,12.59,17.44,15.53
2687,48367,28.03,12.48,18.86,,10.88,22.58,15.77
2688,48369,272.93,256.48,342.26,,424.71,239.6,141.19
2689,48371,89.56,74.6,86.47,,60.09,145.08,167.94
2690,48373,8.89,9.94,9.36,,18.91,558.93,564.7
2691,48375,14.8,10.68,28.51,,14.59,5.56,7.84
2692,48377,29.54,33.17,22.1,,8.03,5.33,5.46
2693,48379,1.22,1.24,1.39,,3.24,2.21,1.77
2694,48381,66.76,50.67,54.52,,53.68,26.78,12.27
2695,48383,24.69,35.03,34.3,,16.62,25.57,38.28
2696,48385,1.17,1.72,1.04,,0.75,1.03,0.74
2697,48387,3.47,2.63,5.04,,8.63,7.07,6.06
2698,48389,69.76,72.86,98.18,,83.81,56.91,74.09
2699,48391,7.37,11.74,6.01,,11.57,11.99,12.65
2700,48393,4.42,4.54,5.85,,13.62,21.07,7.4
2701,48395,20.68,17.79,23.6,,35.03,433.82,1098.71
2702,48397,0.28,0.18,0.18,,1.85,0.56,0.38
2703,48399,11.07,7.1,6.9,,5.3,7.8,9.41
2704,48401,26.89,29.05,28.41,,2248.05,1594.89,1001.33
2705,48403,2.15,2.94,2.34,,3.48,2.19,1.37
2706,48405,1.52,1.35,2.13,,3.15,3.1,3.69
2707,48407,2.1,1.8,2.35,,5.35,2.88,3.43
2708,48409,8.36,304.68,12.38,,35.76,11.43,9.64
2709,48411,13.2,7.87,5.28,,11.52,6.97,8.43
2710,48413,2.55,2.73,3.3,,1.87,2.65,2.64
2711,48415,38.32,50.28,25.52,,34.35,38.87,46.46
2712,48417,1.95,2.17,2.41,,1.99,1.77,1.75
2713,48419,5.77,5.11,6.39,,12.16,13.48,19.87
2714,48421,221.87,225.26,244.27,,352.1,213.9,225.9
2715,48423,33.95,37.95,39.31,,45.46,30.77,49.83
2716,48425,1.33,11.6,5.97,,63.15,2043.85,2107.36
2717,48427,40.76,53.35,50.0,,17.19,26.17,14.09
2718,48429,16.81,38.24,9.7,,30.16,36.84,41.83
2719,48431,2.25,1.93,3.24,,1.81,1.97,2.5
2720,48433,1.59,4.59,3.85,,3.34,2.53,4.83
2721,48435,3.24,2.84,3.18,,2.07,3.16,2.42
2722,48437,136.66,97.94,181.33,,154.1,104.43,67.78
2723,48439,126.64,144.22,175.74,,522.34,286.11,87.38
2724,48441,5.41,277.95,25.7,,24.99,3.57,2.65
2725,48443,1.08,1.05,1.07,,1.05,1.49,1.02
2726,48445,80.46,141.03,155.23,,108.49,132.5,89.99
2727,48447,1.82,2.89,2.28,,2.24,1.4,1.84
2728,48449,1939.47,1909.8,1420.88,,1427.73,1950.72,1121.35
