"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"45",18894,3824,763,-12500,55.24,60.2783333333333,6,-0.229999999999997
"59",21967.5,5469.5,1295,-8000,54.538,62.5283333333333,6,59.71
"85",27953.5,3551.5,33,-1000,46.158,57.775,6,37.56
"141",5907,3853,1002,-1000,47.288,62.1466666666667,6,20.85
"220",32974.5,5808.5,-6310,-14000,22.142,45.155,6,8.46000000000001
"231",57687.5,6923,231,4000,20.338,47.6366666666667,6,14.63
"242",44313,5378,-1749,-1000,20.102,46.8383333333333,6,47.46
"261",1105.5,7028,-2687,-1000,31.462,38.2483333333333,6,-3.44
"365",25849.5,5011,-12,-400,52.986,59.8033333333333,6,6.5
"370",80003,4348.5,148,-1100,50,60.565,6,26.6799999999999
"381",60014,3426.5,-1,-1600,48.11,61.0916666666667,6,5.88
"393",14424,5219.5,78,-1100,48.276,61.5816666666667,6,3.28
"395",27162,6675.5,-96,-500,52.28,59.58,6,5.23
"397",83527.5,5775.5,-118,-1200,48.764,60.805,6,-55.21
"404",117769,3562.5,-14,-1300,50.164,60.5366666666667,6,21.73
"445",4303.5,4494.5,507,-2800,47.986,61.5866666666667,6,0.0699999999999998
"555",135837,3765,-284,-800,36.99,50.0266666666667,6,46.9300000000001
"561",61247.5,5080,215,0,36.854,49.675,6,-5.6
"581",564.5,4224.5,158,1700,38.154,54.5883333333333,6,-5.07
"588",63969,5168.5,326,-1800,35.95,48.79,6,-1697.47
"599",4851.5,3618.5,-495,-2600,40.42,55.2333333333333,6,338.56
"604",661,4315,1171,-3000,35.334,52.5266666666667,6,-0.72
"606",2598.5,4534,-397,-1100,42.326,56.005,6,-0.2
"613",408.5,3692.5,189,-500,37.62,51.97,6,0.24
"623",5282.5,4113,387,-1500,35.352,52.8233333333333,6,17.7
"629",2396.5,3915,-555,-200,33.506,51.6666666666667,6,56.5799999999999
"634",91.5,3784.5,318,-400,42.164,55.4066666666667,6,-0.49
"638",72476.5,4713.5,-1695,-2600,37.154,50.4766666666667,6,-1813.32
"641",1408,4220,412,-2100,33.832,50.9633333333333,6,1.8
"644",3889,3660,3178,-1500,46.16,53.3883333333333,6,-2.51
"648",438.5,3750,2,-500,45.238,52.8233333333333,6,-0.25
"660",1529,3641.5,-401,-2700,49.57,54.55,6,-2.56
"663",3209.5,4324.5,22,-1500,47.638,55.1833333333333,6,65.43
"670",36902,6341.5,654,-1800,38.406,51.4533333333333,6,52.81
"671",4932,4953.5,-474,-1300,41.04,51.795,6,0.88
"682",13550,3992,91,-1400,42.752,52.4166666666667,6,0.359999999999999
"690",31647.5,3587.5,238,-2700,40.454,52.1533333333333,6,-22.01
"705",8933,4449,1058,0,37.282,49.92,6,42.77
"706",546.5,3318.5,3526,-1100,47.872,56.45,6,0.18
"728",3731.5,3928,136,-100,49.974,55.8016666666667,6,76.9
"875",48016,5163.5,380,9800,40.608,54.9816666666667,6,12.99
"1183",20653,5371,-195,-6500,31.804,47.555,6,-7.18
"1198",55282,5704.5,66,-1700,31.19,47.9,6,-60.68
"1216",19979,5029,-2771,-5000,32.682,48.2083333333333,6,-20.98
"1396",11537.5,3568.5,1206,-800,39.23,54.5166666666667,6,4.87
"1409",15297.5,3887.5,6,-2300,39.286,54.315,6,147.19
"1411",3909,3410.5,232,-2400,39.718,55.715,6,3.07
"1468",7957,4809.5,-530,-1500,39.03,54.4566666666667,6,-28.15
"1476",35488,4113,430,-2300,39.704,55.3233333333333,6,55.92
"1479",11393,4485,235,-600,40.656,55.7283333333333,6,322.59
"1492",2495.5,4025,202,-600,39.502,54.665,6,-0.85
"1664",14164,4316,1930,-500,45.92,54.28,6,-61.15
"1667",12295.5,3750.5,-1104,-400,45.456,54.7783333333333,6,-14.08
"1668",7106.5,6567,-168,-2100,49.3,51.4633333333333,6,26.41
"1669",12468.5,4489,198,-600,48.024,53.5733333333333,6,186.65
"1670",39191,3910.5,1217,100,47.706,53.5916666666667,6,119.08
"1671",31088.5,5292,-1012,-400,46.486,53.8116666666667,6,-14.66
"1672",24429.5,5893.5,111,-100,50.616,50.54,6,22.03
"1673",38856.5,3728,167,-300,47.43,53.7533333333333,6,-774.01
"1674",-504.5,3456.5,879,-900,44.458,54.85,6,418.92
"1675",28605.5,6429.5,-278,-1100,49.352,52.5466666666667,6,21.41
"1676",6611.5,4213,65,-2900,47.162,49.1516666666667,6,2.12
"1677",5415,4506,1578,-3100,47.7,49.86,6,-45.3
"1721",10344,3260,32,-500,47.942,49.2816666666667,6,-4.81
"1739",16860,3199.5,-816,-3000,46.934,49.3633333333333,6,-725.1
"1746",9679.5,4150.5,15,3500,44.648,46.0516666666667,6,-1.04
"1781",5285,5017,-233,-800,47.814,59.5566666666667,6,-31.91
"1793",20739.5,4063,92,-900,47.764,58.8233333333333,6,6.28
"1795",20094.5,3436,-208,-3300,42.98,57.775,6,-3.11
"1802",36814,3983.5,-505,-8600,45.052,58.3716666666667,6,-16.2
"1821",92010.5,5221,57,-3500,41.664,59.78,6,18.4900000000002
"1824",7878,4221.5,-1594,-1500,46.872,60.2433333333333,6,-0.0499999999999972
"1829",12188,4548.5,-232,-2800,47.382,58.4583333333333,6,1.17
"1851",19733,4421.5,591,-400,43.87,60.495,6,-3.39
"1853",102233,4904.5,-1299,-3800,48.912,59.655,6,49.02
"1918",20664,4064.5,263,-2200,42.842,53.195,6,73.52
"1922",13895,4516,116,-100,45.096,53.7216666666667,6,104.7
"1930",21530,7081.5,-6,-1500,38.622,51.6366666666667,6,2.26
"1931",1386,3848.5,-79,-1200,37.048,50.84,6,1.47
"1932",9649,4031,198,-1800,40.432,52.0533333333333,6,-0.159999999999998
"1934",53770.5,4076,609,-1700,39.19,52.5566666666667,6,39.14
"1937",4883,5178.5,75,-4600,41.606,48.6133333333333,6,-0.61
"1938",5577.5,4336.5,550,-2900,40.784,52.31,6,-4.4
"1940",-10462.5,4349.5,31,-100,43.706,54.055,6,111.69
"1954",8595.5,3858.5,81,-2100,40.848,51.145,6,1.53
"1961",14370.5,4699.5,-27,-4300,38.144,50.1866666666667,6,-0.379999999999999
"1966",-7373.5,3624,-181,-600,40.244,52.525,6,77.67
"1971",478,3914.5,-157,-100,34.004,51.08,6,1.56
"1986",13954.5,4216.5,-77,100,37.662,50.3116666666667,6,-10.15
"1989",4470,3466.5,226,-3100,36.398,51.305,6,0.96
"1992",22237,5451,383,-2500,43.118,53.1816666666667,6,-1.96
"2069",29979,3186.5,1610,0,44.242,60.0383333333333,6,3.63
"2071",465,2582,545,-10000,42.064,59.025,6,-3.37
"2674",5598,5702,733,-200,43.35,55.6983333333333,6,-0.959999999999999
"2683",2752,4204,-39,-2800,42.1,54.965,6,-1.97
"2691",25314.5,3931.5,306,700,45.92,57.8783333333333,6,-10.4200000000001
"2692",275.5,4593.5,207,-3000,40.83,53.59,6,-0.86
"2694",3235.5,3020,-92,2100,44.578,55.3716666666667,6,-0.47
"2699",75582.5,6027.5,-85,100,42.872,55.71,6,2.64999999999999
"2700",3199,4781,-2012,-11100,43.604,54.62,6,-1.67
"2702",3809,3680.5,-19,-600,42.416,56.4183333333333,6,19.67
"2704",6743,3704.5,332,-4800,39.732,52.995,6,-0.97
"2707",1350,5396.5,69,-700,43.368,56.66,6,-2.34
"2712",11507,4328.5,-676,-4300,43.418,56.9833333333333,6,-19.38
"2716",2337.5,3980.5,-865,-1700,51.798,59.095,6,-17.27
"2717",6621.5,5558.5,-4,-100,50.198,58.82,6,-21.12
"2723",41735,6386.5,2878,-2300,42,54.255,6,4.82
"2732",1508.5,3950,50,0,47.582,58.2466666666667,6,-11.28
"2740",3524.5,4210.5,108,-3300,43.894,57.0283333333333,6,-0.14
"2743",32563.5,3904,617,200,42.772,55.6866666666667,6,-19.86
"2745",180.5,3301.5,280,-2600,44.752,53.635,6,-0.34
"2747",3223,4005,-81,200,42.356,54.7933333333333,6,6.04
"2752",1719.5,3534.5,-115,-4800,40.356,52.9233333333333,6,-1.33
"2756",15605,4422.5,106,-200,44.8,56.0233333333333,6,-2.59
"2766",23604,3566,-222,-100,50.686,59.4033333333333,6,-17.52
"2767",5768,3502.5,360,-100,52.554,59.18,6,-8.05000000000001
"2768",16094,3561.5,266,-1500,49.76,59.6166666666667,6,-4.58
"2903",4743,6349,18,-2500,33.588,46.515,6,-95.45
"2925",28026,5508,-404,-4500,35.778,46.9666666666667,6,-5.58
"2997",23190,3413.5,2509,-2600,58.832,60.215,6,16.73
"3011",22293.5,3401,-396,-700,59.728,62.23,6,53.51
"3037",28252.5,2904.5,-289,1000,42.21,57.9133333333333,6,67.05
"3093",7793,2846,4683,-2000,48.086,62.0266666666667,6,-23.12
"3172",-555.5,3985.5,2468,-7000,19.58,45.4216666666667,6,21.71
"3183",48837,3785,-80,-12000,17.266,47.7283333333333,6,0.029999999999994
"3194",779,3324,2559,-4000,17.444,47.045,6,-57.29
"3213",758.5,11785,3597,-3500,27.184,38.5533333333333,6,87.7
"3317",32190,2673,35,-1400,56.45,60.19,6,8.95
"3322",34825.5,2623.5,-126,-500,55.248,60.9416666666667,6,-52.1199999999999
"3333",9753,2222,4,100,55.164,61.1866666666667,6,-2.83
"3345",7040.5,2806,-56,-1000,51.376,61.6833333333333,6,-2.4
"3347",32739,3135.5,96,-2000,57.926,59.8616666666667,6,9.55
"3349",35488,3604,-4,-600,54.566,61.0433333333333,6,-18.8
"3356",94787,947.5,119,-1000,55.744,60.56,6,-84.36
"3397",2641.5,5059,123,-200,51.05,61.6066666666667,6,-1.12
"3507",-101946.5,3054,113,500,33.232,50.3366666666667,6,19.6099999999999
"3516",-16,3271,175,1300,39.954,54.5633333333333,6,0.17
"3533",632,2393.5,-132,-2000,41.178,55.0716666666667,6,0.61
"3540",26411.5,3009,-28,600,31.334,49.1216666666667,6,103.76
"3551",4532,2809,-363,-900,42.086,55.7183333333333,6,-259.22
"3556",108,2348.5,623,100,35.198,53.0766666666667,6,2.71
"3558",2406,4068.5,2082,800,40.274,56.5483333333333,6,0.26
"3565",171.5,2708.5,10,-500,36.996,52.55,6,-0.21
"3575",3168.5,2610.5,48,1200,36.626,53.3266666666667,6,56.75
"3581",2689,2762.5,657,600,35.366,52.2783333333333,6,-731.26
"3590",82855.5,2599,-569,900,34.484,50.92,6,535.99
"3593",1378.5,3759.5,102,-2100,33.42,51.41,6,1.6
"3596",2210,2662,1077,-400,48.128,53.9533333333333,6,1.94
"3599",4344.5,7257,793,-1800,44.186,51.48,6,0.22
"3600",157,1882,48,-100,49.48,53.3933333333333,6,0.01
"3612",1067.5,2288,283,600,46.912,55.125,6,0.29
"3615",1385.5,2059.5,-12,-100,48.166,55.615,6,-68.47
"3622",39252,2695.5,570,-200,43.948,52.0266666666667,6,-50.37
"3623",6310,1525.5,117,-700,45.776,52.3366666666667,6,0.68
"3634",10392.5,2624,800,-2000,45.072,52.9533333333333,6,2.08
"3642",15261,1354.5,-152,0,44.46,52.7,6,14.6799999999999
"3657",7614,1982.5,791,300,36.028,50.155,6,-0.800000000000068
"3658",-480.5,3605.5,1835,-1200,45.722,57.0616666666667,6,3.64
"3680",3005,3922,-3,-300,46.844,56.3633333333333,6,-26.7399999999999
"3827",40071,3481.5,-391,-7900,38.302,55.445,6,-7.34
"4135",12199.5,1770,-24,-2500,30.926,47.9016666666667,6,8.19
"4150",3478.5,1802,-48,-2300,30.96,48.195,6,11.76
"4168",10526,2071.5,640,-3000,31.44,48.3933333333333,6,4.29
"4348",11306.5,2640,-1884,-9200,41.9,54.77,6,-2.65
"4361",15504.5,2530,-135,3000,38.83,54.79,6,5.85999999999999
"4363",1685,2598,-89,0,43.924,55.9733333333333,6,-1.04
"4420",6556.5,3840.5,1569,5100,36.294,55.0033333333333,6,96.16
"4428",33361.5,3536,-1184,-1000,42.366,55.69,6,126.42
"4431",-8430.5,2874.5,402,200,41.888,56.225,6,290.65
"4444",3555,2334,-382,-300,40.708,54.7816666666667,6,-0.21
"4616",12233.5,4231.5,-928,-1200,45.828,54.5116666666667,6,-67.75
"4619",15275,4251,1369,0,45.42,55.1516666666667,6,15.94
"4620",3234.5,6059.5,443,-800,50.436,51.6983333333333,6,-76.54
"4621",6842,4051,-72,-200,46.432,53.8166666666667,6,-1.15999999999997
"4622",24360,3377,-151,-500,47.884,53.7783333333333,6,432.35
"4623",6405.5,4913.5,567,200,46.85,54.035,6,18.16
"4624",9799.5,5189,-151,-600,51.456,50.735,6,-47.65
"4625",29229,3386,-1,100,45.978,53.9666666666667,6,799.02
"4626",848.5,3211,-1146,-500,45.028,55.225,6,730.73
"4627",10928.5,4548.5,79,-900,49.394,52.6516666666667,6,-1.59
"4628",2915,4495,-188,-200,48.85,49.3283333333333,6,-5.86
"4629",3272.5,3628.5,-913,-100,49.896,50.2016666666667,6,4.26
"4673",8001,3851,-78,-3200,46.45,49.39,6,3.95
"4691",14417,3673.5,296,-2300,47.57,49.54,6,211.2
"4698",8314.5,4120.5,-38,-1400,45.224,46.0816666666667,6,4.23
"4733",6048.5,3318,352,-1200,44.38,59.94,6,-205.23
"4745",17632,2173.5,-375,300,44.774,59.225,6,3.26
"4747",18461,1595,-101,-1100,44.176,58.1833333333333,6,-3.8
"4754",27369,1463.5,-495,0,44.15,58.845,6,-18.86
"4773",93653.5,2248,-119,-3500,43.244,60.1783333333333,6,-103.3
"4776",5572.5,1204.5,-571,-900,44.16,60.7716666666667,6,-3.96
"4781",5667.5,4019.5,-224,-2500,44.976,58.8333333333333,6,-2.1
"4803",33334.5,3309,-479,-2600,43.256,60.9033333333333,6,42.68
"4805",111350,2794,-852,0,45.922,60.0833333333333,6,5.63
"4870",15329,1908,-214,-3300,42.594,53.6583333333333,6,43
"4874",8667.5,2765,-100,-1100,46.05,54.1633333333333,6,66.73
"4882",28059.5,4541,-76,-800,41.982,51.86,6,6.03
"4883",-1048.5,1880,-25,-1300,35.554,51.0033333333333,6,11.71
"4884",10595,2229.5,18,600,42.23,52.34,6,1.33
"4886",36069.5,1925,-49,-300,42.352,52.765,6,3.65000000000001
"4889",1354.5,2395.5,69,-600,42.106,48.9466666666667,6,0.48
"4890",6027,2635.5,536,-1800,44.544,52.68,6,3.83
"4892",-21554.5,2373,-106,-700,44.792,54.43,6,-45.34
"4906",9108.5,2476.5,785,-600,42.746,51.365,6,2.42
"4913",9521,2867.5,1,1400,39.352,50.405,6,-1.45
"4918",-10300.5,1542.5,-17,500,42.26,52.9416666666667,6,5.11000000000001
"4923",284,2918,-467,300,32.356,51.2216666666667,6,-6.12
"4938",125.5,1917,40,-200,39.76,50.4866666666667,6,-41.21
"4941",4899.5,3406,-46,1700,41.588,51.5866666666667,6,4.05
"4944",24703.5,3209,-364,-1500,44.072,53.5633333333333,6,2.22
"5021",13229,2827,-708,0,37.252,60.1383333333333,6,-2.28
"5023",671.5,3206.5,-165,-5000,37.556,59.155,6,3.06
"5626",8698.5,3916.5,-361,-6700,44.914,55.9916666666667,6,-0.0299999999999994
"5635",1185.5,3661,-190,4800,42.752,55.3066666666667,6,2.56
"5643",24365,3212.5,-387,200,47.622,58.275,6,19.21
"5644",680.5,4893,189,0,42.832,53.9633333333333,6,0.7
"5646",5743.5,3672.5,677,-5300,44.322,55.4283333333333,6,1.37
"5651",39402.5,6056.5,-62,-700,45.254,55.9716666666667,6,234.49
"5652",4703.5,4976.5,59,-10800,44.276,54.8233333333333,6,21.49
"5654",2630.5,4534.5,208,-1900,44.954,56.6883333333333,6,86.25
"5656",8313,3448.5,-221,2800,41.8,53.2166666666667,6,2.73
"5659",2136.5,4724,-81,0,45.184,56.975,6,2.17
"5664",6426,4540.5,796,-3200,46.056,57.5216666666667,6,148.3
"5668",2517,4656,-88,-1200,48.588,59.635,6,58.67
"5669",8142,4453,-73,-300,48.744,59.435,6,1.17
"5675",61027,5913,-133,-5200,44.782,54.6883333333333,6,-12.4
"5679",-101.5,1700.5,-64,-100,48.284,59.015,6,0.02
"5684",2096.5,4424,38,0,47.702,58.7983333333333,6,2.5
"5686",80,2864.5,23,100,47.49,57.8883333333333,6,2.97
"5692",2690.5,873.5,-201,-1100,45.738,57.3383333333333,6,1.3
"5695",49301,5048,-489,-1900,42.592,55.9766666666667,6,-55.36
"5697",196.5,6643,-203,1400,44.226,53.65,6,0.41
"5699",2902.5,3204.5,1,-300,43.376,55.3416666666667,6,6
"5704",3196.5,2373.5,-354,6100,41.05,53.1183333333333,6,13.19
"5707",14908.5,4238,-202,-1400,44.604,56.09,6,5.03
"5708",16070.5,4964.5,35,-200,41.25,56.33,6,12.06
"5718",10042,4178.5,-74,1000,48.242,59.92,6,14.4299999999999
"5719",9433.5,4802.5,-551,-700,48.638,59.685,6,17.83
"5720",5369.5,4254,-238,-400,47.052,60.13,6,0.51
"5855",1814,3915.5,159,1500,31.084,46.8416666666667,6,173.65
"5877",12681.5,3794,619,0,31.436,47.3816666666667,6,-1.53
"5949",23190,3413.5,-1401,100,49.436,60.6783333333333,6,8.61999999999999
"5963",22293.5,3401,-1062,-3300,52.22,62.6383333333333,6,-144.68
"5989",28252.5,2904.5,257,-15000,47.33,57.8583333333333,6,-38.4299999999999
"6045",7793,2846,-5386,-1500,56.004,61.975,6,-1.88
"6124",-555.5,3985.5,-3745,-800,19.626,44.7766666666667,6,27.88
"6135",48837,3785,-1767,1900,18.348,47.0633333333333,6,8.19
"6146",779,3324,-1947,300,18.204,46.3866666666667,6,-8.55
"6165",758.5,11785,-2433,900,30.052,37.955,6,-7.52999999999999
"6269",32190,2673,-16,-3000,48.904,60.27,6,-4.96
"6274",34825.5,2623.5,-14,-100,47.646,61.0833333333333,6,-359.64
"6285",9753,2222,-5,-400,47.158,61.3733333333333,6,-86.18
"6297",7040.5,2806,-10,-2100,45.968,61.7916666666667,6,-1.94
"6299",32739,3135.5,-124,-3100,49.43,60.0116666666667,6,-1.16
"6301",35488,3604,572,-1100,47.446,61.2583333333333,6,56.57
"6308",94787,947.5,-179,-2200,47.482,60.7966666666667,6,1.37
"6349",2641.5,5059,1115,-3500,44.548,61.7033333333333,6,5.28
"6459",-101946.5,3054,158,-1200,42.356,50.1383333333333,6,-85.3099999999999
"6468",-16,3271,1404,-900,45.31,54.3066666666667,6,-0.57
"6485",632,2393.5,-25,-700,43.422,54.8833333333333,6,1.11
"6492",26411.5,3009,-103,-200,39.336,48.7066666666667,6,-198.35
"6503",4532,2809,1329,-2000,42.998,55.5933333333333,6,17.27
"6508",108,2348.5,1568,-400,41.84,52.7166666666667,6,-1.91
"6510",2406,4068.5,501,-1500,42.738,56.475,6,0.45
"6517",171.5,2708.5,492,4600,43.324,52.285,6,2.44
"6527",3168.5,2610.5,155,400,43.024,53.1083333333333,6,-87.84
"6533",2689,2762.5,7087,-3400,43.142,51.9416666666667,6,-24.86
"6536",-398,3301.5,-62,-1000,49.544,55.995,6,0.56
"6542",82855.5,2599,-456,-3000,43.732,50.57,6,-267.4
"6545",1378.5,3759.5,-363,-2300,41.606,51.0683333333333,6,-4.56
"6548",2210,2662,3304,-1800,47.72,53.5,6,-2.99
