"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"156",1690,2991.5,-36,-8000,49.18,61.1716666666667,4,-5.24
"276",1886.5,2873.5,109,-1500,47.296,68.2616666666667,4,2.13
"278",1786.5,1969.5,-36,0,48.826,69.0066666666667,4,-2.86
"281",1003,1756,657,-2500,55.016,67.4683333333333,4,1.94
"290",15806,3240,1199,-1000,61.08,67.3933333333333,4,44.22
"292",1991,2951,-1518,-500,52.698,67.26,4,-0.77
"296",1198.5,855.5,237,-500,49.818,67.77,4,-4.48
"302",1393,2763,304,-1000,57.862,66.705,4,-3.15
"304",2690,2125.5,-4498,-3000,54.744,67.4666666666667,4,30.55
"305",803,3631,2567,-4500,53.39,67.625,4,-3.25
"306",722,2060.5,287,-4500,54.564,68.1816666666667,4,-0.71
"309",23479.5,3468,-30,-2000,53.064,67.63,4,6.24
"312",1082,1392,-743,0,52.1,67.5533333333333,4,-0.199999999999999
"317",13361,3885.5,234,-1000,60.748,66.7583333333333,4,-1.47
"328",18067.5,3716.5,691,1000,60.762,67.17,4,7.47
"332",4032,2455,2718,-4500,52.872,68.1966666666667,4,-14.77
"333",1072.5,2475,-307,-1000,54.174,68.1116666666667,4,-3.27
"334",1595,1342.5,-661,-1500,49.238,68.7616666666667,4,-0.16
"337",6420.5,3454,837,1500,60.318,66.8216666666667,4,0.450000000000001
"338",2027,3093,620,-1000,57.746,67.3433333333333,4,-0.49
"339",837.5,2571.5,5318,2500,45.608,66.5566666666667,4,0.810000000000002
"340",698,2138,-745,800,48.06,66.6883333333333,4,3.53
"341",268.5,2576,2435,500,47.082,66.7033333333333,4,2.86
"342",229.5,4151,-4494,-1300,49.646,66.5983333333333,4,17.78
"343",2585,2956.5,71,-600,43.162,63.8033333333333,4,1.61
"344",2057,3341.5,771,-500,50.864,60.6983333333333,4,-0.18
"345",8211.5,3597,-230,-2500,50.242,60.9483333333333,4,1.86
"346",10054,3620.5,1054,2000,48.94,60.4866666666667,4,8.06
"347",619.5,2396.5,-1347,-800,47.028,65.785,4,-6.07
"348",1041,3486,-105,-2300,47.324,66.2583333333333,4,2.36
"349",1960,3020.5,-38,-1400,42.498,63.7933333333333,4,47.74
"350",618,2579.5,1164,-600,44.58,64.9066666666667,4,7.03
"351",1776,2312,-68,-500,45.926,67.09,4,-0.73
"352",526,2727.5,1686,-500,50.746,66.7316666666667,4,0.04
"354",6429,3222.5,141,-3500,44.778,65.61,4,-1.76
"355",832,2475.5,3677,-5000,44.514,64.1633333333333,4,22.59
