"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"104",13004,3923.5,2999,-7000,46.076,61.325,4,0.93
"105",1437,2869.5,970,-1000,49.852,59.8433333333333,1,-9.82
"106",802.5,3736,-128,6000,42.366,57.5766666666667,1,-72.19
"107",7335.5,3379,4,-5000,52.426,61.235,4,-249
"109",2763.5,3323,11088,2000,44.108,59.7216666666667,1,11.36
"110",983,2760,460,11000,53.48,62.8666666666667,4,-3.59
"112",365.5,3011.5,-312,3000,53.336,61.7033333333333,4,0.91
"113",1520.5,2835,2964,2000,43.966,59.8583333333333,1,42.36
"114",942.5,2772.5,-115,-1000,43.014,58.5333333333333,1,-0.88
"115",-263,2790,26597,0,42.76,60.5233333333333,1,87.89
"116",-604.5,2782.5,27393,1000,46.802,62.8333333333333,4,114.75
"117",2280,3086.5,-241,-3000,49.442,59.205,1,1.62
"118",-542,3277.5,483,11000,55.4,64.0083333333333,4,-20.45
"119",158.5,2777,14820,-1000,43.82,59.4383333333333,1,44.02
"120",-236.5,2200.5,39451,-1000,47.476,62.2783333333333,4,74.78
"121",401,2290,14119,0,47.252,63.105,4,38.15
"122",-169,2978.5,2414,6000,52.83,63.1816666666667,4,-0.83
"123",964.5,3122,-236,-4000,48.298,60.8266666666667,4,-0.47
"124",6780,3562,-11871,-4000,45.816,62.2216666666667,4,112.37
"125",1312.5,3094,341,-4000,48.848,56.98,1,-1.83
"126",2069.5,2624.5,324,-1000,42.192,57.81,1,1.12
"127",988,3390.5,286,-2000,54.11,64.1533333333333,4,-10.02
"128",-2773,2643.5,61264,-1000,49.122,60.85,4,40.42
"129",-539.5,2754.5,26548,0,46.68,62.3383333333333,4,61.5
"130",702,3162.5,393,1000,53.916,60.5666666666667,4,-0.55
"132",471,3337,27,1000,46.77,57.0116666666667,1,-0.27
"134",1120,3684,862,0,48.872,61.365,4,1.68
"135",-1196.5,2798,25133,-500,46.502,62.6966666666667,4,155.2
"136",608.5,3082.5,-191,0,54.28,61.4916666666667,4,0.26
"137",475,2147.5,9521,-1000,44.396,60.9216666666667,4,165.28
"138",1441,2589.5,-292,7000,55.638,59.815,4,-2.23
"139",4293,2785.5,328,1000,47.698,59.7366666666667,1,18.73
"140",10.5,3632.5,-3765,-1000,44.898,62.245,4,57.56
"141",5907,3853,1002,-1000,47.288,62.1466666666667,6,20.85
"142",818.5,3141.5,2538,6000,43.904,58.6516666666667,1,35.6
"143",416,2644.5,43974,0,47.848,61.9433333333333,4,63.13
"144",9673,3768.5,-176,1000,50.434,61.7716666666667,4,4.1
"146",210,2663.5,-156,-7000,44.974,57.88,1,-0.81
"147",7740.5,3031.5,1160,2000,50.462,60.9833333333333,1,-2.18
"148",1060,2531,-581,0,52.352,62.25,4,0.2
"149",1505,2782.5,-654,1000,43.6,58.3583333333333,1,0.21
"150",862,3227.5,-238,4000,44.472,58.755,1,-0.82
"152",1092,3948.5,-66,-4000,47.496,59.0933333333333,1,-0.51
"153",22153,2861,293,-1000,49.314,57.835,1,0.309999999999999
"154",6244.5,2994,-10169,-9000,44.72,61.2833333333333,4,15.03
"155",-389.5,2843,-1042,0,44.29,61.565,4,157.96
"156",1690,2991.5,-36,-8000,49.18,61.1716666666667,4,-5.24
"157",82279.5,4566.5,-4565,-4000,23.248,59.155,2,20.52
"158",47.5,5316,4180,-2700,41.944,43.6116666666667,2,-8.55
"159",2530.5,4065,-1017,24000,43.274,57.2,2,5.4
"160",10525.5,2717,-10557,-2000,51.516,59.2466666666667,2,120.25
"161",4278,3961.5,-2527,1500,42.252,57.6766666666667,2,2.52
"162",1264.5,1164,9652,-4000,27.862,60.995,2,-135.56
"163",72542,4933.5,2111,-6000,23.034,60.01,2,357.09
"164",2023.5,1974,983,-2000,89.77,52.18,2,2.1
"165",15152,4928.5,848,-2500,54.41,53.45,2,-18.64
"166",65958.5,1835.5,-57176,-20000,22.706,55.35,5,191.11
"167",827.5,1696,6902,5000,31.912,59.6716666666667,2,-164.61
"168",3700,2383.5,-324,1000,72.302,53.9116666666667,2,-46.69
"169",16529,2015.5,34082,70000,2.308,73.8416666666667,7,278.01
"170",-168,3121,2699,-3200,5.986,60.7833333333333,5,-28.55
"171",59084,1803,-105331,-70000,9.9,61.6583333333333,5,370.16
"172",13996,2906.5,-16577,44000,9.014,63.5416666666667,5,122.65
"173",3839,2560,5892,100,52.658,56.78,2,-11.58
"174",3115,1061.5,-7185,-26000,23.16,46.8016666666667,5,184.45
"175",328087,2267,-2013,-13200,15.65,61.5816666666667,2,1218.31
"176",17509.5,1913,6037,-5000,26.574,55.9983333333333,5,12.42
"177",8596.5,8290.5,1026,14000,41.764,55.9433333333333,2,3.51
"178",1414,2558,-1630,1800,37.804,54.9733333333333,2,-1.89
"179",2960,3333.5,3101,1000,61.696,55.2,2,4.07
"180",16075.5,1825.5,13767,-23000,14.368,62.22,5,191.63
"181",-114.5,3157,-35217,-2000,21.748,46.4733333333333,5,-188.46
"182",1448.5,3651,-8326,4300,16.504,44.055,5,-28.47
"183",23051,2793.5,-9194,-57000,25.08,58.5866666666667,2,486.64
"184",6757,4377.5,8422,2200,36.462,59.37,2,13.77
"185",6761.5,4123.5,-1803,3600,61.296,51.8366666666667,2,7.56
"186",217866.5,2968,-3002,-4800,14.404,63.965,2,54.8299999999999
"187",37801.5,5326,-2253,-400,56.24,53.27,2,-11.23
"188",542.5,3219.5,-15182,-5000,47.558,47.3666666666667,2,-74.8
"189",187487,2089.5,-25424,-4000,6.686,68.3116666666667,2,255.73
"190",91140,2938.5,-2967,-13000,22.998,61.7733333333333,2,-92.74
"191",8268.5,3499.5,-4213,-15000,20.564,58.78,2,5.20999999999999
"192",145527,1749,-1475,-7000,5.9,66.5283333333333,7,34.5700000000001
"193",157908.5,3353,-7424,-16000,11.984,62.795,2,1225.29
"194",41485,2330,-8237,-50000,17.788,61.695,2,-70.75
"195",14759.5,3313.5,12431,-36000,20.26,59.21,2,407.36
"196",28769,6807.5,293,-2000,35.542,56.72,2,-8.61
"197",14869.5,2952,882,-44000,22.98,58.4633333333333,2,101.09
"198",92504,6186,3526,-19000,29.288,58.36,2,-7.89000000000004
"199",12934,4524.5,1686,-1300,41.496,57.0816666666667,2,6.04000000000001
"200",8110,2678.5,5323,-8500,51.754,54.66,2,122.68
"201",118.5,2542,1686,-1500,53.722,46.9183333333333,2,3.81
"202",385,2980,15109,-13000,46.172,48.67,2,87.1300000000001
"203",27060.5,3449,-40100,-9000,24.42,60.92,2,-8.79999999999995
"204",35196,4242.5,18135,-24000,48.86,57.0933333333333,2,18.14
"205",38237.5,2091,25000,7000,17.39,61.415,5,177.33
"206",7257.5,2332.5,-553,-3000,22.516,62.57,2,-131.66
"207",3207,2401.5,7681,5000,43.876,58.02,2,12.48
"208",-20.5,3043.5,-911,2500,68.764,52.1083333333333,2,19.29
"209",28050,1852,13684,135000,24.752,54.3066666666667,5,200.35
"210",3022.5,3895.5,-441,-800,48.486,49.86,2,-5.16
"211",42090.5,3369.5,-12900,-6000,22.764,57.8083333333333,2,311.93
"212",13784,2752,1812,5000,23.876,61.8066666666667,2,-61.95
"213",995.5,2125,4246,1000,44.198,60.2933333333333,2,17.39
"214",49409.5,3664.5,2465,-5000,16.74,50.0333333333333,5,1.25
"215",674.5,2875.5,-5890,3000,11.056,43.265,3,-188.93
"216",48228,4685,-595,-4500,17.624,49.6033333333333,5,25.47
"217",2276.5,5385,-8436,2500,23.52,43.9583333333333,0,18.38
"218",-19.5,2748.5,-18504,-12000,19.356,54.0133333333333,5,5.83
"219",475,2198.5,-29807,4000,16.126,54.0883333333333,5,-101.54
"220",32974.5,5808.5,-6310,-14000,22.142,45.155,6,8.46000000000001
"221",1779,4321,-15052,2000,18.192,38.4483333333333,0,15.47
"222",-83,3234,8320,17000,16.34,51.7433333333333,5,6.16
"224",473.5,2693,-62111,8000,18.026,40.61,0,-477.53
"225",236.5,1845.5,-6206,1000,18.652,42.355,0,-96.45
"226",786,2929,-13796,-17000,13.926,52.3566666666667,5,33.17
"227",788.5,4254,-15214,-1500,20.888,41.72,0,7.68
"228",3427,3783,-14650,-6500,18.596,47.2766666666667,0,-25.77
"230",170,3661,2459,100,22.796,43.7383333333333,0,26.18
"231",57687.5,6923,231,4000,20.338,47.6366666666667,6,14.63
"232",9865.5,6904.5,-7251,2000,25.252,39.755,0,2.99000000000001
"233",5113,5197,154,13000,19.09,47.9983333333333,5,-15.41
"234",59957.5,4170.5,-5202,14000,19.126,48.0333333333333,5,3.79000000000002
"235",6936,3724.5,-7206,-5500,15.146,46.05,5,1.55999999999997
"236",6908.5,4127.5,-14136,-11000,24.454,43.8383333333333,0,-141.8
"237",2238,5870.5,-2816,-4000,23.946,37.5783333333333,0,-93.84
"238",1841.5,4945.5,-9905,-5500,24.06,38.7766666666667,0,-44.41
"240",926.5,3515,-9220,5500,20.052,47.15,5,-23.14
"241",-14,3484,-67868,1000,26.022,37.145,0,-78.27
"242",44313,5378,-1749,-1000,20.102,46.8383333333333,6,47.46
"243",-33,3038.5,-2447,9000,16.396,52.86,5,13.97
"244",435.5,2789.5,-11953,0,18.376,51.1216666666667,5,20
"246",5828.5,4685.5,-4674,-4000,23.946,45.06,0,-157.83
"247",32679,4860.5,-18774,-10000,21.4,42.67,0,1.53000000000003
"248",721,3947.5,-17676,-11000,17.824,51.4033333333333,5,0.859999999999999
"249",779,2729,8065,-6000,16.888,50.0083333333333,5,2.59
"250",1468.5,2911,1976,-52000,17.846,50.5233333333333,5,-26.3
"251",11555,3432.5,-18550,-14000,17.766,47.9033333333333,0,229.03
"253",913.5,3093,-5628,-10000,16.348,44.2266666666667,0,1.30000000000001
"254",2579,3413.5,-13008,-3000,17.062,49.0633333333333,0,114.77
"255",4504.5,3033,-7842,-4000,16.234,48.0983333333333,0,-46.41
"256",2616,2282,-10709,-75000,15.702,49.9866666666667,5,-47.64
"257",63,2770,-19606,-16500,15.33,53.885,5,-142.72
"258",723.5,5563.5,-7850,-7000,22.862,41.9833333333333,0,24.09
"259",3674.5,5347,-5311,0,18.294,38.6516666666667,3,19.48
"260",145.5,2975,-5488,17000,18.678,50.4833333333333,5,43.62
"261",1105.5,7028,-2687,-1000,31.462,38.2483333333333,6,-3.44
"262",568,2244,-15300,2000,18.676,54.0316666666667,5,-266.19
"263",9210.5,3408,-8911,9000,15.056,52.5733333333333,5,0.22999999999999
"264",7,2493.5,-11149,-2500,21.198,44.595,0,82.02
