"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"39",4152.5,3470.5,383,-6500,55.234,60.1,1,-1.09
"84",3600,3105.5,48,0,42.102,58.0033333333333,1,0.22
"86",2825.5,3023,-23,-2000,42.676,57.315,1,-0.68
"89",3351.5,2913.5,55,1000,44.394,57.3,1,-1.88
"92",-249,2747,26152,2000,45.248,59.34,1,93.83
"93",2317.5,3605.5,-186,-7000,45.088,59.9916666666667,1,0.45
"97",6596,2895,12319,-2000,43.268,60.3233333333333,1,42.25
"98",5377,2663,-466,-4000,51.286,59.9666666666667,1,2.89
"105",1437,2869.5,970,-1000,49.852,59.8433333333333,1,-9.82
"106",802.5,3736,-128,6000,42.366,57.5766666666667,1,-72.19
"109",2763.5,3323,11088,2000,44.108,59.7216666666667,1,11.36
"113",1520.5,2835,2964,2000,43.966,59.8583333333333,1,42.36
"114",942.5,2772.5,-115,-1000,43.014,58.5333333333333,1,-0.88
"115",-263,2790,26597,0,42.76,60.5233333333333,1,87.89
"117",2280,3086.5,-241,-3000,49.442,59.205,1,1.62
"119",158.5,2777,14820,-1000,43.82,59.4383333333333,1,44.02
"125",1312.5,3094,341,-4000,48.848,56.98,1,-1.83
"126",2069.5,2624.5,324,-1000,42.192,57.81,1,1.12
"132",471,3337,27,1000,46.77,57.0116666666667,1,-0.27
"139",4293,2785.5,328,1000,47.698,59.7366666666667,1,18.73
"142",818.5,3141.5,2538,6000,43.904,58.6516666666667,1,35.6
"146",210,2663.5,-156,-7000,44.974,57.88,1,-0.81
"147",7740.5,3031.5,1160,2000,50.462,60.9833333333333,1,-2.18
"149",1505,2782.5,-654,1000,43.6,58.3583333333333,1,0.21
"150",862,3227.5,-238,4000,44.472,58.755,1,-0.82
"152",1092,3948.5,-66,-4000,47.496,59.0933333333333,1,-0.51
"153",22153,2861,293,-1000,49.314,57.835,1,0.309999999999999
"361",5409,3475,-167,-2800,50.932,59.705,1,-0.00999999999999979
"392",1903,3419.5,-61,300,59.564,56.0433333333333,1,0.18
"398",5044,3735.5,-231,-1100,60.896,57.1016666666667,1,3.7
"430",3221.5,3624,3,-200,60.116,57.5533333333333,1,0.76
"449",4275.5,4166,174,-900,56.946,58.7083333333333,1,0.28
"455",1701,4723.5,-100,-500,66.13,56.5216666666667,1,0.0800000000000001
"480",2648,3935,141,800,60.1,55.68,1,0.13
"490",3469,2958,28,100,61.846,57.7966666666667,1,-1.49
"491",5531.5,2595.5,238,-3900,52.29,59.7483333333333,1,26.78
"542",1321,3770,-16,-600,42.348,54.5566666666667,1,-1.24
"546",-119,3485,24,-900,37.994,54.425,1,-7.6
"551",543.5,3239.5,-1547,-1100,42.74,53.4366666666667,1,-1.7
"553",795.5,3843.5,617,6100,42.124,55.2566666666667,1,-2.8
"556",494,2550.5,517,-1700,44.362,54.2583333333333,1,24.79
"565",454.5,2430.5,58,1600,41.802,54.1583333333333,1,-4.43
"569",-232,2604,-1624,-1000,46.73,56.5666666666667,1,2.54
"570",-278,2681,6349,-1400,36.776,53.9833333333333,1,-0.64
"578",-727.5,2876,-127,-3800,45.278,56.115,1,-74.02
"579",-246,3175.5,-32,-600,43.678,54.095,1,-3.50999999999999
"580",1512.5,2682.5,371,-2800,43.366,55.155,1,-1.97
"590",-260,3475,1012,-1000,45.05,54.95,1,-11.57
"600",65,2867.5,113,-4300,43.518,54.595,1,-0.5
"603",204.5,3099,3086,500,48.374,57.485,1,-27.3000000000001
"612",841,2592,161,1000,43.496,55.6083333333333,1,-9.83
"615",20,3731.5,399,0,46.9,56.84,1,-0.36
"621",-3385,3508,269,-1000,41.304,55.8816666666667,1,25.93
"622",91,2762,803,-1100,47.34,56.2733333333333,1,-0.39
"630",337,3135,623,-2800,45.964,56.645,1,-1.67
"636",-575.5,2540,4322,-2200,47.64,56.095,1,-2.21
"639",1781.5,3262.5,-55,-1100,47.758,56.0816666666667,1,94.99
"651",4347.5,3934,162,-200,46.784,55.1366666666667,1,-6.26
"654",414.5,3544.5,-4,-1700,50.116,54.7283333333333,1,-0.0200000000000005
"655",1143.5,2919.5,-97,-8000,46.89,54.1666666666667,1,-1.96
"656",3637,3944.5,0,-2100,45.52,53.4533333333333,1,238.07
"657",455,3326,90,-5400,45.988,52.695,1,-0.0999999999999996
"665",1285.5,3664.5,-138,-3600,44.196,52.5333333333333,1,1.34
"667",293.5,3277,-1446,-1400,47.354,55.5916666666667,1,-2.04000000000001
"669",1373.5,3018,932,-2500,45.996,53.21,1,-19.54
"672",2217.5,4242,-30,-3100,48.738,55.205,1,0.56
"677",1802.5,3419,1140,-4200,48.092,53.8733333333333,1,-0.66
"683",-314,2504,9712,-3200,45.052,54.7633333333333,1,31.91
"694",5792.5,3258.5,-67,1400,45.882,52.78,1,0.380000000000001
"699",154,4420.5,217,-1400,46.534,54.1116666666667,1,0.32
"701",2252.5,3156,-79,-2200,45.198,52.5666666666667,1,0.2
"710",953.5,2998,82,-2400,46.938,52.9383333333333,1,-0.71
"713",984.5,3149.5,-47,-900,46.128,54.5333333333333,1,-0.52
"715",450.5,3269,190,-4600,48.824,56.1183333333333,1,0.169999999999998
"718",1379,2783,1634,-900,44,53.7066666666667,1,14.03
"719",663.5,3632.5,-52,-1800,47.65,54.3616666666667,1,-1.87
"725",-129.5,2823.5,427,-800,42.614,53.2416666666667,1,207.1
"729",1753,3280.5,37,-1400,48.246,53.9133333333333,1,-0.2
"1391",3231.5,2757.5,-367,-2900,43.598,56.8833333333333,1,13.24
"1392",614.5,1879,4250,-3800,43.728,57.12,1,5.95
"1395",705,2442,528,600,45.284,56.6216666666667,1,3.83
"1398",1051,3360.5,-3474,2600,45.476,58.3866666666667,1,193.87
"1400",3978.5,2990.5,392,-1500,40.502,54.5383333333333,1,6.18
"1401",4778,3897,-2,700,40.082,55.97,1,1.21
"1402",3530,3367.5,-16,-1100,44.754,56.9766666666667,1,16.09
"1405",820,2746,193,-3100,45.116,56.5183333333333,1,-0.14
"1407",10820.5,3780,-116,-6100,41.388,55.825,1,4.07
"1412",917.5,2821,181,-3000,38.952,54.9,1,-0.18
"1413",1815.5,2770.5,87,-2900,41.2,54.74,1,0.0300000000000002
"1414",237,2382,3042,-7400,43.676,56.6366666666667,1,0.56
"1415",1507.5,3288,-186,-3600,41.1,55.6983333333333,1,0.14
"1418",612.5,2715,-34,-2600,42.77,54.985,1,26.05
"1420",21.5,2266.5,36331,0,47.052,59.8233333333333,1,33.64
"1421",6602,4049.5,521,-5300,41.346,55.025,1,49.5400000000001
"1422",668,3272.5,-88,-1700,40,54.8083333333333,1,-0.64
"1424",16221,3358.5,-118,-11300,41.134,55.7566666666667,1,78.91
"1428",802.5,2476.5,-381,-3500,42.244,55.85,1,0.35
"1430",290.5,2672,-120,100,39.046,54.425,1,1.69
"1431",2895.5,2591.5,580,-800,42.638,56.4133333333333,1,1.12
"1432",-14.5,2997.5,78,-1300,44.254,54.705,1,-3.91
"1434",7110.5,2803,-168,-5100,44.336,57.4066666666667,1,6.24
"1435",13359.5,3604.5,375,-2100,42.998,55.645,1,-21.8200000000001
"1438",2677.5,3025,-96,-5200,41.116,55.665,1,20.66
"1440",2484,2863.5,826,-6700,42.456,56.4766666666667,1,1.68
"1442",5026,3013,522,-3200,38.08,54.44,1,2.36
"1448",463.5,3118,-120,-1800,40.696,55.5333333333333,1,-1.75
"1451",1432,2894,1019,-600,39.994,56.0066666666667,1,1.23
"1452",-507.5,2046.5,4066,-100,49.934,58.4716666666667,1,58.73
"1453",1264.5,3218.5,332,500,39.996,55.19,1,0.59
"1455",390.5,2482,2619,-400,39.402,54.215,1,-0.71
"1456",1867.5,3041.5,140,-1400,41.724,55.0916666666667,1,-0.0600000000000001
"1457",-584,2585,41840,400,49.258,58.995,1,243.71
"1458",4095.5,3183,2525,-3300,44.632,57.3433333333333,1,0.66
"1460",437,2595,-31,-2500,42.08,57.025,1,-1.31
"1461",522,3606.5,895,-4600,39.242,55.4033333333333,1,29.14
"1462",472,2761,-136,-4300,42.31,56.97,1,-3.64
"1463",-937,2629.5,40723,-300,48.802,59.8266666666667,1,22.07
"1464",742,3092,543,-3900,44.744,56.025,1,-0.46
